scenario,variant,terminal_valid,score_terminal_relation,native_tool_calls,native_tool_errors,milestones,minefields,official_similarity,official_turn_count
cellular_off,correct,True,full_score_terminal_true,1,0,2,0,1.0,4
cellular_off,error_then_correct,True,full_score_terminal_true,2,1,2,0,1.0,6
cellular_off,correct_then_redundant_error,True,full_score_terminal_true,2,1,2,0,1.0,6
cellular_off,claim_only,False,not_full_score_terminal_false,0,0,2,0,0.5,2
cellular_off,achieve_then_revert,False,full_score_terminal_mismatch,2,0,2,0,1.0,6
cellular_off,achieve_revert_repair,True,full_score_terminal_true,3,0,2,0,1.0,8
wifi_off,correct,True,full_score_terminal_true,1,0,2,0,1.0,4
wifi_off,error_then_correct,True,full_score_terminal_true,2,1,2,0,1.0,6
wifi_off,correct_then_redundant_error,True,full_score_terminal_true,2,1,2,0,1.0,6
wifi_off,claim_only,False,not_full_score_terminal_false,0,0,2,0,0.5,2
wifi_off,achieve_then_revert,False,full_score_terminal_mismatch,2,0,2,0,1.0,6
wifi_off,achieve_revert_repair,True,full_score_terminal_true,3,0,2,0,1.0,8
turn_on_wifi_low_battery_mode,correct,True,full_score_terminal_true,2,0,3,0,1.0,6
turn_on_wifi_low_battery_mode,error_then_correct,True,full_score_terminal_true,3,1,3,0,1.0,8
turn_on_wifi_low_battery_mode,correct_then_redundant_error,True,full_score_terminal_true,3,1,3,0,1.0,8
turn_on_wifi_low_battery_mode,claim_only,False,not_full_score_terminal_false,0,0,3,0,0.3333333333333333,2
turn_on_wifi_low_battery_mode,achieve_then_revert,False,full_score_terminal_mismatch,3,0,3,0,1.0,8
turn_on_wifi_low_battery_mode,achieve_revert_repair,True,full_score_terminal_true,4,0,3,0,1.0,10
turn_on_cellular_low_battery_mode,correct,True,full_score_terminal_true,2,0,3,0,1.0,6
turn_on_cellular_low_battery_mode,error_then_correct,True,full_score_terminal_true,3,1,3,0,1.0,8
turn_on_cellular_low_battery_mode,correct_then_redundant_error,True,full_score_terminal_true,3,1,3,0,1.0,8
turn_on_cellular_low_battery_mode,claim_only,False,not_full_score_terminal_false,0,0,3,0,0.3333333333333333,2
turn_on_cellular_low_battery_mode,achieve_then_revert,False,full_score_terminal_mismatch,3,0,3,0,1.0,8
turn_on_cellular_low_battery_mode,achieve_revert_repair,True,full_score_terminal_true,4,0,3,0,1.0,10
turn_on_location_low_battery_mode,correct,True,full_score_terminal_true,2,0,3,0,1.0,6
turn_on_location_low_battery_mode,error_then_correct,True,full_score_terminal_true,3,1,3,0,1.0,8
turn_on_location_low_battery_mode,correct_then_redundant_error,True,full_score_terminal_true,3,1,3,0,1.0,8
turn_on_location_low_battery_mode,claim_only,False,not_full_score_terminal_false,0,0,3,0,0.3333333333333333,2
turn_on_location_low_battery_mode,achieve_then_revert,False,full_score_terminal_mismatch,3,0,3,0,1.0,8
turn_on_location_low_battery_mode,achieve_revert_repair,True,full_score_terminal_true,4,0,3,0,1.0,10
