source,trial,model,persona,samples,sha256
toolsandbox/gpt_4_1/expert/trial_2_results.json,2,gpt_4_1,expert,37,0394593e076a10655f820edc706d3a71cd051aee0f8c8ab06b4b3c6c81059b57
toolsandbox/gpt_4_1/expert/trial_3_results.json,3,gpt_4_1,expert,37,042fc72e504db109eab3e483485da7d849d8d545975880e923fb602b628cc68e
toolsandbox/gpt_4_1/expert/trial_4_results.json,4,gpt_4_1,expert,37,416bcd845152c3a4b572f2edc7efbe20813401bae1ba760423d47ab12e18e0db
toolsandbox/gpt_4_1/expert/trial_5_results.json,5,gpt_4_1,expert,37,ab4e5d5e289cb55c5121542b4feaa7e369dc9b25d0ce1e4bfbee7f3e1a7f2bbb
toolsandbox/gpt_4_1/expert/trial_6_results.json,6,gpt_4_1,expert,37,07ca94ce3541a1198f0a183360fa1645fdb1547fb02cad30f6d9873f352478d9
toolsandbox/gpt_4_1/expert/trial_7_results.json,7,gpt_4_1,expert,37,577b002e66465f4fa53e79e619faa28c60f7eebe5251be1f886cbf0a341b7aa9
toolsandbox/gpt_4_1/nonexpert/trial_2_results.json,2,gpt_4_1,nonexpert,37,3d9acf04c19fb9d5a153efaa447b609b40a317efb1ad999c52da8f921311d074
toolsandbox/gpt_4_1/nonexpert/trial_3_results.json,3,gpt_4_1,nonexpert,37,c3519fa609a830d4e3572eca01535ab58952c3181143bbb4254a163d698a850e
toolsandbox/gpt_4_1/nonexpert/trial_4_results.json,4,gpt_4_1,nonexpert,37,bedc8847a295af52181612013275d557142c7bf8b4693d58dcfc3ac26471f48e
toolsandbox/gpt_4_1/nonexpert/trial_5_results.json,5,gpt_4_1,nonexpert,37,48153bc687aa260e4a871b17fbfefe43b97e2398eafac50a0e1bc025610cf64f
toolsandbox/gpt_4_1/nonexpert/trial_6_results.json,6,gpt_4_1,nonexpert,37,7d59e1257b58503068abb0fe1a072168324dbed0cb7048d361e5d9bfc2c52055
toolsandbox/gpt_4_1/nonexpert/trial_7_results.json,7,gpt_4_1,nonexpert,37,bc26063714086a629219fa9f9d566427825ee18c306e9a3f54b1ab6be21f7a0c
toolsandbox/gpt_4o/expert/trial_2_results.json,2,gpt_4o,expert,37,fcbeca75972c9758a0998927d363c8c3cf6aebea15873e931b0f0f6149fc4f39
toolsandbox/gpt_4o/expert/trial_3_results.json,3,gpt_4o,expert,37,e7e3303d0979f8bf0c93fe5e780ace7a86ff10a31feb106285dab49da6daeaa8
toolsandbox/gpt_4o/expert/trial_4_results.json,4,gpt_4o,expert,37,92d7d12e7160cf540be8c245375830d051cf355660cba0a764fe846f0bd6231b
toolsandbox/gpt_4o/expert/trial_5_results.json,5,gpt_4o,expert,37,30cfb0141c8c60562f3a6b07cda194cd9ddd19e1d92da99c5ef1a952b6d2acb4
toolsandbox/gpt_4o/expert/trial_6_results.json,6,gpt_4o,expert,37,5d6d4ca21efc1fe12e9744101f691198b87f2af575d0effaa9b3a5f07c7094b5
toolsandbox/gpt_4o/expert/trial_7_results.json,7,gpt_4o,expert,37,4e7382cf0896aa1aa22b9de16a974ad1d9ce1cf07ebd67de04a5cd82e1da9aa8
toolsandbox/gpt_4o/nonexpert/trial_2_results.json,2,gpt_4o,nonexpert,37,1c9e5f5851de6805ba73975c8838291447acaeff5e5a5cad76e99e45f4de05a5
toolsandbox/gpt_4o/nonexpert/trial_3_results.json,3,gpt_4o,nonexpert,37,5dffa40d36a5d22f3295b59ccbe942066747411d64ea417aa08f4508cc153dc5
toolsandbox/gpt_4o/nonexpert/trial_4_results.json,4,gpt_4o,nonexpert,37,0fa8666303ff9b4e203b4302d9f5b4845b52a2e54dc1d2afca7e02d56e881af4
toolsandbox/gpt_4o/nonexpert/trial_5_results.json,5,gpt_4o,nonexpert,37,94f0da2a827e594de2399399c9e2c0b3911f1bc456d2069e12e48fb8488cf152
toolsandbox/gpt_4o/nonexpert/trial_6_results.json,6,gpt_4o,nonexpert,37,0fc957b390bbc50ef27199510efc4cf7cf1ca2442a0b61dd1181c22069b215ea
toolsandbox/gpt_4o/nonexpert/trial_7_results.json,7,gpt_4o,nonexpert,37,27c09dbe740a7da9bd7622c76aea2e1ac64901186cf9857b07bdbef26d014073
toolsandbox/gpt_4o_mini/expert/trial_2_results.json,2,gpt_4o_mini,expert,37,34602509652e70ac9b57c4c70b127610fee608e61e370ef6458990c6f0b15c7b
toolsandbox/gpt_4o_mini/expert/trial_3_results.json,3,gpt_4o_mini,expert,37,88efcf5bd3802bf1e6b6f25d87e8c4cdabfe945d4f695f8d25645b912e7c132f
toolsandbox/gpt_4o_mini/expert/trial_4_results.json,4,gpt_4o_mini,expert,37,369a7ab0d090ed4b701ded02c0aaaa62bccad30adb7b76ee91da8bbcf6551297
toolsandbox/gpt_4o_mini/expert/trial_5_results.json,5,gpt_4o_mini,expert,37,3f5d6bdb2dd1dd421fb8d7de5aecf6c1f90d3d1677883b33ab235f2bd3d4b3e8
toolsandbox/gpt_4o_mini/expert/trial_6_results.json,6,gpt_4o_mini,expert,37,f11229774b748d9b7e48c0f9e904528a7ceabf39ca01b5fbcf74b6b52591a6b9
toolsandbox/gpt_4o_mini/expert/trial_7_results.json,7,gpt_4o_mini,expert,37,1883e6dafb4a891597271c11becfa8620d5f2bad0cab2e67e99bad467e962ca3
toolsandbox/gpt_4o_mini/nonexpert/trial_2_results.json,2,gpt_4o_mini,nonexpert,37,4c9bbd1fe059313aa85d5e0398f13daf81eed86cce952440b0f1399ae0be89f7
toolsandbox/gpt_4o_mini/nonexpert/trial_3_results.json,3,gpt_4o_mini,nonexpert,37,1df3d096e0da184756c29bf4e3aaf5b62ed83ac38a01e6e6ea75f340fe259a15
toolsandbox/gpt_4o_mini/nonexpert/trial_4_results.json,4,gpt_4o_mini,nonexpert,37,7f23cfda8a0084d4603f8a5b7dfc1db84f85d955a62fe34d8cf4a586c5779deb
toolsandbox/gpt_4o_mini/nonexpert/trial_5_results.json,5,gpt_4o_mini,nonexpert,37,ae3a0300afbefbe1c43395eb7107694e73263c39cd35ee1ee0a3d8d9039f3062
toolsandbox/gpt_4o_mini/nonexpert/trial_6_results.json,6,gpt_4o_mini,nonexpert,37,176e3175cfc8b9273e2024925d6e75f346529e9bd30514f109f2f8007257d757
toolsandbox/gpt_4o_mini/nonexpert/trial_7_results.json,7,gpt_4o_mini,nonexpert,37,f8bd8a37b4e3d7cb8938cf3ed5fdac00d081c59676b2d45dbbfa9261fd2e206c
toolsandbox/gpt_5/expert/trial_2_results.json,2,gpt_5,expert,37,e778f831bad73ddf253d3391e0a3daf16faa7328a494a5f1d4140c1af143e939
toolsandbox/gpt_5/expert/trial_3_results.json,3,gpt_5,expert,37,403e26a1e60300e387e962899e9750d8fc0e05d3987fb00d4afabebc106bbc62
toolsandbox/gpt_5/expert/trial_4_results.json,4,gpt_5,expert,37,05f836baafea6cd3e956844b30b0e2b5f36e6acfc8468baeaad825427b9687d7
toolsandbox/gpt_5/expert/trial_5_results.json,5,gpt_5,expert,37,6336206d311e869575104a86bdf421f1ebf6167a676b23bbc93c2ef6a6e778ca
toolsandbox/gpt_5/expert/trial_6_results.json,6,gpt_5,expert,37,34673a15bf9a9b284f46b7186957027e678400f4282d7990e4fc591f40769dce
toolsandbox/gpt_5/expert/trial_7_results.json,7,gpt_5,expert,37,176cc8ceea8a4fef5ac5af2e84ae00a0826091f68ff3be8811834b5dd4a79e28
toolsandbox/gpt_5/nonexpert/trial_2_results.json,2,gpt_5,nonexpert,37,55130d5678401de2ed933b9619b1f52da78e916ac7f49f8877f69677f208b7a6
toolsandbox/gpt_5/nonexpert/trial_3_results.json,3,gpt_5,nonexpert,37,0e7fb7ba38f14398f1e1e3f5263dd81f5db86f3f60aad204f8c727c8389fc9ec
toolsandbox/gpt_5/nonexpert/trial_4_results.json,4,gpt_5,nonexpert,37,3c9c6abdedcf19193381583cd88e5101bb7f3899518f4ff9e98dd6c71e8f322b
toolsandbox/gpt_5/nonexpert/trial_5_results.json,5,gpt_5,nonexpert,37,94247b7bfb22f67c02ce7a9742454081360d8b170e63301b7113a57701778190
toolsandbox/gpt_5/nonexpert/trial_6_results.json,6,gpt_5,nonexpert,37,ba69e1bc66519e3607c9778bb7c2c755a80055aaa7c9ea76267e994aa8c8016f
toolsandbox/gpt_5/nonexpert/trial_7_results.json,7,gpt_5,nonexpert,37,a070ca9535877d59c92fc1a34414f6718194dbb6bdd8739825982040d197b91e
toolsandbox/mistral_large_2411/expert/trial_2_results.json,2,mistral_large_2411,expert,37,ac7864e5fc98df38b77e087ed0ce8f4d895f95762588a319940026287f957d7d
toolsandbox/mistral_large_2411/expert/trial_3_results.json,3,mistral_large_2411,expert,37,fc0d8d87811fe863fd1cb0685673d15af6a982d609426cffd8a90cde263e12b5
toolsandbox/mistral_large_2411/expert/trial_4_results.json,4,mistral_large_2411,expert,37,ef3485699033baf93d2ebcab30213905079eef09c70b2698ee75dde8ec4e8c8f
toolsandbox/mistral_large_2411/expert/trial_5_results.json,5,mistral_large_2411,expert,37,575469c75188c9d3c5207fac400d4040b279e720ad4bbab5e5894852b64b0ab3
toolsandbox/mistral_large_2411/expert/trial_6_results.json,6,mistral_large_2411,expert,37,fb6a13b11924b44728f393b2fdf41ebf184def8b0998382cc058b302f425face
toolsandbox/mistral_large_2411/expert/trial_7_results.json,7,mistral_large_2411,expert,37,34a7d195e139b81e7fbb041d5afc2ec952e5e76c46d19d9fdd995aa2bec469a1
toolsandbox/mistral_large_2411/nonexpert/trial_2_results.json,2,mistral_large_2411,nonexpert,37,29d7f640ebe920f7a84e4d439d4eb001b7f93b77c3ee58554374563befc40878
toolsandbox/mistral_large_2411/nonexpert/trial_3_results.json,3,mistral_large_2411,nonexpert,37,4e66bbd4f63dc5a949422dc434159980973e3d101d6c9331f37a93a94a0dec3b
toolsandbox/mistral_large_2411/nonexpert/trial_4_results.json,4,mistral_large_2411,nonexpert,37,d017712181d519a2f42866b4f5c9df15a66a0ad80b1655b1b18cda49c3a5008e
toolsandbox/mistral_large_2411/nonexpert/trial_5_results.json,5,mistral_large_2411,nonexpert,37,725d1343ab12d4299350fc9a615d409287a70bce3fedde35755baa58f9c1f685
