key,boundary,phase1,phase2,scoped_complete,original_progress
gpt_4_1/expert/0/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4_1/expert/1/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4_1/expert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4_1/expert/3/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4_1/expert/4/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4_1/expert/5/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4_1/expert/6/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4_1/expert/7/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4_1/nonexpert/0/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4_1/nonexpert/1/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4_1/nonexpert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4_1/nonexpert/3/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4_1/nonexpert/4/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4_1/nonexpert/5/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4_1/nonexpert/6/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4_1/nonexpert/7/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o/expert/0/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o/expert/1/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o/expert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o/expert/3/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o/expert/4/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o/expert/5/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o/expert/6/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o/expert/7/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o/nonexpert/0/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o/nonexpert/1/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o/nonexpert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,2,True,True,True,0.8
gpt_4o/nonexpert/3/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o/nonexpert/4/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o/nonexpert/5/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o/nonexpert/6/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o/nonexpert/7/update_contact_relationship_with_relationship_twice_multiple_user_turn,2,True,True,True,0.8
gpt_4o_mini/expert/0/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o_mini/expert/1/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o_mini/expert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o_mini/expert/3/update_contact_relationship_with_relationship_twice_multiple_user_turn,2,True,True,True,1.0
gpt_4o_mini/expert/4/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o_mini/expert/5/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o_mini/expert/6/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o_mini/expert/7/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o_mini/nonexpert/0/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o_mini/nonexpert/1/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o_mini/nonexpert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o_mini/nonexpert/3/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o_mini/nonexpert/4/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o_mini/nonexpert/5/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o_mini/nonexpert/6/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_4o_mini/nonexpert/7/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_5/expert/0/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,1.0
gpt_5/expert/1/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,1.0
gpt_5/expert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,1.0
gpt_5/expert/3/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,1.0
gpt_5/expert/4/update_contact_relationship_with_relationship_twice_multiple_user_turn,2,True,True,True,1.0
gpt_5/expert/5/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,1.0
