key,sample_id,model,persona,trial,final,ever_true_final_false,observed_regression,original_progress
gpt_4_1/expert/0/add_contact_with_name_and_phone_number,add_contact_with_name_and_phone_number,gpt_4_1,expert,0,True,False,False,1.0
gpt_4_1/expert/0/cellular_off,cellular_off,gpt_4_1,expert,0,True,False,False,1.0
gpt_4_1/expert/0/remove_contact_by_phone,remove_contact_by_phone,gpt_4_1,expert,0,True,False,False,1.0
gpt_4_1/expert/0/remove_contact_with_id,remove_contact_with_id,gpt_4_1,expert,0,True,False,False,1.0
gpt_4_1/expert/0/turn_on_cellular_low_battery_mode,turn_on_cellular_low_battery_mode,gpt_4_1,expert,0,True,False,False,1.0
gpt_4_1/expert/0/turn_on_location_low_battery_mode,turn_on_location_low_battery_mode,gpt_4_1,expert,0,True,False,False,0.75
gpt_4_1/expert/0/turn_on_wifi_low_battery_mode,turn_on_wifi_low_battery_mode,gpt_4_1,expert,0,False,False,False,0.5
gpt_4_1/expert/0/update_contact_relationship_with_relationship,update_contact_relationship_with_relationship,gpt_4_1,expert,0,True,False,False,1.0
gpt_4_1/expert/0/update_contact_with_id_and_phone_number,update_contact_with_id_and_phone_number,gpt_4_1,expert,0,True,False,False,1.0
gpt_4_1/expert/0/wifi_off,wifi_off,gpt_4_1,expert,0,True,False,False,1.0
gpt_4_1/expert/1/add_contact_with_name_and_phone_number,add_contact_with_name_and_phone_number,gpt_4_1,expert,1,True,False,False,1.0
gpt_4_1/expert/1/cellular_off,cellular_off,gpt_4_1,expert,1,True,False,False,0.5
gpt_4_1/expert/1/remove_contact_by_phone,remove_contact_by_phone,gpt_4_1,expert,1,True,False,False,1.0
gpt_4_1/expert/1/remove_contact_with_id,remove_contact_with_id,gpt_4_1,expert,1,True,False,False,1.0
gpt_4_1/expert/1/turn_on_cellular_low_battery_mode,turn_on_cellular_low_battery_mode,gpt_4_1,expert,1,True,False,False,1.0
gpt_4_1/expert/1/turn_on_location_low_battery_mode,turn_on_location_low_battery_mode,gpt_4_1,expert,1,False,False,False,0.25
gpt_4_1/expert/1/turn_on_wifi_low_battery_mode,turn_on_wifi_low_battery_mode,gpt_4_1,expert,1,True,False,False,1.0
gpt_4_1/expert/1/update_contact_relationship_with_relationship,update_contact_relationship_with_relationship,gpt_4_1,expert,1,True,False,False,1.0
gpt_4_1/expert/1/update_contact_with_id_and_phone_number,update_contact_with_id_and_phone_number,gpt_4_1,expert,1,True,False,False,1.0
gpt_4_1/expert/1/wifi_off,wifi_off,gpt_4_1,expert,1,True,False,False,1.0
gpt_4_1/expert/2/add_contact_with_name_and_phone_number,add_contact_with_name_and_phone_number,gpt_4_1,expert,2,True,False,False,1.0
gpt_4_1/expert/2/cellular_off,cellular_off,gpt_4_1,expert,2,True,False,False,1.0
gpt_4_1/expert/2/remove_contact_by_phone,remove_contact_by_phone,gpt_4_1,expert,2,True,False,False,1.0
gpt_4_1/expert/2/remove_contact_with_id,remove_contact_with_id,gpt_4_1,expert,2,True,False,False,1.0
gpt_4_1/expert/2/turn_on_cellular_low_battery_mode,turn_on_cellular_low_battery_mode,gpt_4_1,expert,2,True,False,False,1.0
gpt_4_1/expert/2/turn_on_location_low_battery_mode,turn_on_location_low_battery_mode,gpt_4_1,expert,2,True,False,False,0.75
gpt_4_1/expert/2/turn_on_wifi_low_battery_mode,turn_on_wifi_low_battery_mode,gpt_4_1,expert,2,True,False,False,1.0
gpt_4_1/expert/2/update_contact_relationship_with_relationship,update_contact_relationship_with_relationship,gpt_4_1,expert,2,True,False,False,1.0
gpt_4_1/expert/2/update_contact_with_id_and_phone_number,update_contact_with_id_and_phone_number,gpt_4_1,expert,2,True,False,False,1.0
gpt_4_1/expert/2/wifi_off,wifi_off,gpt_4_1,expert,2,True,False,False,1.0
