regime,observation_timing,method,runtime_calls,ordinary_observation_calls,startup_calls,safe_success,target_reached,wrong_writes,new_writes
stable,none,cached_reactive,1,0,2,True,True,0,1
stable,none,query_on_error,1,0,2,True,True,0,1
stable,none,always_resolve,2,0,2,True,True,0,1
stable,none,reuse_observed_then_resolve,2,0,2,True,True,0,1
stable,pre_change,cached_reactive,1,1,2,True,True,0,1
stable,pre_change,query_on_error,1,1,2,True,True,0,1
stable,pre_change,always_resolve,2,1,2,True,True,0,1
stable,pre_change,reuse_observed_then_resolve,1,1,2,True,True,0,1
stable,post_change,cached_reactive,1,1,2,True,True,0,1
stable,post_change,query_on_error,1,1,2,True,True,0,1
stable,post_change,always_resolve,2,1,2,True,True,0,1
stable,post_change,reuse_observed_then_resolve,1,1,2,True,True,0,1
unrelated,none,cached_reactive,1,0,2,True,True,0,1
unrelated,none,query_on_error,1,0,2,True,True,0,1
unrelated,none,always_resolve,2,0,2,True,True,0,1
unrelated,none,reuse_observed_then_resolve,2,0,2,True,True,0,1
unrelated,pre_change,cached_reactive,1,1,2,True,True,0,1
unrelated,pre_change,query_on_error,1,1,2,True,True,0,1
unrelated,pre_change,always_resolve,2,1,2,True,True,0,1
unrelated,pre_change,reuse_observed_then_resolve,1,1,2,True,True,0,1
unrelated,post_change,cached_reactive,1,1,2,True,True,0,1
unrelated,post_change,query_on_error,1,1,2,True,True,0,1
unrelated,post_change,always_resolve,2,1,2,True,True,0,1
unrelated,post_change,reuse_observed_then_resolve,1,1,2,True,True,0,1
moved,none,cached_reactive,1,0,2,False,False,1,1
moved,none,query_on_error,1,0,2,False,False,1,1
moved,none,always_resolve,2,0,2,True,True,0,1
moved,none,reuse_observed_then_resolve,2,0,2,True,True,0,1
moved,pre_change,cached_reactive,1,1,2,False,False,1,1
moved,pre_change,query_on_error,1,1,2,False,False,1,1
moved,pre_change,always_resolve,2,1,2,True,True,0,1
moved,pre_change,reuse_observed_then_resolve,1,1,2,False,False,1,1
moved,post_change,cached_reactive,1,1,2,False,False,1,1
moved,post_change,query_on_error,1,1,2,False,False,1,1
moved,post_change,always_resolve,2,1,2,True,True,0,1
moved,post_change,reuse_observed_then_resolve,1,1,2,True,True,0,1
reassigned,none,cached_reactive,1,0,2,False,False,1,1
reassigned,none,query_on_error,1,0,2,False,False,1,1
reassigned,none,always_resolve,2,0,2,True,True,0,1
reassigned,none,reuse_observed_then_resolve,2,0,2,True,True,0,1
reassigned,pre_change,cached_reactive,1,1,2,False,False,1,1
reassigned,pre_change,query_on_error,1,1,2,False,False,1,1
reassigned,pre_change,always_resolve,2,1,2,True,True,0,1
reassigned,pre_change,reuse_observed_then_resolve,1,1,2,False,False,1,1
reassigned,post_change,cached_reactive,1,1,2,False,False,1,1
reassigned,post_change,query_on_error,1,1,2,False,False,1,1
reassigned,post_change,always_resolve,2,1,2,True,True,0,1
reassigned,post_change,reuse_observed_then_resolve,1,1,2,True,True,0,1
