episode_id,case_id,arm,intent,intervention,prefix_calls_replayed,source_turn,correct_at_this_commit,wrong_write_at_this_commit
primary_c00_inherited,c00,inherited,person,none,1,1,True,False
primary_c00_inherited,c00,inherited,person,binding,1,1,False,True
primary_c00_resolve_rule,c00,resolve_rule,person,none,2,2,True,False
primary_c00_resolve_rule,c00,resolve_rule,person,binding,2,2,False,True
primary_c00_stateless,c00,stateless,person,none,2,2,True,False
primary_c00_stateless,c00,stateless,person,binding,2,2,False,True
primary_c01_inherited,c01,inherited,person,none,2,2,True,False
primary_c01_inherited,c01,inherited,person,binding,2,2,False,True
primary_c01_resolve_rule,c01,resolve_rule,person,none,2,2,True,False
primary_c01_resolve_rule,c01,resolve_rule,person,binding,2,2,False,True
primary_c01_stateless,c01,stateless,person,none,2,2,True,False
primary_c01_stateless,c01,stateless,person,binding,2,2,False,True
primary_c02_inherited,c02,inherited,person,none,1,1,True,False
primary_c02_inherited,c02,inherited,person,binding,1,1,False,True
primary_c02_resolve_rule,c02,resolve_rule,person,none,2,2,True,False
primary_c02_resolve_rule,c02,resolve_rule,person,binding,2,2,False,True
primary_c02_stateless,c02,stateless,person,none,2,2,True,False
primary_c02_stateless,c02,stateless,person,binding,2,2,False,True
primary_c03_inherited,c03,inherited,person,none,2,2,True,False
primary_c03_inherited,c03,inherited,person,binding,2,2,False,True
primary_c03_resolve_rule,c03,resolve_rule,person,none,2,2,True,False
primary_c03_resolve_rule,c03,resolve_rule,person,binding,2,2,False,True
primary_c03_stateless,c03,stateless,person,none,2,2,True,False
primary_c03_stateless,c03,stateless,person,binding,2,2,False,True
primary_c04_inherited,c04,inherited,literal,none,1,1,True,False
primary_c04_inherited,c04,inherited,literal,binding,1,1,True,False
primary_c04_resolve_rule,c04,resolve_rule,literal,none,1,1,True,False
primary_c04_resolve_rule,c04,resolve_rule,literal,binding,1,1,True,False
primary_c04_stateless,c04,stateless,literal,none,1,1,True,False
primary_c04_stateless,c04,stateless,literal,binding,1,1,True,False
primary_c05_inherited,c05,inherited,literal,none,1,1,True,False
primary_c05_inherited,c05,inherited,literal,binding,1,1,True,False
primary_c05_resolve_rule,c05,resolve_rule,literal,none,1,1,True,False
primary_c05_resolve_rule,c05,resolve_rule,literal,binding,1,1,True,False
primary_c05_stateless,c05,stateless,literal,none,1,1,True,False
primary_c05_stateless,c05,stateless,literal,binding,1,1,True,False
primary_c06_inherited,c06,inherited,literal,none,1,1,True,False
primary_c06_inherited,c06,inherited,literal,binding,1,1,True,False
primary_c06_resolve_rule,c06,resolve_rule,literal,none,1,1,True,False
primary_c06_resolve_rule,c06,resolve_rule,literal,binding,1,1,True,False
primary_c06_stateless,c06,stateless,literal,none,1,1,True,False
primary_c06_stateless,c06,stateless,literal,binding,1,1,True,False
primary_c07_inherited,c07,inherited,literal,none,1,1,True,False
primary_c07_inherited,c07,inherited,literal,binding,1,1,True,False
primary_c07_resolve_rule,c07,resolve_rule,literal,none,1,1,True,False
primary_c07_resolve_rule,c07,resolve_rule,literal,binding,1,1,True,False
primary_c07_stateless,c07,stateless,literal,none,1,1,True,False
primary_c07_stateless,c07,stateless,literal,binding,1,1,True,False
primary_c08_inherited,c08,inherited,reminder,none,1,1,True,False
primary_c08_inherited,c08,inherited,reminder,binding,1,1,False,True
primary_c08_resolve_rule,c08,resolve_rule,reminder,none,1,1,True,False
primary_c08_resolve_rule,c08,resolve_rule,reminder,binding,1,1,False,True
primary_c08_stateless,c08,stateless,reminder,none,1,1,True,False
primary_c08_stateless,c08,stateless,reminder,binding,1,1,False,True
primary_c09_inherited,c09,inherited,reminder,none,1,1,True,False
primary_c09_inherited,c09,inherited,reminder,binding,1,1,False,True
primary_c09_resolve_rule,c09,resolve_rule,reminder,none,1,1,True,False
primary_c09_resolve_rule,c09,resolve_rule,reminder,binding,1,1,False,True
primary_c09_stateless,c09,stateless,reminder,none,1,1,True,False
primary_c09_stateless,c09,stateless,reminder,binding,1,1,False,True
primary_c10_inherited,c10,inherited,reminder,none,1,1,True,False
primary_c10_inherited,c10,inherited,reminder,binding,1,1,False,True
primary_c10_resolve_rule,c10,resolve_rule,reminder,none,1,1,True,False
primary_c10_resolve_rule,c10,resolve_rule,reminder,binding,1,1,False,True
primary_c10_stateless,c10,stateless,reminder,none,1,1,True,False
primary_c10_stateless,c10,stateless,reminder,binding,1,1,False,True
primary_c11_inherited,c11,inherited,reminder,none,1,1,True,False
primary_c11_inherited,c11,inherited,reminder,binding,1,1,False,True
primary_c11_resolve_rule,c11,resolve_rule,reminder,none,1,1,True,False
primary_c11_resolve_rule,c11,resolve_rule,reminder,binding,1,1,False,True
primary_c11_stateless,c11,stateless,reminder,none,1,1,True,False
primary_c11_stateless,c11,stateless,reminder,binding,1,1,False,True
primary_c12_inherited,c12,inherited,person,none,3,3,True,False
primary_c12_inherited,c12,inherited,person,binding,3,3,False,True
primary_c12_resolve_rule,c12,resolve_rule,person,none,3,3,True,False
primary_c12_resolve_rule,c12,resolve_rule,person,binding,3,3,False,True
primary_c12_stateless,c12,stateless,person,none,3,3,True,False
primary_c12_stateless,c12,stateless,person,binding,3,3,False,True
primary_c13_inherited,c13,inherited,literal,none,2,2,True,False
primary_c13_inherited,c13,inherited,literal,binding,2,2,True,False
primary_c13_resolve_rule,c13,resolve_rule,literal,none,2,2,True,False
primary_c13_resolve_rule,c13,resolve_rule,literal,binding,2,2,True,False
primary_c13_stateless,c13,stateless,literal,none,2,2,True,False
primary_c13_stateless,c13,stateless,literal,binding,2,2,True,False
