intent,event,when,policy,safe_success,wrong_write,rejections,tool_calls,global_token_issuances,global_token_checks
person,none,none,query_use,True,False,0,2,0,0
person,unrelated,before_resolve,query_use,True,False,0,2,0,0
person,unrelated,after_resolve,query_use,True,False,0,2,0,0
person,unrelated,after_use,query_use,True,False,0,2,0,0
person,binding,before_resolve,query_use,True,False,0,2,0,0
person,binding,after_resolve,query_use,False,True,0,2,0,0
person,binding,after_use,query_use,True,False,0,2,0,0
person,nonbinding,before_resolve,query_use,True,False,0,2,0,0
person,nonbinding,after_resolve,query_use,True,False,0,2,0,0
person,nonbinding,after_use,query_use,True,False,0,2,0,0
person,none,none,global_guard,True,False,0,2,1,1
person,unrelated,before_resolve,global_guard,True,False,0,2,1,1
person,unrelated,after_resolve,global_guard,False,False,1,1,1,1
person,unrelated,after_use,global_guard,True,False,0,2,1,1
person,binding,before_resolve,global_guard,True,False,0,2,1,1
person,binding,after_resolve,global_guard,False,False,1,1,1,1
person,binding,after_use,global_guard,True,False,0,2,1,1
person,nonbinding,before_resolve,global_guard,True,False,0,2,1,1
person,nonbinding,after_resolve,global_guard,False,False,1,1,1,1
person,nonbinding,after_use,global_guard,True,False,0,2,1,1
person,none,none,scoped_guard,True,False,0,3,0,0
person,unrelated,before_resolve,scoped_guard,True,False,0,3,0,0
person,unrelated,after_resolve,scoped_guard,True,False,0,3,0,0
person,unrelated,after_use,scoped_guard,True,False,0,3,0,0
person,binding,before_resolve,scoped_guard,True,False,0,3,0,0
person,binding,after_resolve,scoped_guard,False,False,1,2,0,0
person,binding,after_use,scoped_guard,True,False,0,3,0,0
person,nonbinding,before_resolve,scoped_guard,True,False,0,3,0,0
person,nonbinding,after_resolve,scoped_guard,True,False,0,3,0,0
person,nonbinding,after_use,scoped_guard,True,False,0,3,0,0
person,none,none,scoped_retry1,True,False,0,3,0,0
person,unrelated,before_resolve,scoped_retry1,True,False,0,3,0,0
person,unrelated,after_resolve,scoped_retry1,True,False,0,3,0,0
person,unrelated,after_use,scoped_retry1,True,False,0,3,0,0
person,binding,before_resolve,scoped_retry1,True,False,0,3,0,0
person,binding,after_resolve,scoped_retry1,True,False,1,5,0,0
person,binding,after_use,scoped_retry1,True,False,0,3,0,0
person,nonbinding,before_resolve,scoped_retry1,True,False,0,3,0,0
person,nonbinding,after_resolve,scoped_retry1,True,False,0,3,0,0
person,nonbinding,after_use,scoped_retry1,True,False,0,3,0,0
literal,none,none,query_use,True,False,0,1,0,0
literal,unrelated,before_resolve,query_use,True,False,0,1,0,0
literal,unrelated,after_resolve,query_use,True,False,0,1,0,0
literal,unrelated,after_use,query_use,True,False,0,1,0,0
literal,binding,before_resolve,query_use,True,False,0,1,0,0
literal,binding,after_resolve,query_use,True,False,0,1,0,0
literal,binding,after_use,query_use,True,False,0,1,0,0
literal,nonbinding,before_resolve,query_use,True,False,0,1,0,0
literal,nonbinding,after_resolve,query_use,True,False,0,1,0,0
literal,nonbinding,after_use,query_use,True,False,0,1,0,0
literal,none,none,global_guard,True,False,0,1,1,1
literal,unrelated,before_resolve,global_guard,True,False,0,1,1,1
literal,unrelated,after_resolve,global_guard,False,False,1,0,1,1
literal,unrelated,after_use,global_guard,True,False,0,1,1,1
literal,binding,before_resolve,global_guard,True,False,0,1,1,1
literal,binding,after_resolve,global_guard,False,False,1,0,1,1
literal,binding,after_use,global_guard,True,False,0,1,1,1
literal,nonbinding,before_resolve,global_guard,True,False,0,1,1,1
literal,nonbinding,after_resolve,global_guard,False,False,1,0,1,1
literal,nonbinding,after_use,global_guard,True,False,0,1,1,1
literal,none,none,scoped_guard,True,False,0,1,0,0
literal,unrelated,before_resolve,scoped_guard,True,False,0,1,0,0
literal,unrelated,after_resolve,scoped_guard,True,False,0,1,0,0
literal,unrelated,after_use,scoped_guard,True,False,0,1,0,0
literal,binding,before_resolve,scoped_guard,True,False,0,1,0,0
literal,binding,after_resolve,scoped_guard,True,False,0,1,0,0
literal,binding,after_use,scoped_guard,True,False,0,1,0,0
literal,nonbinding,before_resolve,scoped_guard,True,False,0,1,0,0
literal,nonbinding,after_resolve,scoped_guard,True,False,0,1,0,0
literal,nonbinding,after_use,scoped_guard,True,False,0,1,0,0
literal,none,none,scoped_retry1,True,False,0,1,0,0
literal,unrelated,before_resolve,scoped_retry1,True,False,0,1,0,0
literal,unrelated,after_resolve,scoped_retry1,True,False,0,1,0,0
literal,unrelated,after_use,scoped_retry1,True,False,0,1,0,0
literal,binding,before_resolve,scoped_retry1,True,False,0,1,0,0
literal,binding,after_resolve,scoped_retry1,True,False,0,1,0,0
literal,binding,after_use,scoped_retry1,True,False,0,1,0,0
literal,nonbinding,before_resolve,scoped_retry1,True,False,0,1,0,0
literal,nonbinding,after_resolve,scoped_retry1,True,False,0,1,0,0
literal,nonbinding,after_use,scoped_retry1,True,False,0,1,0,0
reminder,none,none,query_use,True,False,0,2,0,0
reminder,unrelated,before_resolve,query_use,True,False,0,2,0,0
reminder,unrelated,after_resolve,query_use,True,False,0,2,0,0
reminder,unrelated,after_use,query_use,True,False,0,2,0,0
reminder,binding,before_resolve,query_use,True,False,0,2,0,0
reminder,binding,after_resolve,query_use,False,True,0,2,0,0
reminder,binding,after_use,query_use,True,False,0,2,0,0
reminder,nonbinding,before_resolve,query_use,True,False,0,2,0,0
reminder,nonbinding,after_resolve,query_use,True,False,0,2,0,0
reminder,nonbinding,after_use,query_use,True,False,0,2,0,0
reminder,none,none,global_guard,True,False,0,2,1,1
reminder,unrelated,before_resolve,global_guard,True,False,0,2,1,1
reminder,unrelated,after_resolve,global_guard,False,False,1,1,1,1
reminder,unrelated,after_use,global_guard,True,False,0,2,1,1
reminder,binding,before_resolve,global_guard,True,False,0,2,1,1
reminder,binding,after_resolve,global_guard,False,False,1,1,1,1
reminder,binding,after_use,global_guard,True,False,0,2,1,1
reminder,nonbinding,before_resolve,global_guard,True,False,0,2,1,1
reminder,nonbinding,after_resolve,global_guard,False,False,1,1,1,1
reminder,nonbinding,after_use,global_guard,True,False,0,2,1,1
reminder,none,none,scoped_guard,True,False,0,3,0,0
reminder,unrelated,before_resolve,scoped_guard,True,False,0,3,0,0
reminder,unrelated,after_resolve,scoped_guard,True,False,0,3,0,0
reminder,unrelated,after_use,scoped_guard,True,False,0,3,0,0
reminder,binding,before_resolve,scoped_guard,True,False,0,3,0,0
reminder,binding,after_resolve,scoped_guard,False,False,1,2,0,0
reminder,binding,after_use,scoped_guard,True,False,0,3,0,0
reminder,nonbinding,before_resolve,scoped_guard,True,False,0,3,0,0
reminder,nonbinding,after_resolve,scoped_guard,True,False,0,3,0,0
reminder,nonbinding,after_use,scoped_guard,True,False,0,3,0,0
reminder,none,none,scoped_retry1,True,False,0,3,0,0
reminder,unrelated,before_resolve,scoped_retry1,True,False,0,3,0,0
reminder,unrelated,after_resolve,scoped_retry1,True,False,0,3,0,0
reminder,unrelated,after_use,scoped_retry1,True,False,0,3,0,0
reminder,binding,before_resolve,scoped_retry1,True,False,0,3,0,0
reminder,binding,after_resolve,scoped_retry1,True,False,1,5,0,0
reminder,binding,after_use,scoped_retry1,True,False,0,3,0,0
reminder,nonbinding,before_resolve,scoped_retry1,True,False,0,3,0,0
reminder,nonbinding,after_resolve,scoped_retry1,True,False,0,3,0,0
reminder,nonbinding,after_use,scoped_retry1,True,False,0,3,0,0
