run,attempt,logical_id,phase,arm,prompt_tokens,completion_tokens,total_tokens,reasoning_tokens,cache_hit_tokens,cache_miss_tokens,latency_seconds,response_id,request_hash,cost
R7C_smoke,1,smoke,smoke,smoke,48,23,71,17,0,48,0.8672604160383344,aed2491d-843a-4d71-b130-f39d45b36f05,b66b69acd5cde999c77d6bc936095b5e16b0f0fe532e042af45f248af301e615,UNKNOWN
R7C_main,1,primary_c03_stateless/turn_00,primary,stateless,1642,88,1730,68,0,1642,1.1490512918680906,b999edf9-3d11-4ad6-bcf4-8c4584d6f271,c3a32705d9a13b0f73a12cc496fddc104baadb6d70162b81da8bd8e9b7c742bc,UNKNOWN
R7C_main,2,primary_c03_stateless/turn_01,primary,stateless,1749,39,1788,25,1536,213,0.5321740000508726,555ca922-2d20-42b6-b318-dea117ca4e85,c83021d4e81cdf3c381706d3e24eb705ad2d6a4e6c52529cd2170becadb010a7,UNKNOWN
R7C_main,3,primary_c03_stateless/turn_02,primary,stateless,1785,50,1835,9,1536,249,0.8158074589446187,5a20272a-fb38-4a0f-b77b-fce549dae62a,9fff1d55a80bc7726526c4315cb8b0d4f9849c003f4f1e1e0d5651359c1dfb9c,UNKNOWN
R7C_main,4,primary_c03_stateless/turn_03,primary,stateless,1869,36,1905,8,1664,205,1.018226542044431,61eafa2b-ccd5-49ee-8f01-919acef45429,9040e42585ad8d38aa60b92752b27e7ac870048ee14e17cb53c832f7a148532c,UNKNOWN
R7C_main,5,primary_c03_inherited/turn_00,primary,inherited,1847,105,1952,85,1536,311,1.6546030000317842,35139570-71e7-4b3a-b814-92e70867f8ff,df204063d5db69360336da93bc52724a53771995cddfc61d73e04df6503c678c,UNKNOWN
R7C_main,6,primary_c03_inherited/turn_01,primary,inherited,1954,48,2002,34,1792,162,1.3247912500519305,e14d2e41-053d-4916-bcf5-b305cb3f2279,7c414aa69e7e6989166a288818f14e1f0d01cb5099427f097bf350791918e27e,UNKNOWN
R7C_main,7,primary_c03_inherited/turn_02,primary,inherited,1990,57,2047,16,1792,198,1.2777792089618742,0bc68d39-d646-4008-923a-3db30bd2e446,dbf0d8ae763f55c65e5634da806a3a4afb2131989aa73abd3b5152361d40e6d9,UNKNOWN
R7C_main,8,primary_c03_inherited/turn_03,primary,inherited,2075,36,2111,8,1920,155,1.2617474580183625,f794923f-c8e3-4686-851a-01cfaf71a340,c6246e9cb7f94fd01d1585ae5b37667c4d0eaff4fa793a70e3a476c7bb48a160,UNKNOWN
R7C_main,9,primary_c03_resolve_rule/turn_00,primary,resolve_rule,1934,146,2080,126,0,1934,1.4040952909272164,6549ab09-7df5-497c-8970-113485a2cf32,1186270e6a324d19670eb294d33e35664131346063194681de0f6f4d1eec7647,UNKNOWN
R7C_main,10,primary_c03_resolve_rule/turn_01,primary,resolve_rule,2041,45,2086,31,1792,249,0.9798164579551667,c460ccb8-5669-4d14-a012-6fcdefba04b4,3d042684771cf06fc513e1bc782a58b8d97b47b41d81c61ec469cf38d022584e,UNKNOWN
R7C_main,11,primary_c03_resolve_rule/turn_02,primary,resolve_rule,2077,57,2134,16,1920,157,0.6657978331204504,acc49c16-d667-4d22-913f-09fa4d9c538e,ad09082670d83160f613bef8f1efab52dbcd38dcb9123add8fa004f2d9f2bb1e,UNKNOWN
R7C_main,12,primary_c03_resolve_rule/turn_03,primary,resolve_rule,2162,27,2189,0,1920,242,1.0395913748070598,199cb160-d717-494a-b254-c733aac4c72a,1498f90d88cfcf09a606394dcdd8bc16f2b7583c763e05615888281f7fb9c56f,UNKNOWN
R7C_main,13,primary_c09_resolve_rule/turn_00,primary,resolve_rule,1977,141,2118,121,1536,441,1.454729750053957,c057e3b2-626a-4025-9686-1b9797b24571,5ede63f1285e04ce0b8c273cad538d585ffb34bcca7bc92d8b8966e1d7c6b7cf,UNKNOWN
R7C_main,14,primary_c09_resolve_rule/turn_01,primary,resolve_rule,2113,73,2186,22,1920,193,1.0794861251488328,0c79ff0e-97ca-4bce-89bd-b8609ad90bf3,712f45bf7350919d0b8de70bdd758cc10af537c6086ba11c3bbbbf0bcb4c8fce,UNKNOWN
R7C_main,15,primary_c09_resolve_rule/turn_02,primary,resolve_rule,2186,115,2301,50,2048,138,0.9919601250439882,bebaff09-da3d-4e0a-a028-9faa0915246d,98bc1bb01e7185f88570b52320951ea3a2af2e02240e25f494969a5c5236490b,UNKNOWN
R7C_main,16,primary_c09_stateless/turn_00,primary,stateless,1626,46,1672,26,1408,218,0.9176484160125256,b537e3a8-f965-4ae3-b044-f581b2bf2a86,87c0a13e2cc1009ed862c5fe579e6630846e59bfe9c9f9928489dfd52fe4f514,UNKNOWN
R7C_main,17,primary_c09_stateless/turn_01,primary,stateless,1762,81,1843,30,1536,226,1.2350368339102715,140516d8-7ac9-4e1e-a4db-9b6ac14e69cc,909b319c2bab34ddd27dada5cea09a59c6dfe1898942120b06e114ace5b59748,UNKNOWN
R7C_main,18,primary_c09_stateless/turn_02,primary,stateless,1835,96,1931,39,1664,171,0.8278889581561089,67c03aef-d352-47c0-b7e2-41e487faa76d,6085d03335117fbff6558f89e936f3a5134c109b7a601a1124a08856d3ae0612,UNKNOWN
R7C_main,19,primary_c09_inherited/turn_00,primary,inherited,1890,78,1968,58,1536,354,0.9819050841033459,b7c195d6-4af0-43fd-b9e2-41d7b95dbd7c,e3d99a35601fe449cead761b58b6b930c4a250a85f61ae40eeba2d0852f1254e,UNKNOWN
R7C_main,20,primary_c09_inherited/turn_01,primary,inherited,2026,152,2178,101,1792,234,1.1423830420244485,3e8e0abd-8b14-4a87-b3ff-aac28ec53cd7,b1906ac61e779e1fd78cb1b22ebeaddf9d89de58402dd53b5bc51c5c4c557f6b,UNKNOWN
R7C_main,21,primary_c09_inherited/turn_02,primary,inherited,2099,100,2199,59,1920,179,1.189628167077899,0303f7de-0493-4362-b9b8-20d3072a5d11,601b1a7331038eac1f169166db83a364be1f12813ef84f21e1ecc3433d3c7801,UNKNOWN
R7C_main,22,primary_c09_inherited/turn_03,primary,inherited,2256,92,2348,18,2048,208,1.2595569579862058,1db916f4-ff4e-44f5-baf6-2ec2f0ba0b12,58b0507d2b18fed5846c5a49f85780c0fe3e4240a85016252de8646785423c4e,UNKNOWN
R7C_main,23,primary_c04_resolve_rule/turn_00,primary,resolve_rule,1947,73,2020,59,1664,283,1.0847765000071377,ce23a4a6-bc0c-4c41-869e-fdbc82e48969,4ee62f5769334b9753ca889bb1ebcbd53f1527d54e81230c39d5844a4afbef99,UNKNOWN
R7C_main,24,primary_c04_resolve_rule/turn_01,primary,resolve_rule,1983,53,2036,12,1792,191,1.0235095829702914,63c9ca48-6393-4179-a165-df4c2850ef0d,bb26a57a68e4e787277af67260c4920d077529fc963be0397f6af1cbe28d27bf,UNKNOWN
R7C_main,25,primary_c04_resolve_rule/turn_02,primary,resolve_rule,2067,59,2126,10,1920,147,0.9873549160547554,c79d8013-8929-40db-a63f-8a5a5ddd2590,8d717f77e2dd6b2514e911b39870ddf3af30176562f313e0ac82c731a49371d2,UNKNOWN
R7C_main,26,primary_c04_stateless/turn_00,primary,stateless,1655,64,1719,50,1408,247,1.1191752499435097,698838bc-bd33-4e82-9306-41b12f18fc45,99c2bef113fbefbd86e107ee41aee61b5a52766e7f7b1270a2193d2984aa1b49,UNKNOWN
R7C_main,27,primary_c04_stateless/turn_01,primary,stateless,1691,52,1743,11,1536,155,0.9621842920314521,cbd6594c-9e5c-4308-801a-467f5d4ba964,2d36da844b551c75cc7d4eef6054976b7cb9963dbcac439b8b6a07bae655e84f,UNKNOWN
R7C_main,28,primary_c04_stateless/turn_02,primary,stateless,1773,53,1826,8,1536,237,0.9138339590281248,a37b0ad2-36ef-4c0a-b126-b83740d80088,f0378016297517e7f9692c7c1437c7df7da35773da64e3bd9d3b5473c9aa92ab,UNKNOWN
R7C_main,29,primary_c04_inherited/turn_00,primary,inherited,1860,119,1979,105,1536,324,1.2151735827792436,14cf94f3-bf76-4ce9-a9da-f2923c1224e5,f4df5a5506b1017ca01e7968146bee38737e922953962b2d5751968e34c9f96a,UNKNOWN
R7C_main,30,primary_c04_inherited/turn_01,primary,inherited,1896,51,1947,10,1664,232,1.308374125044793,60e81458-d068-4e1c-acab-f1f2632c7d8a,432694eb28b4feca91d9f2407ea59d38524652d11b1d4ce1dbb10cce28efd75c,UNKNOWN
R7C_main,31,primary_c04_inherited/turn_02,primary,inherited,1978,63,2041,8,1792,186,0.9899442500900477,7fb490ef-7756-4028-bb91-3475344f994d,e956e37f0b8ff8536d9da1ebcf361dc0b2b365b84219d266e9420045069e53c0,UNKNOWN
R7C_main,32,primary_c02_resolve_rule/turn_00,primary,resolve_rule,1934,71,2005,51,1664,270,1.167220750125125,9d0c3b36-217a-4e37-ba01-4fbc8fcaddfe,f2acce16fe6f8807fb6351f7daf24d79642b5ca7d096af75a1558e8825d6361b,UNKNOWN
R7C_main,33,primary_c02_resolve_rule/turn_01,primary,resolve_rule,2041,61,2102,47,1792,249,1.353507332969457,cbb20649-d5e3-4f46-8e7a-2bfe20cc14f6,e2d07cabf361c06e294555144e370d8b08a8dddb1e28fe9105dd3dbaf094d311,UNKNOWN
R7C_main,34,primary_c02_resolve_rule/turn_02,primary,resolve_rule,2077,57,2134,16,1920,157,0.9959275422152132,81c08fd8-d6ea-4e2d-8073-a68423c00e5a,18bb89ee175631241322baddc5bcb2727daadb9f6875c4a5adae84a1ccd4922f,UNKNOWN
R7C_main,35,primary_c02_resolve_rule/turn_03,primary,resolve_rule,2164,84,2248,15,1920,244,1.0710047921165824,5a3fcf5c-bfa5-4dfd-876e-544ebaa16642,6b0c86602a5a84fdb4104879194776e97fd26e1ff0011f75280bf1a365191981,UNKNOWN
R7C_main,36,primary_c02_inherited/turn_00,primary,inherited,1847,113,1960,93,1536,311,0.8990836248267442,dfcea218-3623-4483-8c9f-692740a315af,eb5373803e13ee30bf14c9e8ac0db7959541b534052c64c8b55baa010bbf31d3,UNKNOWN
R7C_main,37,primary_c02_inherited/turn_01,primary,inherited,1954,75,2029,34,1792,162,1.092472790973261,084e1ea4-7086-47f4-9b20-e4a95d5f2001,cc83e980f5938ea298e8d0190b5357e73f3d86a3fd99c3a6d7bcd51e1e45ab4b,UNKNOWN
R7C_main,38,primary_c02_inherited/turn_02,primary,inherited,2039,42,2081,15,1792,247,0.7676690828520805,c204a519-9911-4bb8-8a63-f1c5bb9850e6,99cd1f65b78291f3d5519b7a8767e60bc274f2dd68ca79f83c442571f8dd2803,UNKNOWN
R7C_main,39,primary_c02_stateless/turn_00,primary,stateless,1642,94,1736,74,1408,234,1.2438761671073735,5bd26192-f05f-4b45-a437-dbbde64d8b0c,c3a32705d9a13b0f73a12cc496fddc104baadb6d70162b81da8bd8e9b7c742bc,UNKNOWN
R7C_main,40,primary_c02_stateless/turn_01,primary,stateless,1749,70,1819,56,1536,213,1.1071423750836402,d701beed-46a1-49f8-b674-60083192d88d,c83021d4e81cdf3c381706d3e24eb705ad2d6a4e6c52529cd2170becadb010a7,UNKNOWN
R7C_main,41,primary_c02_stateless/turn_02,primary,stateless,1785,51,1836,10,1536,249,1.0137702079955488,85c7ecf5-f7fd-44bf-bc6e-29219c8fd12d,9fff1d55a80bc7726526c4315cb8b0d4f9849c003f4f1e1e0d5651359c1dfb9c,UNKNOWN
R7C_main,42,primary_c02_stateless/turn_03,primary,stateless,1870,97,1967,41,1664,206,1.2052676670718938,a303006c-5459-4593-8771-882e06df8f62,f386f1b72702f40ce4d1188ca30835f85cc49b02dd647e3d1096b373da9635d8,UNKNOWN
R7C_main,43,primary_c11_stateless/turn_00,primary,stateless,1626,28,1654,8,1408,218,1.2602131250314415,b32514af-2b63-4428-81e4-8ea1f1db46d2,87c0a13e2cc1009ed862c5fe579e6630846e59bfe9c9f9928489dfd52fe4f514,UNKNOWN
R7C_main,44,primary_c11_stateless/turn_01,primary,stateless,1747,104,1851,54,1536,211,1.618237541988492,b253fc05-a4d4-4ed4-b606-a34dec9b360d,da3aa4d66d8c9e1dc0d069ccfbc513428c0e049671de41dc6c52b7f266054b20,UNKNOWN
R7C_main,45,primary_c11_stateless/turn_02,primary,stateless,1819,82,1901,42,1664,155,1.165320625063032,3fefb14d-2d3e-428c-b6e1-ec8717edc210,9b55607c8e6a1bd83ecd4d3b4b0c9efb8924de12e3064c74a13ac65399da5644,UNKNOWN
R7C_main,46,primary_c11_stateless/turn_03,primary,stateless,1960,86,2046,23,1792,168,1.1460381250362843,cef3a305-87b5-4667-bf53-fc925219f04b,a02da82add697b717dff9b111c14e13e9cac4ae0d87f41a877ed700214e44aa7,UNKNOWN
R7C_main,47,primary_c11_resolve_rule/turn_00,primary,resolve_rule,1962,86,2048,66,1536,426,1.181449665920809,574d8e0e-1ee6-4fea-a888-940ff0d70374,005d6d12faed55425792715ddb5825016f9dd9bf02f6235f69a151587f2c6556,UNKNOWN
R7C_main,48,primary_c11_resolve_rule/turn_01,primary,resolve_rule,2083,101,2184,51,1920,163,1.2263509999029338,f6f0680a-b9bb-4391-9f1c-3805c70228a0,86f602fcca0164e7506a2e11799c0edfed37152ac5878140abb17372882c8a9e,UNKNOWN
R7C_main,49,primary_c11_resolve_rule/turn_02,primary,resolve_rule,2155,108,2263,51,1920,235,1.986708957934752,c8a30d4f-f8ca-4d0f-a974-1b3c62a56514,b79a40aa2f7d645109c783009b389f1afa912e4046b631e0e9e65fa9cc137879,UNKNOWN
R7C_main,50,primary_c11_inherited/turn_00,primary,inherited,1875,230,2105,210,1536,339,1.7421197080984712,5509438d-2e7b-4dd0-8f97-576d075836be,046c1d77da3cd3d0c44ff1304d5582f0875b8bf738e8c22fcf6a6b147bf604d9,UNKNOWN
R7C_main,51,primary_c11_inherited/turn_01,primary,inherited,1996,131,2127,81,1792,204,1.0980585000943393,312ad93f-c073-4495-9eff-2c3335bd8d84,80add82f6b261ae913567715e07fce98744671cd64d694398a37d2ed53313b52,UNKNOWN
R7C_main,52,primary_c11_inherited/turn_02,primary,inherited,2068,78,2146,20,1920,148,1.0048126669134945,9ac750c9-5776-4a79-96a3-57db8c0a40fe,9b720dced5d7212128c9071914abca82fc55b20fba080d43b59df9f6fc03fbfc,UNKNOWN
R7C_main,53,primary_c13_inherited/turn_00,primary,inherited,1860,84,1944,70,1664,196,1.0690315840765834,f472d01a-2336-4ea1-8bf6-6e589370df74,f4df5a5506b1017ca01e7968146bee38737e922953962b2d5751968e34c9f96a,UNKNOWN
R7C_main,54,primary_c13_inherited/turn_01,primary,inherited,1896,64,1960,48,1664,232,1.0826221669558436,23656496-db03-4f1d-9a5f-9f5323033c9a,ea7bca2bfdcbf4dc15a4437723953a0ccd8f89658f705b3c440ec84836924d46,UNKNOWN
R7C_main,55,primary_c13_inherited/turn_02,primary,inherited,1934,45,1979,4,1792,142,0.8832294580060989,60757cb8-cd69-43fd-b8bc-e9dd8d95b343,05aead6b62c496d84549161308a9834b48a27d6f9f3202f9be4a44aebb27378c,UNKNOWN
R7C_main,56,primary_c13_inherited/turn_03,primary,inherited,2024,198,2222,137,1792,232,1.418106541968882,1db78ac3-7a76-47bf-a2f1-033440f485ae,926f4d495f73374f928ddb982fdef4a6641e19d0ed3dc3485aa63f3874ccb88e,UNKNOWN
