episode_id,phase,case_id,family,variant,arm,safe_success,goal_achieved,wrong_write,terminated,model_calls,tool_calls,tool_errors,identity_reads_before_write,identity_reads_after_write,cellular_reads,cellular_enables,goal_kind,target
primary_c03_stateless,primary,c03,person_message,changed_current_observation,stateless,True,True,False,True,4,3,0,1,0,1,0,person,+12025550119
primary_c03_inherited,primary,c03,person_message,changed_current_observation,inherited,True,True,False,True,4,3,0,1,0,1,0,person,+12025550119
primary_c03_resolve_rule,primary,c03,person_message,changed_current_observation,resolve_rule,True,True,False,True,4,3,0,1,0,1,0,person,+12025550119
primary_c09_resolve_rule,primary,c09,reminder_label,unrelated,resolve_rule,True,True,False,True,3,2,0,1,0,0,0,reminder,54f20be9-eac3-5e76-8e57-724e48d3d477
primary_c09_stateless,primary,c09,reminder_label,unrelated,stateless,True,True,False,True,3,2,0,1,0,0,0,reminder,54f20be9-eac3-5e76-8e57-724e48d3d477
primary_c09_inherited,primary,c09,reminder_label,unrelated,inherited,True,True,False,True,4,3,0,1,1,0,0,reminder,54f20be9-eac3-5e76-8e57-724e48d3d477
primary_c04_resolve_rule,primary,c04,literal_message,stable,resolve_rule,True,True,False,True,3,2,0,0,0,1,0,phone,+12453344098
primary_c04_stateless,primary,c04,literal_message,stable,stateless,True,True,False,True,3,2,0,0,0,1,0,phone,+12453344098
primary_c04_inherited,primary,c04,literal_message,stable,inherited,True,True,False,True,3,2,0,0,0,1,0,phone,+12453344098
primary_c02_resolve_rule,primary,c02,person_message,changed_old_observation,resolve_rule,True,True,False,True,4,3,0,1,0,1,0,person,+12025550119
primary_c02_inherited,primary,c02,person_message,changed_old_observation,inherited,True,True,False,True,3,2,0,1,0,0,0,person,+12025550119
primary_c02_stateless,primary,c02,person_message,changed_old_observation,stateless,True,True,False,True,4,3,0,1,0,1,0,person,+12025550119
primary_c11_stateless,primary,c11,reminder_label,changed_current_observation,stateless,True,True,False,True,4,3,0,1,1,0,0,reminder,da2b856e-9390-511f-bcbe-7005f72cbf5e
primary_c11_resolve_rule,primary,c11,reminder_label,changed_current_observation,resolve_rule,True,True,False,True,3,2,0,1,0,0,0,reminder,da2b856e-9390-511f-bcbe-7005f72cbf5e
primary_c11_inherited,primary,c11,reminder_label,changed_current_observation,inherited,True,True,False,True,3,2,0,1,0,0,0,reminder,da2b856e-9390-511f-bcbe-7005f72cbf5e
primary_c13_inherited,primary,c13,literal_message,combined_error,inherited,True,True,False,True,4,3,0,0,0,1,1,phone,+12453344098
primary_c13_resolve_rule,primary,c13,literal_message,combined_error,resolve_rule,True,True,False,True,4,3,0,0,0,1,1,phone,+12453344098
primary_c13_stateless,primary,c13,literal_message,combined_error,stateless,True,True,False,True,4,3,0,0,0,1,1,phone,+12453344098
primary_c10_resolve_rule,primary,c10,reminder_label,changed_old_observation,resolve_rule,True,True,False,True,3,2,0,1,0,0,0,reminder,da2b856e-9390-511f-bcbe-7005f72cbf5e
primary_c10_stateless,primary,c10,reminder_label,changed_old_observation,stateless,True,True,False,True,4,3,0,1,1,0,0,reminder,da2b856e-9390-511f-bcbe-7005f72cbf5e
primary_c10_inherited,primary,c10,reminder_label,changed_old_observation,inherited,True,True,False,True,4,3,0,1,1,0,0,reminder,da2b856e-9390-511f-bcbe-7005f72cbf5e
primary_c08_inherited,primary,c08,reminder_label,stable,inherited,True,True,False,True,3,2,0,1,0,0,0,reminder,54f20be9-eac3-5e76-8e57-724e48d3d477
