condition,menu,method,tasks,successes,failures,credits,task_cost,semantic_mismatches,stale_but_correct,success_rate,mean_task_cost,mean_brier
data_shift,shared,age_paced,128,105,23,126,29.299999999999997,46,17,0.8203125,0.22890624999999998,0.11730940363850469
data_shift,shared,any_exact,128,106,22,125,28.249999999999996,45,17,0.828125,0.22070312499999997,0.1169736214727503
data_shift,shared,never,128,87,41,0,41.0,104,34,0.6796875,0.3203125,0.21826701357394387
data_shift,shared,semantic_exact,128,106,22,125,28.249999999999996,43,16,0.828125,0.22070312499999997,0.11747093808856054
data_shift,shared,single_effect_exact,128,111,17,120,23.0,43,23,0.8671875,0.1796875,0.10193802846881236
data_shift,shared,task_exact,128,109,19,118,24.9,47,22,0.8515625,0.19453125,0.1154282957399429
data_shift,shared,task_myopic,128,99,29,121,35.05,77,30,0.7734375,0.273828125,0.1412887786973138
data_shift,shared,task_rollout2,128,106,22,120,27.999999999999993,51,22,0.828125,0.21874999999999994,0.12475837798426542
data_shift,single,age_paced,128,100,28,128,34.40000000000002,63,21,0.78125,0.26875000000000016,0.14961096094709994
data_shift,single,any_exact,128,99,29,128,35.40000000000002,54,16,0.7734375,0.27656250000000016,0.1446481710494581
data_shift,single,never,128,87,41,0,41.0,104,34,0.6796875,0.3203125,0.21826701357394387
data_shift,single,semantic_exact,128,96,32,128,38.40000000000003,58,17,0.75,0.3000000000000002,0.15993879926008164
data_shift,single,single_effect_exact,128,100,28,122,34.100000000000016,59,24,0.78125,0.2664062500000001,0.13969645467638994
data_shift,single,task_exact,128,100,28,120,34.000000000000014,58,23,0.78125,0.2656250000000001,0.13934076572603565
data_shift,single,task_myopic,128,102,26,122,32.10000000000001,66,26,0.796875,0.25078125000000007,0.1492393584148996
data_shift,single,task_rollout2,128,98,30,122,36.100000000000016,61,21,0.765625,0.2820312500000001,0.14583296061493842
fast_drift,shared,age_paced,128,79,49,127,55.34999999999999,88,20,0.6171875,0.4324218749999999,0.2145980409839913
fast_drift,shared,any_exact,128,91,37,128,43.39999999999999,73,17,0.7109375,0.33906249999999993,0.1848829552736533
fast_drift,shared,never,128,65,63,0,63.0,128,26,0.5078125,0.4921875,0.23195917646387781
fast_drift,shared,semantic_exact,128,91,37,128,43.39999999999999,73,17,0.7109375,0.33906249999999993,0.1848829552736533
fast_drift,shared,single_effect_exact,128,92,36,121,42.05,83,26,0.71875,0.328515625,0.19011042682788826
fast_drift,shared,task_exact,128,92,36,119,41.949999999999996,83,26,0.71875,0.32773437499999997,0.1902077372843523
fast_drift,shared,task_myopic,128,81,47,119,52.94999999999999,105,19,0.6328125,0.4136718749999999,0.16678405534037338
fast_drift,shared,task_rollout2,128,93,35,120,40.99999999999999,82,25,0.7265625,0.32031249999999994,0.18010855150919156
fast_drift,single,age_paced,128,70,58,128,64.40000000000006,92,14,0.546875,0.5031250000000005,0.23308747455324552
fast_drift,single,any_exact,128,85,43,128,49.40000000000005,88,24,0.6640625,0.3859375000000004,0.20263476544681325
fast_drift,single,never,128,65,63,0,63.0,128,26,0.5078125,0.4921875,0.23195917646387781
fast_drift,single,semantic_exact,128,82,46,128,52.40000000000006,89,25,0.640625,0.4093750000000005,0.22574297535535073
fast_drift,single,single_effect_exact,128,88,40,122,46.10000000000003,99,28,0.6875,0.36015625000000023,0.19533382969550273
fast_drift,single,task_exact,128,88,40,122,46.10000000000003,99,28,0.6875,0.36015625000000023,0.19605817812777096
fast_drift,single,task_myopic,128,85,43,120,49.00000000000004,106,24,0.6640625,0.38281250000000033,0.1740969594516538
fast_drift,single,task_rollout2,128,90,38,122,44.10000000000003,90,26,0.703125,0.34453125000000023,0.17538659353749741
matched,shared,age_paced,128,92,36,127,42.34999999999999,66,18,0.71875,0.3308593749999999,0.16687334602814224
matched,shared,any_exact,128,96,32,125,38.24999999999999,62,24,0.75,0.29882812499999994,0.16003870441731044
matched,shared,never,128,64,64,0,64.0,122,22,0.5,0.5,0.21451640392302707
matched,shared,semantic_exact,128,96,32,125,38.24999999999999,62,24,0.75,0.29882812499999994,0.16003870441731044
matched,shared,single_effect_exact,128,98,30,126,36.300000000000004,62,25,0.765625,0.28359375000000003,0.15737950644473353
matched,shared,task_exact,128,98,30,126,36.30000000000001,65,28,0.765625,0.2835937500000001,0.15717509322937742
matched,shared,task_myopic,128,99,29,127,35.35000000000001,64,23,0.7734375,0.27617187500000007,0.13596307096814084
