attempt,logical_id,latency_seconds,response_error,prompt_tokens,completion_tokens,total_tokens,reasoning_tokens,cached_input_tokens
1,primary_x06_intent/turn_00,1.009972290834412,,1511,94,1605,20,0
2,primary_x06_intent/turn_01,1.2825586660765111,,1739,219,1958,31,1536
3,primary_x06_intent/turn_02,1.341288291849196,,2000,184,2184,72,1792
4,primary_x06_intent/turn_03,2.4784562080167234,,2391,468,2859,79,2176
5,primary_x10_both/turn_00,1.0764494580216706,,1472,175,1647,133,0
6,primary_x10_both/turn_01,1.5596860421355814,,1724,105,1829,25,1536
7,primary_x10_both/turn_02,0.7943410840816796,,1871,48,1919,6,1664
8,primary_x10_both/turn_03,1.6283702079672366,,1996,288,2284,40,1792
9,primary_x09_minimal/turn_00,1.1595866249408573,,1483,113,1596,35,0
10,primary_x09_minimal/turn_01,1.2602535830810666,,1737,263,2000,59,1536
11,primary_x09_minimal/turn_02,0.9682617499493062,,2028,98,2126,21,1792
12,primary_x09_minimal/turn_03,1.7359908330254257,,2261,397,2658,187,2048
13,primary_x09_minimal/turn_04,1.0976562909781933,,2700,144,2844,37,2560
14,primary_x09_minimal/turn_05,1.9607636251021177,,3052,353,3405,70,2816
15,primary_x06_both/turn_00,1.106050959089771,,1550,121,1671,37,1152
16,primary_x06_both/turn_01,1.5977017090190202,,1805,300,2105,101,1664
17,primary_x06_both/turn_02,0.9991116668097675,,2147,179,2326,69,1920
18,primary_x06_both/turn_03,1.6377609169576317,,2533,305,2838,64,2304
19,primary_x05_generic/turn_00,1.1440597500186414,,1336,178,1514,137,0
20,primary_x05_generic/turn_01,1.2972284168936312,,1572,159,1731,82,1408
21,primary_x05_generic/turn_02,0.9775266251526773,,1759,54,1813,13,1536
22,primary_x05_generic/turn_03,1.1146072919946164,,1871,103,1974,26,1664
23,primary_x05_generic/turn_04,0.963037583976984,,2017,47,2064,6,1792
24,primary_x05_generic/turn_05,2.163714583031833,,2122,383,2505,66,1920
25,primary_x08_intent/turn_00,1.138773167040199,,1517,98,1615,20,1152
26,primary_x08_intent/turn_01,1.5315397081431001,,1755,241,1996,46,1536
27,primary_x08_intent/turn_02,0.9331118748523295,,2038,173,2211,56,1792
28,primary_x08_intent/turn_03,2.5179614168591797,,2424,452,2876,154,2176
29,primary_x07_intent/turn_00,1.0033460829872638,,1511,111,1622,36,1152
30,primary_x07_intent/turn_01,1.3192951248493046,,1756,261,2017,60,1536
31,primary_x07_intent/turn_02,1.1212617920245975,,2059,150,2209,70,1920
32,primary_x07_intent/turn_03,2.7552658750209957,,2343,507,2850,61,2176
33,primary_x00_both/turn_00,0.9529013750143349,,1499,66,1565,14,1152
34,primary_x00_both/turn_01,1.4783641251269728,,1676,268,1944,76,1536
35,primary_x00_both/turn_02,1.0939068750012666,,1987,117,2104,20,1792
36,primary_x00_both/turn_03,1.936896292027086,,2269,284,2553,56,2048
37,primary_x06_generic/turn_00,1.0109704579226673,,1437,103,1540,43,1024
38,primary_x06_generic/turn_01,1.328334332909435,,1674,213,1887,57,1536
39,primary_x06_generic/turn_02,1.0629278749693185,,1929,49,1978,7,1792
40,primary_x06_generic/turn_03,1.7704718329478055,,2055,285,2340,58,1920
41,primary_x11_minimal/turn_00,0.8678902089595795,,1398,112,1510,60,1024
42,primary_x11_minimal/turn_01,1.0608334999997169,,1587,200,1787,91,1408
43,primary_x11_minimal/turn_02,1.02783124987036,,1815,71,1886,15,1664
44,primary_x11_minimal/turn_03,1.0685244998894632,,1963,112,2075,32,1792
45,primary_x11_minimal/turn_04,0.7418956670444459,,2117,64,2181,15,1920
46,primary_x11_minimal/turn_05,2.483154999790713,,2258,508,2766,104,2048
47,primary_x05_both/turn_00,1.2191939579788595,,1449,114,1563,73,1152
48,primary_x05_both/turn_01,1.3806041250936687,,1621,167,1788,90,1408
49,primary_x05_both/turn_02,1.3496690839529037,,1816,55,1871,14,1664
50,primary_x05_both/turn_03,0.9038755840156227,,1929,149,2078,72,1792
51,primary_x05_both/turn_04,0.9967726250179112,,2121,46,2167,5,1920
52,primary_x05_both/turn_05,2.358386707957834,,2225,518,2743,44,2048
53,primary_x11_both/turn_00,1.3283107921015471,,1472,239,1711,171,1152
54,primary_x11_both/turn_01,1.4039439999032766,,1788,166,1954,46,1536
55,primary_x11_both/turn_02,0.9977042919490486,,1982,71,2053,12,1792
56,primary_x11_both/turn_03,1.4165320829488337,,2130,179,2309,73,1920
57,primary_x11_both/turn_04,0.9770523339975625,,2351,77,2428,16,2176
58,primary_x11_both/turn_05,1.8988837080541998,,2505,316,2821,68,2304
59,primary_x07_minimal/turn_00,1.1784450421109796,,1476,99,1575,21,1024
60,primary_x07_minimal/turn_01,1.4022390830796212,,1709,261,1970,73,1536
61,primary_x07_minimal/turn_02,1.265045041916892,,2012,80,2092,22,1792
62,primary_x07_minimal/turn_03,2.170356791932136,,2169,441,2610,52,1920
63,primary_x00_minimal/turn_00,1.3824531249701977,,1425,110,1535,69,1024
64,primary_x00_minimal/turn_01,1.6396853330079466,,1646,234,1880,82,1408
65,primary_x00_minimal/turn_02,1.1577590410597622,,1923,82,2005,41,1664
66,primary_x00_minimal/turn_03,1.5071857920847833,,2116,184,2300,8,1920
67,primary_x03_intent/turn_00,0.8204623751807958,,1464,76,1540,14,1024
68,primary_x03_intent/turn_01,1.4575277077965438,,1655,251,1906,70,1408
69,primary_x03_intent/turn_02,0.9153701248578727,,1934,95,2029,31,1792
70,primary_x03_intent/turn_03,1.3707934580743313,,2133,175,2308,26,1920
71,primary_x03_intent/turn_04,1.0866265839431435,,2351,173,2524,74,2176
72,primary_x03_intent/turn_05,2.9950344578828663,,2682,597,3279,61,2432
73,primary_x08_both/turn_00,1.0367757079657167,,1556,81,1637,21,1152
74,primary_x08_both/turn_01,1.6275739159900695,,1777,256,2033,77,1536
75,primary_x08_both/turn_02,1.2562840001191944,,2061,117,2178,25,1920
76,primary_x08_both/turn_03,1.1727106659673154,,2391,244,2635,65,2176
77,primary_x08_both/turn_04,0.7915637500118464,,2677,120,2797,28,2432
78,primary_x08_both/turn_05,1.7551194159314036,,3010,252,3262,38,2688
