cohort,scenario,variant,official_similarity,terminal_valid,full_score_terminal_mismatch,original_full_and_terminal,native_tool_calls,native_tool_errors,source
settings,cellular_off,achieve_revert_repair,1.0,True,False,True,3,0,results/native_run1/trajectories/cellular_off__achieve_revert_repair.json
settings,cellular_off,achieve_then_revert,1.0,False,True,False,2,0,results/native_run1/trajectories/cellular_off__achieve_then_revert.json
settings,cellular_off,claim_only,0.5,False,False,False,0,0,results/native_run1/trajectories/cellular_off__claim_only.json
settings,cellular_off,correct,1.0,True,False,True,1,0,results/native_run1/trajectories/cellular_off__correct.json
settings,cellular_off,correct_then_redundant_error,1.0,True,False,True,2,1,results/native_run1/trajectories/cellular_off__correct_then_redundant_error.json
settings,cellular_off,error_then_correct,1.0,True,False,True,2,1,results/native_run1/trajectories/cellular_off__error_then_correct.json
settings,turn_on_cellular_low_battery_mode,achieve_revert_repair,1.0,True,False,True,4,0,results/native_run1/trajectories/turn_on_cellular_low_battery_mode__achieve_revert_repair.json
settings,turn_on_cellular_low_battery_mode,achieve_then_revert,1.0,False,True,False,3,0,results/native_run1/trajectories/turn_on_cellular_low_battery_mode__achieve_then_revert.json
settings,turn_on_cellular_low_battery_mode,claim_only,0.3333333333333333,False,False,False,0,0,results/native_run1/trajectories/turn_on_cellular_low_battery_mode__claim_only.json
settings,turn_on_cellular_low_battery_mode,correct,1.0,True,False,True,2,0,results/native_run1/trajectories/turn_on_cellular_low_battery_mode__correct.json
settings,turn_on_cellular_low_battery_mode,correct_then_redundant_error,1.0,True,False,True,3,1,results/native_run1/trajectories/turn_on_cellular_low_battery_mode__correct_then_redundant_error.json
settings,turn_on_cellular_low_battery_mode,error_then_correct,1.0,True,False,True,3,1,results/native_run1/trajectories/turn_on_cellular_low_battery_mode__error_then_correct.json
settings,turn_on_location_low_battery_mode,achieve_revert_repair,1.0,True,False,True,4,0,results/native_run1/trajectories/turn_on_location_low_battery_mode__achieve_revert_repair.json
settings,turn_on_location_low_battery_mode,achieve_then_revert,1.0,False,True,False,3,0,results/native_run1/trajectories/turn_on_location_low_battery_mode__achieve_then_revert.json
settings,turn_on_location_low_battery_mode,claim_only,0.3333333333333333,False,False,False,0,0,results/native_run1/trajectories/turn_on_location_low_battery_mode__claim_only.json
settings,turn_on_location_low_battery_mode,correct,1.0,True,False,True,2,0,results/native_run1/trajectories/turn_on_location_low_battery_mode__correct.json
settings,turn_on_location_low_battery_mode,correct_then_redundant_error,1.0,True,False,True,3,1,results/native_run1/trajectories/turn_on_location_low_battery_mode__correct_then_redundant_error.json
settings,turn_on_location_low_battery_mode,error_then_correct,1.0,True,False,True,3,1,results/native_run1/trajectories/turn_on_location_low_battery_mode__error_then_correct.json
settings,turn_on_wifi_low_battery_mode,achieve_revert_repair,1.0,True,False,True,4,0,results/native_run1/trajectories/turn_on_wifi_low_battery_mode__achieve_revert_repair.json
settings,turn_on_wifi_low_battery_mode,achieve_then_revert,1.0,False,True,False,3,0,results/native_run1/trajectories/turn_on_wifi_low_battery_mode__achieve_then_revert.json
settings,turn_on_wifi_low_battery_mode,claim_only,0.3333333333333333,False,False,False,0,0,results/native_run1/trajectories/turn_on_wifi_low_battery_mode__claim_only.json
settings,turn_on_wifi_low_battery_mode,correct,1.0,True,False,True,2,0,results/native_run1/trajectories/turn_on_wifi_low_battery_mode__correct.json
settings,turn_on_wifi_low_battery_mode,correct_then_redundant_error,1.0,True,False,True,3,1,results/native_run1/trajectories/turn_on_wifi_low_battery_mode__correct_then_redundant_error.json
settings,turn_on_wifi_low_battery_mode,error_then_correct,1.0,True,False,True,3,1,results/native_run1/trajectories/turn_on_wifi_low_battery_mode__error_then_correct.json
settings,wifi_off,achieve_revert_repair,1.0,True,False,True,3,0,results/native_run1/trajectories/wifi_off__achieve_revert_repair.json
settings,wifi_off,achieve_then_revert,1.0,False,True,False,2,0,results/native_run1/trajectories/wifi_off__achieve_then_revert.json
settings,wifi_off,claim_only,0.5,False,False,False,0,0,results/native_run1/trajectories/wifi_off__claim_only.json
