logical_id,method,phase,stream,step,status,finish_reason,prompt_tokens,completion_tokens,cached_input_tokens,reasoning_tokens,visible_token_difference,issues,latency_seconds,estimate,currency,price_reason
r2/rc/0/shared_initial,shared_prefix,shared_prefix,0,,ok,stop,209,421,0,406,15,[],2.182192499982193,,UNKNOWN,prices_unknown
r2/rc/0/0/ttl/plan,ttl,plan,0,0,ok,stop,249,210,0,197,13,[],1.128177042119205,,UNKNOWN,prices_unknown
r2/rc/0/0/ttl/answer,ttl,answer,0,0,ok,stop,214,111,0,101,10,[],1.3081420410890132,,UNKNOWN,prices_unknown
r2/rc/0/0/always/plan,always,plan,0,0,ok,stop,249,177,0,164,13,[],1.4916113340295851,,UNKNOWN,prices_unknown
r2/rc/0/0/always/answer,always,answer,0,0,ok,stop,214,230,0,220,10,[],1.5296903329435736,,UNKNOWN,prices_unknown
r2/rc/0/0/recheck/plan,recheck,plan,0,0,ok,stop,249,231,0,218,13,[],1.685567958978936,,UNKNOWN,prices_unknown
r2/rc/0/0/recheck/answer,recheck,answer,0,0,ok,stop,214,166,0,156,10,[],1.4967832919210196,,UNKNOWN,prices_unknown
r2/rc/0/0/myopic/plan,myopic,plan,0,0,ok,stop,249,254,0,241,13,[],1.740138916997239,,UNKNOWN,prices_unknown
r2/rc/0/0/myopic/answer,myopic,answer,0,0,ok,stop,214,225,0,215,10,[],1.6158265839330852,,UNKNOWN,prices_unknown
r2/rc/0/0/never/plan,never,plan,0,0,ok,stop,249,167,0,154,13,[],1.380404874915257,,UNKNOWN,prices_unknown
r2/rc/0/0/never/answer,never,answer,0,0,ok,stop,214,144,0,134,10,[],1.445660375058651,,UNKNOWN,prices_unknown
r2/rc/0/1/always/plan,always,plan,0,1,ok,stop,249,258,0,245,13,[],1.7844365001656115,,UNKNOWN,prices_unknown
r2/rc/0/1/always/answer,always,answer,0,1,ok,stop,214,188,0,178,10,[],1.285636791959405,,UNKNOWN,prices_unknown
r2/rc/0/1/recheck/plan,recheck,plan,0,1,ok,stop,249,279,0,266,13,[],1.5928031669463962,,UNKNOWN,prices_unknown
r2/rc/0/1/recheck/answer,recheck,answer,0,1,ok,stop,214,94,0,82,12,[],0.871512999990955,,UNKNOWN,prices_unknown
r2/rc/0/1/myopic/plan,myopic,plan,0,1,ok,stop,249,172,0,159,13,[],1.3673952498938888,,UNKNOWN,prices_unknown
r2/rc/0/1/myopic/answer,myopic,answer,0,1,ok,stop,214,221,0,211,10,[],2.2740829999092966,,UNKNOWN,prices_unknown
r2/rc/0/1/never/plan,never,plan,0,1,ok,stop,249,211,0,198,13,[],1.3373332920018584,,UNKNOWN,prices_unknown
r2/rc/0/1/never/answer,never,answer,0,1,ok,stop,214,105,0,95,10,[],1.1707190000452101,,UNKNOWN,prices_unknown
