stream,condition,step,replicate,probe_diff,payload_diff,relevant_semantic_diff,recheck_success,myopic_success
0,matched_low,0,primary,False,False,False,True,True
0,matched_low,1,primary,True,False,False,True,True
0,matched_low,2,primary,False,False,False,True,True
0,matched_low,3,primary,False,False,False,True,True
0,matched_low,4,primary,False,False,False,True,True
0,matched_low,5,primary,True,False,False,True,True
0,matched_low,5,repeat,True,False,False,True,True
0,matched_low,6,primary,True,False,False,True,True
0,matched_low,7,primary,False,False,False,True,True
0,matched_low,8,primary,False,False,False,True,True
0,matched_low,9,primary,False,False,False,True,True
0,matched_low,10,primary,False,False,False,True,True
0,matched_low,11,primary,False,False,False,False,False
1,matched_low,0,primary,False,False,False,True,True
1,matched_low,1,primary,True,False,False,True,True
1,matched_low,2,primary,True,False,False,True,True
1,matched_low,3,primary,True,False,False,True,True
1,matched_low,4,primary,False,False,False,True,True
1,matched_low,5,primary,False,False,False,True,True
1,matched_low,5,repeat,False,False,False,True,True
1,matched_low,6,primary,False,False,False,True,True
1,matched_low,7,primary,True,True,True,True,False
1,matched_low,8,primary,True,False,False,True,True
1,matched_low,9,primary,True,False,False,True,True
1,matched_low,10,primary,False,False,False,True,True
1,matched_low,11,primary,True,True,True,False,True
2,matched_low,0,primary,False,False,False,True,True
2,matched_low,1,primary,True,False,False,True,True
2,matched_low,2,primary,False,False,False,True,True
2,matched_low,3,primary,False,False,False,True,True
2,matched_low,4,primary,False,False,False,True,True
2,matched_low,5,primary,True,False,False,True,True
2,matched_low,5,repeat,True,False,False,True,True
2,matched_low,6,primary,True,False,False,True,True
2,matched_low,7,primary,True,False,False,True,True
2,matched_low,8,primary,False,False,False,True,True
2,matched_low,9,primary,False,False,False,True,True
2,matched_low,10,primary,False,False,False,True,True
2,matched_low,11,primary,False,False,False,False,False
3,matched_low,0,primary,False,False,False,True,True
3,matched_low,1,primary,False,False,False,True,True
3,matched_low,2,primary,False,False,False,True,True
3,matched_low,3,primary,False,False,False,True,True
3,matched_low,4,primary,True,True,True,True,False
3,matched_low,5,primary,True,True,True,False,True
3,matched_low,5,repeat,True,True,True,False,True
3,matched_low,6,primary,True,False,False,True,True
3,matched_low,7,primary,False,False,False,True,True
3,matched_low,8,primary,False,False,False,True,True
3,matched_low,9,primary,False,False,False,True,True
3,matched_low,10,primary,False,False,False,True,True
3,matched_low,11,primary,False,False,False,True,True
