logical_id,method,replicate,stream,step,status,finish_reason,prompt_tokens,completion_tokens,cached_input_tokens,reasoning_tokens,visible_token_difference,issues,latency_seconds,estimate,currency,price_reason
r3/rc/0/0/recheck/primary,recheck,primary,0,0,ok,stop,211,89,0,81,8,[],0.7850629170425236,,UNKNOWN,prices_unknown
r3/rc/0/0/myopic/primary,myopic,primary,0,0,ok,stop,211,124,0,116,8,[],1.412913457956165,,UNKNOWN,prices_unknown
r3/rc/0/1/myopic/primary,myopic,primary,0,1,ok,stop,211,140,0,132,8,[],1.4374042910058051,,UNKNOWN,prices_unknown
r3/rc/0/1/recheck/primary,recheck,primary,0,1,ok,stop,211,106,0,98,8,[],1.610641166800633,,UNKNOWN,prices_unknown
r3/rc/0/2/recheck/primary,recheck,primary,0,2,ok,stop,230,106,0,98,8,[],1.2338101251516491,,UNKNOWN,prices_unknown
r3/rc/0/2/myopic/primary,myopic,primary,0,2,ok,stop,230,101,0,94,7,[],0.9968265420757234,,UNKNOWN,prices_unknown
r3/rc/0/3/myopic/primary,myopic,primary,0,3,ok,stop,211,129,0,121,8,[],1.2603491249028593,,UNKNOWN,prices_unknown
r3/rc/0/3/recheck/primary,recheck,primary,0,3,ok,stop,211,94,0,86,8,[],1.3757520420476794,,UNKNOWN,prices_unknown
r3/rc/0/4/recheck/primary,recheck,primary,0,4,ok,stop,211,119,0,111,8,[],0.809824459021911,,UNKNOWN,prices_unknown
r3/rc/0/4/myopic/primary,myopic,primary,0,4,ok,stop,211,93,0,85,8,[],1.2132699999492615,,UNKNOWN,prices_unknown
r3/rc/0/5/myopic/primary,myopic,primary,0,5,ok,stop,211,100,0,92,8,[],1.2534100408665836,,UNKNOWN,prices_unknown
r3/rc/0/5/myopic/repeat,myopic,repeat,0,5,ok,stop,211,93,0,85,8,[],1.2837181659415364,,UNKNOWN,prices_unknown
r3/rc/0/5/recheck/primary,recheck,primary,0,5,ok,stop,211,106,0,98,8,[],1.4204317089170218,,UNKNOWN,prices_unknown
r3/rc/0/5/recheck/repeat,recheck,repeat,0,5,ok,stop,211,76,0,68,8,[],1.6486185828689486,,UNKNOWN,prices_unknown
r3/rc/0/6/recheck/primary,recheck,primary,0,6,ok,stop,211,102,0,94,8,[],1.2601354580838233,,UNKNOWN,prices_unknown
r3/rc/0/6/myopic/primary,myopic,primary,0,6,ok,stop,211,128,0,120,8,[],1.8603715000208467,,UNKNOWN,prices_unknown
r3/rc/0/7/myopic/primary,myopic,primary,0,7,ok,stop,181,23,0,21,2,[],0.7807747500482947,,UNKNOWN,prices_unknown
r3/rc/0/7/recheck/primary,recheck,primary,0,7,ok,stop,181,66,0,64,2,[],0.9337544171139598,,UNKNOWN,prices_unknown
r3/rc/0/8/recheck/primary,recheck,primary,0,8,ok,stop,181,26,0,24,2,[],1.0229526250623167,,UNKNOWN,prices_unknown
r3/rc/0/8/myopic/primary,myopic,primary,0,8,ok,stop,181,178,0,176,2,[],1.4485546669457108,,UNKNOWN,prices_unknown
r3/rc/0/9/myopic/primary,myopic,primary,0,9,ok,stop,211,71,0,63,8,[],1.1181205417960882,,UNKNOWN,prices_unknown
r3/rc/0/9/recheck/primary,recheck,primary,0,9,ok,stop,211,87,0,79,8,[],1.8124227919615805,,UNKNOWN,prices_unknown
r3/rc/0/10/recheck/primary,recheck,primary,0,10,ok,stop,230,198,0,191,7,[],2.415702083846554,,UNKNOWN,prices_unknown
r3/rc/0/10/myopic/primary,myopic,primary,0,10,ok,stop,230,230,0,222,8,[],1.691264791181311,,UNKNOWN,prices_unknown
r3/rc/0/11/myopic/primary,myopic,primary,0,11,ok,stop,230,280,0,272,8,[],1.9528859588317573,,UNKNOWN,prices_unknown
r3/rc/0/11/recheck/primary,recheck,primary,0,11,ok,stop,230,301,0,294,7,[],2.399600083939731,,UNKNOWN,prices_unknown
r3/rc/1/0/myopic/primary,myopic,primary,1,0,ok,stop,230,155,0,147,8,[],1.16491345805116,,UNKNOWN,prices_unknown
r3/rc/1/0/recheck/primary,recheck,primary,1,0,ok,stop,230,98,0,90,8,[],1.103942499961704,,UNKNOWN,prices_unknown
r3/rc/1/1/recheck/primary,recheck,primary,1,1,ok,stop,230,98,0,91,7,[],1.5668716670479625,,UNKNOWN,prices_unknown
r3/rc/1/1/myopic/primary,myopic,primary,1,1,ok,stop,230,112,0,104,8,[],1.2577099581249058,,UNKNOWN,prices_unknown
r3/rc/1/2/myopic/primary,myopic,primary,1,2,ok,stop,230,137,0,129,8,[],1.1242740829475224,,UNKNOWN,prices_unknown
r3/rc/1/2/recheck/primary,recheck,primary,1,2,ok,stop,230,98,0,91,7,[],0.750733207911253,,UNKNOWN,prices_unknown
r3/rc/1/3/recheck/primary,recheck,primary,1,3,ok,stop,230,118,0,110,8,[],1.209157583070919,,UNKNOWN,prices_unknown
r3/rc/1/3/myopic/primary,myopic,primary,1,3,ok,stop,230,101,0,93,8,[],1.0893180000130087,,UNKNOWN,prices_unknown
r3/rc/1/4/myopic/primary,myopic,primary,1,4,ok,stop,230,100,0,93,7,[],1.3053775420412421,,UNKNOWN,prices_unknown
r3/rc/1/4/recheck/primary,recheck,primary,1,4,ok,stop,230,111,0,104,7,[],1.1686209999024868,,UNKNOWN,prices_unknown
r3/rc/1/5/recheck/primary,recheck,primary,1,5,ok,stop,230,116,0,109,7,[],1.3516370840370655,,UNKNOWN,prices_unknown
r3/rc/1/5/recheck/repeat,recheck,repeat,1,5,ok,stop,230,151,0,143,8,[],1.5303312498144805,,UNKNOWN,prices_unknown
r3/rc/1/5/myopic/primary,myopic,primary,1,5,ok,stop,230,111,0,104,7,[],1.2944552497938275,,UNKNOWN,prices_unknown
r3/rc/1/5/myopic/repeat,myopic,repeat,1,5,ok,stop,230,116,0,109,7,[],1.5773311250377446,,UNKNOWN,prices_unknown
r3/rc/1/6/myopic/primary,myopic,primary,1,6,ok,stop,230,184,0,177,7,[],1.5828061250504106,,UNKNOWN,prices_unknown
r3/rc/1/6/recheck/primary,recheck,primary,1,6,ok,stop,230,126,0,119,7,[],1.2562414999119937,,UNKNOWN,prices_unknown
r3/rc/1/7/recheck/primary,recheck,primary,1,7,ok,stop,230,397,0,390,7,[],2.6155573329888284,,UNKNOWN,prices_unknown
r3/rc/1/7/myopic/primary,myopic,primary,1,7,ok,stop,230,160,0,153,7,[],1.5135560829658061,,UNKNOWN,prices_unknown
r3/rc/1/8/myopic/primary,myopic,primary,1,8,ok,stop,230,488,0,481,7,[],2.9928467499557883,,UNKNOWN,prices_unknown
r3/rc/1/8/recheck/primary,recheck,primary,1,8,ok,stop,230,272,0,265,7,[],2.462213624967262,,UNKNOWN,prices_unknown
r3/rc/1/9/recheck/primary,recheck,primary,1,9,ok,stop,298,266,0,253,13,[],1.5670400829985738,,UNKNOWN,prices_unknown
r3/rc/1/9/myopic/primary,myopic,primary,1,9,ok,stop,298,305,128,292,13,[],1.8980134578887373,,UNKNOWN,prices_unknown
r3/rc/1/10/myopic/primary,myopic,primary,1,10,ok,stop,298,373,0,360,13,[],2.0194282908923924,,UNKNOWN,prices_unknown
r3/rc/1/10/recheck/primary,recheck,primary,1,10,ok,stop,298,351,128,338,13,[],2.7358694998547435,,UNKNOWN,prices_unknown
