condition,method,completed_primary,successes,success_rate_completed_only,independent_streams,probe_count,credit_units_NOT_CURRENCY,semantic_loss_count,proxy_J_NOT_CURRENCY,interfaces_failed,rule_compiler_successes_NOT_LLM,stale_but_answer_correct,primary_prompt_tokens,primary_completion_tokens,primary_model_latency_seconds,planning_seconds,price_estimate
ALL_DESCRIPTIVE_ONLY,recheck_joint,96,72,0.75,12,40,93,27,31.650000000000002,0,72,0,"{""known_sum"": 32067, ""unknown_count"": 0}","{""known_sum"": 31548, ""unknown_count"": 0}",173.56408886844292,0.966310586547479,
ALL_DESCRIPTIVE_ONLY,bundle_rollout,96,76,0.7916666666666666,12,41,94,23,27.70000000000001,0,76,0,"{""known_sum"": 32070, ""unknown_count"": 0}","{""known_sum"": 27359, ""unknown_count"": 0}",159.72941529517993,0.24150613090023398,
ALL_DESCRIPTIVE_ONLY,bundle_myopic,96,68,0.7083333333333334,12,41,95,34,38.74999999999999,0,68,2,"{""known_sum"": 32064, ""unknown_count"": 0}","{""known_sum"": 28944, ""unknown_count"": 0}",167.93035620590672,0.003411129815503955,
ALL_DESCRIPTIVE_ONLY,age_paced,96,70,0.7291666666666666,12,39,93,32,36.65,0,70,1,"{""known_sum"": 32065, ""unknown_count"": 0}","{""known_sum"": 27610, ""unknown_count"": 0}",156.0791291675996,0.0030533757526427507,
disjoint_matched,recheck_joint,24,13,0.5416666666666666,3,12,24,13,14.199999999999996,0,13,0,"{""known_sum"": 8142, ""unknown_count"": 0}","{""known_sum"": 6937, ""unknown_count"": 0}",40.478893499821424,0.2177174580283463,
disjoint_matched,bundle_rollout,24,13,0.5416666666666666,3,12,24,12,13.199999999999998,0,13,0,"{""known_sum"": 8142, ""unknown_count"": 0}","{""known_sum"": 5708, ""unknown_count"": 0}",35.33779629645869,0.05188808054663241,
disjoint_matched,bundle_myopic,24,12,0.5,3,12,24,12,13.2,0,12,0,"{""known_sum"": 8142, ""unknown_count"": 0}","{""known_sum"": 6249, ""unknown_count"": 0}",39.01033453992568,0.0008846246637403965,
disjoint_matched,age_paced,24,12,0.5,3,12,24,15,16.199999999999996,0,12,0,"{""known_sum"": 8143, ""unknown_count"": 0}","{""known_sum"": 8175, ""unknown_count"": 0}",43.650717420037836,0.0008975430391728878,
overlap_matched,recheck_joint,24,20,0.8333333333333334,3,9,23,4,5.15,0,20,0,"{""known_sum"": 7984, ""unknown_count"": 0}","{""known_sum"": 8508, ""unknown_count"": 0}",45.95562882977538,0.251128209521994,
overlap_matched,bundle_rollout,24,22,0.9166666666666666,3,9,23,2,3.15,0,22,0,"{""known_sum"": 7984, ""unknown_count"": 0}","{""known_sum"": 6869, ""unknown_count"": 0}",40.92869783076458,0.06395150255411863,
overlap_matched,bundle_myopic,24,18,0.75,3,10,24,9,10.2,0,18,0,"{""known_sum"": 7984, ""unknown_count"": 0}","{""known_sum"": 7561, ""unknown_count"": 0}",42.872379248030484,0.0008692513220012188,
overlap_matched,age_paced,24,18,0.75,3,9,23,7,8.15,0,18,0,"{""known_sum"": 7982, ""unknown_count"": 0}","{""known_sum"": 6339, ""unknown_count"": 0}",36.80923653882928,0.0007021217606961727,
overlap_no_drift,recheck_joint,24,24,1.0,3,10,24,0,1.2000000000000002,0,24,0,"{""known_sum"": 8052, ""unknown_count"": 0}","{""known_sum"": 7866, ""unknown_count"": 0}",43.17253733263351,0.2380327507853508,
overlap_no_drift,bundle_rollout,24,24,1.0,3,10,24,0,1.2000000000000002,0,24,0,"{""known_sum"": 8052, ""unknown_count"": 0}","{""known_sum"": 7737, ""unknown_count"": 0}",44.20760262547992,0.060506835812702775,
overlap_no_drift,bundle_myopic,24,24,1.0,3,9,23,0,1.1500000000000001,0,24,0,"{""known_sum"": 8052, ""unknown_count"": 0}","{""known_sum"": 7049, ""unknown_count"": 0}",41.11956416978501,0.0008083765860646963,
overlap_no_drift,age_paced,24,24,1.0,3,9,23,0,1.15,0,24,0,"{""known_sum"": 8052, ""unknown_count"": 0}","{""known_sum"": 6424, ""unknown_count"": 0}",37.462242998881266,0.0006834196392446756,
overlap_underestimated,recheck_joint,24,15,0.625,3,9,22,10,11.1,0,15,0,"{""known_sum"": 7889, ""unknown_count"": 0}","{""known_sum"": 8237, ""unknown_count"": 0}",43.95702920621261,0.25943216821178794,
overlap_underestimated,bundle_rollout,24,17,0.7083333333333334,3,10,23,9,10.15,0,17,0,"{""known_sum"": 7892, ""unknown_count"": 0}","{""known_sum"": 7045, ""unknown_count"": 0}",39.25531854247674,0.06515971198678017,
overlap_underestimated,bundle_myopic,24,14,0.5833333333333334,3,10,24,13,14.2,0,14,2,"{""known_sum"": 7886, ""unknown_count"": 0}","{""known_sum"": 8085, ""unknown_count"": 0}",44.92807824816555,0.0008488772436976433,
overlap_underestimated,age_paced,24,16,0.6666666666666666,3,9,23,10,11.15,0,16,1,"{""known_sum"": 7888, ""unknown_count"": 0}","{""known_sum"": 6672, ""unknown_count"": 0}",38.15693220985122,0.0007702913135290146,
