stream,condition,menu,method,step,q,failure,success,credits,budget_after,task_cost,semantic_mismatches,stale_but_correct,fresh_but_wrong,page_error,predicted_failure,planning_seconds,probe_seconds,tool_seconds
0,matched,single,task_exact,0,0,0,1,0,8,0.0,0,0,0,0,0.2256,1.295795664191246e-05,3.2919924706220627e-06,3.0291033908724785e-05
0,matched,single,task_exact,1,0,0,1,0,8,0.0,0,0,0,0,0.37779455999999995,9.082956239581108e-06,1.1669471859931946e-06,2.545793540775776e-05
0,matched,single,task_exact,2,0,0,1,4,4,0.2,0,0,0,0,0.0,9.00006853044033e-06,3.1660310924053192e-06,1.4249933883547783e-05
0,matched,single,task_exact,3,0,1,0,0,4,1.0,1,0,0,0,0.2256,8.00006091594696e-06,1.166015863418579e-06,1.3791956007480621e-05
0,matched,single,task_exact,4,0,1,0,0,4,1.0,1,0,0,0,0.37779455999999995,7.790978997945786e-06,8.749775588512421e-07,1.2791017070412636e-05
0,matched,single,task_exact,5,0,0,1,4,0,0.2,0,0,0,0,0.0,7.790978997945786e-06,2.624932676553726e-06,1.295795664191246e-05
0,matched,single,task_exact,6,0,1,0,0,0,1.0,1,0,0,1,0.2256,7.916009053587914e-06,7.501803338527679e-07,3.00002284348011e-06
0,matched,single,task_exact,7,0,1,0,0,0,1.0,1,0,0,1,0.37779455999999995,9.249895811080933e-06,2.1669548004865646e-06,2.7078203856945038e-06
1,matched,single,task_exact,0,1,1,0,0,8,1.0,1,0,0,0,0.12,1.195794902741909e-05,1.291045919060707e-06,1.0082963854074478e-05
1,matched,single,task_exact,1,0,0,1,0,8,0.0,0,0,0,0,0.37779455999999995,8.16606916487217e-06,7.920898497104645e-07,1.6124919056892395e-05
1,matched,single,task_exact,2,0,0,1,4,4,0.2,0,0,0,0,0.0,7.4589625000953674e-06,2.499902620911598e-06,1.3124896213412285e-05
1,matched,single,task_exact,3,0,0,1,0,4,0.0,0,0,0,0,0.2256,7.458031177520752e-06,6.670597940683365e-07,1.2874836102128029e-05
1,matched,single,task_exact,4,0,0,1,0,4,0.0,0,0,0,0,0.37779455999999995,7.542083039879799e-06,5.420297384262085e-07,1.291581429541111e-05
1,matched,single,task_exact,5,0,0,1,4,0,0.2,0,0,0,0,0.0,7.292022928595543e-06,1.500127837061882e-06,1.2750038877129555e-05
1,matched,single,task_exact,6,0,0,1,0,0,0.0,0,0,0,0,0.2256,7.3339324444532394e-06,5.83939254283905e-07,1.2041069567203522e-05
1,matched,single,task_exact,7,0,0,1,0,0,0.0,0,0,0,0,0.37779455999999995,7.2908587753772736e-06,4.998873919248581e-07,1.216609962284565e-05
2,matched,single,task_exact,0,2,0,1,0,8,0.0,0,0,0,0,0.277872,9.832903742790222e-06,9.171199053525925e-07,1.9167084246873856e-05
2,matched,single,task_exact,1,2,0,1,0,8,0.0,0,0,0,0,0.45171256627199996,7.79121182858944e-06,6.670597940683365e-07,1.5083933249115944e-05
2,matched,single,task_exact,2,2,0,1,4,4,0.2,0,0,0,0,0.15778799999999998,7.666181772947311e-06,1.9168946892023087e-06,1.4374963939189911e-05
2,matched,single,task_exact,3,1,0,1,2,2,0.1,0,0,0,0,0.0,7.542083039879799e-06,1.3329554349184036e-06,4.834029823541641e-06
2,matched,single,task_exact,4,1,0,1,0,2,0.0,0,0,0,0,0.11999999999999997,7.5409188866615295e-06,6.2515027821064e-07,4.208879545331001e-06
2,matched,single,task_exact,5,1,0,1,0,2,0.0,0,0,0,0,0.2112,7.458031177520752e-06,4.5797787606716156e-07,4.166970029473305e-06
2,matched,single,task_exact,6,1,0,1,2,0,0.1,0,0,0,0,0.0,7.250113412737846e-06,1.0409858077764511e-06,4.041008651256561e-06
2,matched,single,task_exact,7,1,1,0,0,0,1.0,1,0,0,0,0.12,7.375143468379974e-06,4.998873919248581e-07,3.6670826375484467e-06
3,matched,single,task_exact,0,3,1,0,0,8,1.0,1,0,0,1,0.271668,1.0125106200575829e-05,8.328352123498917e-07,4.667090252041817e-06
3,matched,single,task_exact,1,3,1,0,0,8,1.0,1,0,0,1,0.44239993036799996,7.4999406933784485e-06,5.830079317092896e-07,3.250082954764366e-06
3,matched,single,task_exact,2,1,0,1,2,6,0.1,0,0,0,0,0.0,7.2498805820941925e-06,1.209089532494545e-06,5.499925464391708e-06
3,matched,single,task_exact,3,1,1,0,0,6,1.0,1,0,0,0,0.12,7.542083039879799e-06,5.830079317092896e-07,4.207948222756386e-06
3,matched,single,task_exact,4,1,0,1,2,4,0.1,0,0,0,0,0.0,7.4158888310194016e-06,1.1669471859931946e-06,4.332978278398514e-06
3,matched,single,task_exact,5,3,0,1,4,0,0.2,1,1,0,0,0.061875,9.082956239581108e-06,1.708976924419403e-06,1.5292083844542503e-05
3,matched,single,task_exact,6,3,1,0,0,0,1.0,2,0,0,0,0.23686128,7.709022611379623e-06,5.420297384262085e-07,1.6250181943178177e-05
3,matched,single,task_exact,7,3,1,0,0,0,1.0,3,0,0,0,0.3532872086092799,7.666880264878273e-06,5.420297384262085e-07,1.1875061318278313e-05
4,matched,single,task_exact,0,4,0,1,0,8,0.0,1,1,0,0,0.07344600000000001,9.041978046298027e-06,8.749775588512421e-07,1.3750046491622925e-05
4,matched,single,task_exact,1,4,0,1,0,8,0.0,2,1,0,0,0.12455120409599998,7.916940376162529e-06,6.670597940683365e-07,9.499955922365189e-06
