panel,method,label_executions,reference_executions,total_workflows,selector_seconds,initial_fit_seconds,acquisition_elapsed_seconds,design_build_seconds,training_cost_scope
0,single_only,1312,80,1392,0.0,0.07288341596722603,0.07419249881058931,0.0,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
0,full_joint,2912,80,2992,1.158728264272213e-05,0.0696983749512583,0.15865933382883668,0.0,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
0,random_16,1568,80,1648,7.258076220750809e-05,0.06941645801998675,0.08374037500470877,0.0,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
0,random_32,1824,80,1904,0.00023899762891232967,0.06941645801998675,0.09726687497459352,0.0,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
0,occupancy_16,1568,80,1648,0.06689912243746221,0.07492229202762246,0.1579352922271937,0.08567579090595245,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
0,occupancy_32,1824,80,1904,0.12672020634636283,0.07492229202762246,0.23336662608198822,0.08567579090595245,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
0,decision_16,1568,80,1648,0.1808780007995665,0.07668441697023809,0.27245154208503664,0.08567579090595245,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
0,decision_32,1824,80,1904,0.32995233801193535,0.07668441697023809,0.4367479591164738,0.08567579090595245,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
0,any_exact,0,0,0,0.0,0.0,0.0,0.0,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
0,never,0,0,0,0.0,0.0,0.0,0.0,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
1,single_only,1312,80,1392,0.0,0.06964662508107722,0.07085524988360703,0.0,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
1,full_joint,2912,80,2992,1.1001946404576302e-05,0.07464979100041091,0.1528661660850048,0.0,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
1,random_16,1568,80,1648,7.233256474137306e-05,0.07892054109834135,0.09293345804326236,0.0,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
1,random_32,1824,80,1904,0.00024020904675126076,0.07892054109834135,0.10662008309736848,0.0,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
1,occupancy_16,1568,80,1648,0.06320787593722343,0.06923879194073379,0.15712454193271697,0.08567579090595245,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
1,occupancy_32,1824,80,1904,0.11988187278620899,0.06923879194073379,0.2295650001615286,0.08567579090595245,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
1,decision_16,1568,80,1648,0.1731480008456856,0.06945754191838205,0.2568227497395128,0.08567579090595245,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
1,decision_32,1824,80,1904,0.3212510438170284,0.06945754191838205,0.4196659168228507,0.08567579090595245,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
1,any_exact,0,0,0,0.0,0.0,0.0,0.0,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
1,never,0,0,0,0.0,0.0,0.0,0.0,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
2,single_only,1312,80,1392,0.0,0.07543258415535092,0.0766536679584533,0.0,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
