condition,menu,method,deployment_episodes,price_per_calibration_workflow,runtime_j_per_episode,startup_proxy_per_episode,standalone_calibration_workflows,amortized_proxy_per_episode,scope
data_shift,shared,any_exact,10,0.0,1.234375,0.3,0.0,1.534375,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,any_exact,10,0.001,1.234375,0.3,0.0,1.534375,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,any_exact,10,0.01,1.234375,0.3,0.0,1.534375,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,any_exact,100,0.0,1.234375,0.3,0.0,1.534375,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,any_exact,100,0.001,1.234375,0.3,0.0,1.534375,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,any_exact,100,0.01,1.234375,0.3,0.0,1.534375,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,any_exact,1000,0.0,1.234375,0.3,0.0,1.534375,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,any_exact,1000,0.001,1.234375,0.3,0.0,1.534375,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,any_exact,1000,0.01,1.234375,0.3,0.0,1.534375,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,decision_16,10,0.0,1.3671875,0.3,1648.0,1.6671875,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,decision_16,10,0.001,1.3671875,0.3,1648.0,1.8319875,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,decision_16,10,0.01,1.3671875,0.3,1648.0,3.3151875000000004,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,decision_16,100,0.0,1.3671875,0.3,1648.0,1.6671875,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,decision_16,100,0.001,1.3671875,0.3,1648.0,1.6836675,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,decision_16,100,0.01,1.3671875,0.3,1648.0,1.8319875,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,decision_16,1000,0.0,1.3671875,0.3,1648.0,1.6671875,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,decision_16,1000,0.001,1.3671875,0.3,1648.0,1.6688355000000001,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,decision_16,1000,0.01,1.3671875,0.3,1648.0,1.6836675,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,decision_32,10,0.0,1.3671875,0.3,1904.0,1.6671875,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,decision_32,10,0.001,1.3671875,0.3,1904.0,1.8575875000000002,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,decision_32,10,0.01,1.3671875,0.3,1904.0,3.5711874999999997,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,decision_32,100,0.0,1.3671875,0.3,1904.0,1.6671875,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,decision_32,100,0.001,1.3671875,0.3,1904.0,1.6862275,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,decision_32,100,0.01,1.3671875,0.3,1904.0,1.8575875,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,decision_32,1000,0.0,1.3671875,0.3,1904.0,1.6671875,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,decision_32,1000,0.001,1.3671875,0.3,1904.0,1.6690915,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,decision_32,1000,0.01,1.3671875,0.3,1904.0,1.6862275,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,full_joint,10,0.0,1.275,0.3,2992.0,1.575,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,full_joint,10,0.001,1.275,0.3,2992.0,1.8742,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,full_joint,10,0.01,1.275,0.3,2992.0,4.567,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,full_joint,100,0.0,1.275,0.3,2992.0,1.575,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,full_joint,100,0.001,1.275,0.3,2992.0,1.60492,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
