condition,menu,left,right,mean_runtime_j_delta,ci_low,ci_high,left_better_streams,tied_streams,left_worse_streams,training_panels,evaluation_streams,inference
matched,single,full_joint,single_only,-0.003125,-0.009375000000000001,0.0,1,31,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
matched,single,decision_16,single_only,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
matched,single,decision_32,single_only,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
matched,single,decision_16,random_16,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
matched,single,decision_32,random_32,0.003125,0.0,0.009375000000000001,0,31,1,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
matched,single,decision_16,occupancy_16,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
matched,single,decision_32,occupancy_32,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
matched,single,decision_16,full_joint,0.003125,0.0,0.009375000000000001,0,31,1,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
matched,single,decision_32,full_joint,0.003125,0.0,0.009375000000000001,0,31,1,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
matched,shared,full_joint,single_only,-0.034375,-0.096875,0.0,2,30,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
matched,shared,decision_16,single_only,-0.003125,-0.009375000000000001,0.0,1,31,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
matched,shared,decision_32,single_only,-0.034375,-0.1,0.0,2,30,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
matched,shared,decision_16,random_16,0.03125,0.0,0.09375,0,31,1,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
matched,shared,decision_32,random_32,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
matched,shared,decision_16,occupancy_16,0.03125,0.0,0.09375,0,31,1,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
matched,shared,decision_32,occupancy_32,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
matched,shared,decision_16,full_joint,0.03125,0.0,0.09375,0,31,1,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
matched,shared,decision_32,full_joint,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
no_drift,single,full_joint,single_only,-0.00625,-0.015625,0.0,2,30,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
no_drift,single,decision_16,single_only,-0.003125,-0.009375000000000001,0.0,1,31,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
no_drift,single,decision_32,single_only,-0.003125,-0.009375000000000001,0.0,1,31,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
no_drift,single,decision_16,random_16,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
no_drift,single,decision_32,random_32,0.003125,0.0,0.009375000000000001,0,31,1,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
no_drift,single,decision_16,occupancy_16,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
no_drift,single,decision_32,occupancy_32,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
no_drift,single,decision_16,full_joint,0.003125,0.0,0.009375000000000001,0,31,1,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
no_drift,single,decision_32,full_joint,0.003125,0.0,0.009375000000000001,0,31,1,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
no_drift,shared,full_joint,single_only,-0.003125,-0.009375000000000001,0.0,1,31,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
no_drift,shared,decision_16,single_only,-0.003125,-0.009375000000000001,0.0,1,31,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
no_drift,shared,decision_32,single_only,-0.003125,-0.009375000000000001,0.0,1,31,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
no_drift,shared,decision_16,random_16,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
no_drift,shared,decision_32,random_32,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
no_drift,shared,decision_16,occupancy_16,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
no_drift,shared,decision_32,occupancy_32,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
no_drift,shared,decision_16,full_joint,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
no_drift,shared,decision_32,full_joint,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
fast_drift,single,full_joint,single_only,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
fast_drift,single,decision_16,single_only,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
fast_drift,single,decision_32,single_only,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
fast_drift,single,decision_16,random_16,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
fast_drift,single,decision_32,random_32,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
fast_drift,single,decision_16,occupancy_16,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
fast_drift,single,decision_32,occupancy_32,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
fast_drift,single,decision_16,full_joint,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
fast_drift,single,decision_32,full_joint,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
fast_drift,shared,full_joint,single_only,-0.0921875,-0.1859375,0.0,3,29,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
fast_drift,shared,decision_16,single_only,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
fast_drift,shared,decision_32,single_only,-0.0609375,-0.15,0.0,2,30,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
fast_drift,shared,decision_16,random_16,0.03125,0.0,0.09375,0,31,1,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
fast_drift,shared,decision_32,random_32,-0.0296875,-0.08906249999999999,0.0,1,31,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
fast_drift,shared,decision_16,occupancy_16,0.0609375,0.0,0.1515625,0,30,2,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
fast_drift,shared,decision_32,occupancy_32,-0.0328125,-0.09843750000000001,0.0,1,31,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
fast_drift,shared,decision_16,full_joint,0.0921875,0.0,0.1859375,0,29,3,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
fast_drift,shared,decision_32,full_joint,0.03125,0.0,0.09375,0,31,1,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
data_shift,single,full_joint,single_only,0.121875,0.0,0.365625,0,31,1,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
data_shift,single,decision_16,single_only,0.121875,0.0,0.365625,0,31,1,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
data_shift,single,decision_32,single_only,0.121875,0.0,0.365625,0,31,1,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
data_shift,single,decision_16,random_16,0.121875,0.0,0.365625,0,31,1,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
data_shift,single,decision_32,random_32,0.121875,0.0,0.365625,0,31,1,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
data_shift,single,decision_16,occupancy_16,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
data_shift,single,decision_32,occupancy_32,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
data_shift,single,decision_16,full_joint,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
data_shift,single,decision_32,full_joint,0.0,0.0,0.0,0,32,0,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
data_shift,shared,full_joint,single_only,0.02968749999999999,-0.184375,0.365625,1,30,1,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
data_shift,shared,decision_16,single_only,0.121875,0.0,0.365625,0,31,1,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
data_shift,shared,decision_32,single_only,0.121875,0.0,0.365625,0,31,1,4,32,descriptive_conditional_on_four_fitted_panels_not_confirmatory
