stream,panel,condition,menu,method,step,failure,credits,task_cost_units,memory_before,memory_after,true_mode,predicted_failure_own_kernel,planning_seconds,probe_seconds,tool_seconds
0,0,matched,single,single_only,0,0,0,0,4,4,4,0.2256,1.2458069249987602e-05,2.874992787837982e-06,3.5082921385765076e-05
0,0,matched,single,single_only,1,1,0,20,4,4,7,0.37779455999999995,1.0082963854074478e-05,1.2919772416353226e-06,4.207948222756386e-06
0,0,matched,single,single_only,2,0,4,4,4,7,7,0.0,9.083189070224762e-06,3.1669624149799347e-06,1.4499993994832039e-05
0,0,matched,single,single_only,3,0,0,0,7,7,7,0.1992,9.00006853044033e-06,1.125037670135498e-06,1.3916054740548134e-05
0,0,matched,single,single_only,4,0,0,0,7,7,2,0.06200275446527999,9.041046723723412e-06,9.59029421210289e-07,1.7249956727027893e-05
0,0,matched,single,single_only,5,0,0,0,7,7,2,0.07649722865210572,8.125090971589088e-06,9.59029421210289e-07,1.774984411895275e-05
0,0,matched,single,single_only,6,0,0,0,7,7,2,0.08747997190090587,7.792143151164055e-06,6.668269634246826e-07,1.537497155368328e-05
0,0,matched,single,single_only,7,0,0,0,7,7,2,0.09580776296986492,9.375158697366714e-06,2.250075340270996e-06,1.537497155368328e-05
1,0,matched,single,single_only,0,0,0,0,0,0,0,0.12,1.1249911040067673e-05,1.1671800166368484e-06,8.750008419156075e-06
1,0,matched,single,single_only,1,0,2,2,0,0,0,0.0,8.250121027231216e-06,1.8749851733446121e-06,5.37489540874958e-06
1,0,matched,single,single_only,2,1,0,20,0,0,4,0.12,7.916940376162529e-06,7.092021405696869e-07,4.749977961182594e-06
1,0,matched,single,single_only,3,0,2,2,0,4,4,0.0,7.875030860304832e-06,1.2919772416353226e-06,4.417030140757561e-06
1,0,matched,single,single_only,4,0,0,0,4,4,4,0.12,7.875030860304832e-06,6.670597940683365e-07,3.999797627329826e-06
1,0,matched,single,single_only,5,0,2,2,4,4,4,0.0,8.792150765657425e-06,1.166015863418579e-06,3.7918798625469208e-06
1,0,matched,single,single_only,6,0,0,0,4,4,7,0.12,7.582828402519226e-06,5.830079317092896e-07,3.6249402910470963e-06
1,0,matched,single,single_only,7,0,2,2,4,4,7,0.0,7.542083039879799e-06,1.250067725777626e-06,3.7918798625469208e-06
2,0,matched,single,single_only,0,0,0,0,1,1,1,0.25926,1.0375166311860085e-05,9.59029421210289e-07,1.7292099073529243e-05
2,0,matched,single,single_only,1,1,0,20,1,1,5,0.4237746585599999,7.958151400089264e-06,7.499475032091141e-07,1.1832918971776962e-05
2,0,matched,single,single_only,2,1,2,22,1,1,5,0.34881947712,7.791910320520401e-06,1.3329554349184036e-06,1.2666918337345123e-05
2,0,matched,single,single_only,3,0,4,4,1,5,5,0.12,8.042203262448311e-06,1.9578728824853897e-06,1.2416858226060867e-05
2,0,matched,single,single_only,4,0,0,0,5,5,5,0.3360276,7.708091288805008e-06,6.66128471493721e-07,1.0415911674499512e-05
2,0,matched,single,single_only,5,0,2,2,5,5,5,0.2694912,7.750000804662704e-06,1.0831281542778015e-06,9.95793379843235e-06
2,0,matched,single,single_only,6,0,0,0,5,5,5,0.03963753,7.58306123316288e-06,5.830079317092896e-07,1.0665971785783768e-05
2,0,matched,single,single_only,7,0,0,0,5,5,5,0.059599676927999994,7.3749106377363205e-06,5.417969077825546e-07,1.1834083124995232e-05
3,0,matched,single,single_only,0,1,0,20,6,6,7,0.25464,1.0041985660791397e-05,7.920898497104645e-07,4.499917849898338e-06
