condition,menu,method,task_records,base_streams,successes,failures,probe_credits,task_cost_units,runtime_j_total,runtime_j_per_episode,standalone_calibration_workflows_per_panel
data_shift,shared,any_exact,256,32,229,27,250,790,39.5,1.234375,0.0
data_shift,shared,decision_16,256,32,224,32,235,875,43.75,1.3671875,1648.0
data_shift,shared,decision_32,256,32,224,32,235,875,43.75,1.3671875,1904.0
data_shift,shared,full_joint,256,32,227,29,236,816,40.8,1.275,2992.0
data_shift,shared,never,256,32,176,80,0,1600,80.0,2.5,0.0
data_shift,shared,occupancy_16,256,32,224,32,235,875,43.75,1.3671875,1648.0
data_shift,shared,occupancy_32,256,32,227,29,236,816,40.8,1.275,1904.0
data_shift,shared,random_16,256,32,231,25,238,738,36.9,1.153125,1648.0
data_shift,shared,random_32,256,32,231,25,238,738,36.9,1.153125,1904.0
data_shift,shared,single_only,256,32,228,28,237,797,39.85,1.2453125,1392.0
data_shift,single,any_exact,256,32,218,38,256,1016,50.8,1.5875,0.0
data_shift,single,decision_16,256,32,219,37,244,984,49.2,1.5375,1648.0
data_shift,single,decision_32,256,32,219,37,244,984,49.2,1.5375,1904.0
data_shift,single,full_joint,256,32,219,37,244,984,49.2,1.5375,2992.0
data_shift,single,never,256,32,176,80,0,1600,80.0,2.5,0.0
data_shift,single,occupancy_16,256,32,219,37,244,984,49.2,1.5375,1648.0
data_shift,single,occupancy_32,256,32,219,37,244,984,49.2,1.5375,1904.0
data_shift,single,random_16,256,32,223,33,246,906,45.3,1.415625,1648.0
data_shift,single,random_32,256,32,223,33,246,906,45.3,1.415625,1904.0
data_shift,single,single_only,256,32,223,33,246,906,45.3,1.415625,1392.0
fast_drift,shared,any_exact,256,32,178,78,249,1809,90.45,2.8265625,0.0
fast_drift,shared,decision_16,256,32,183,73,244,1704,85.2,2.6625,1648.0
fast_drift,shared,decision_32,256,32,185,71,245,1665,83.25,2.6015625,1904.0
fast_drift,shared,full_joint,256,32,186,70,245,1645,82.25,2.5703125,2992.0
fast_drift,shared,never,256,32,111,145,0,2900,145.0,4.53125,0.0
fast_drift,shared,occupancy_16,256,32,185,71,245,1665,83.25,2.6015625,1648.0
fast_drift,shared,occupancy_32,256,32,184,72,246,1686,84.3,2.634375,1904.0
fast_drift,shared,random_16,256,32,184,72,244,1684,84.2,2.63125,1648.0
fast_drift,shared,random_32,256,32,184,72,244,1684,84.2,2.63125,1904.0
fast_drift,shared,single_only,256,32,183,73,244,1704,85.2,2.6625,1392.0
fast_drift,single,any_exact,256,32,164,92,256,2096,104.8,3.275,0.0
fast_drift,single,decision_16,256,32,169,87,252,1992,99.6,3.1125,1648.0
fast_drift,single,decision_32,256,32,169,87,252,1992,99.6,3.1125,1904.0
fast_drift,single,full_joint,256,32,169,87,252,1992,99.6,3.1125,2992.0
fast_drift,single,never,256,32,111,145,0,2900,145.0,4.53125,0.0
fast_drift,single,occupancy_16,256,32,169,87,252,1992,99.6,3.1125,1648.0
fast_drift,single,occupancy_32,256,32,169,87,252,1992,99.6,3.1125,1904.0
fast_drift,single,random_16,256,32,169,87,252,1992,99.6,3.1125,1648.0
fast_drift,single,random_32,256,32,169,87,252,1992,99.6,3.1125,1904.0
fast_drift,single,single_only,256,32,169,87,252,1992,99.6,3.1125,1392.0
matched,shared,any_exact,256,32,201,55,251,1351,67.55,2.1109375,0.0
matched,shared,decision_16,256,32,207,49,248,1228,61.4,1.91875,1648.0
matched,shared,decision_32,256,32,208,48,248,1208,60.4,1.8875,1904.0
matched,shared,full_joint,256,32,208,48,248,1208,60.4,1.8875,2992.0
matched,shared,never,256,32,138,118,0,2360,118.0,3.6875,0.0
matched,shared,occupancy_16,256,32,208,48,248,1208,60.4,1.8875,1648.0
matched,shared,occupancy_32,256,32,208,48,248,1208,60.4,1.8875,1904.0
matched,shared,random_16,256,32,208,48,248,1208,60.4,1.8875,1648.0
matched,shared,random_32,256,32,208,48,248,1208,60.4,1.8875,1904.0
matched,shared,single_only,256,32,207,49,250,1230,61.5,1.921875,1392.0
matched,single,any_exact,256,32,191,65,256,1556,77.8,2.43125,0.0
matched,single,decision_16,256,32,195,61,252,1472,73.6,2.3,1648.0
matched,single,decision_32,256,32,195,61,252,1472,73.6,2.3,1904.0
matched,single,full_joint,256,32,195,61,250,1470,73.5,2.296875,2992.0
matched,single,never,256,32,138,118,0,2360,118.0,3.6875,0.0
matched,single,occupancy_16,256,32,195,61,252,1472,73.6,2.3,1648.0
matched,single,occupancy_32,256,32,195,61,252,1472,73.6,2.3,1904.0
matched,single,random_16,256,32,195,61,252,1472,73.6,2.3,1648.0
matched,single,random_32,256,32,195,61,250,1470,73.5,2.296875,1904.0
matched,single,single_only,256,32,195,61,252,1472,73.6,2.3,1392.0
no_drift,shared,any_exact,256,32,256,0,254,254,12.7,0.396875,0.0
no_drift,shared,decision_16,256,32,256,0,249,249,12.45,0.3890625,1648.0
no_drift,shared,decision_32,256,32,256,0,249,249,12.45,0.3890625,1904.0
no_drift,shared,full_joint,256,32,256,0,249,249,12.45,0.3890625,2992.0
no_drift,shared,never,256,32,256,0,0,0,0.0,0.0,0.0
no_drift,shared,occupancy_16,256,32,256,0,249,249,12.45,0.3890625,1648.0
no_drift,shared,occupancy_32,256,32,256,0,249,249,12.45,0.3890625,1904.0
no_drift,shared,random_16,256,32,256,0,249,249,12.45,0.3890625,1648.0
no_drift,shared,random_32,256,32,256,0,249,249,12.45,0.3890625,1904.0
no_drift,shared,single_only,256,32,256,0,251,251,12.55,0.3921875,1392.0
no_drift,single,any_exact,256,32,256,0,256,256,12.8,0.4,0.0
no_drift,single,decision_16,256,32,256,0,250,250,12.5,0.390625,1648.0
no_drift,single,decision_32,256,32,256,0,250,250,12.5,0.390625,1904.0
no_drift,single,full_joint,256,32,256,0,248,248,12.4,0.3875,2992.0
no_drift,single,never,256,32,256,0,0,0,0.0,0.0,0.0
no_drift,single,occupancy_16,256,32,256,0,250,250,12.5,0.390625,1648.0
no_drift,single,occupancy_32,256,32,256,0,250,250,12.5,0.390625,1904.0
no_drift,single,random_16,256,32,256,0,250,250,12.5,0.390625,1648.0
no_drift,single,random_32,256,32,256,0,248,248,12.4,0.3875,1904.0
no_drift,single,single_only,256,32,256,0,252,252,12.6,0.39375,1392.0
