logical_id,phase,arm,prompt_tokens,completion_tokens,total_tokens,reasoning_tokens,cached_input_tokens,latency_seconds,monetary_cost
primary_n06_verify_confirm/turn_00,primary,verify_confirm,2741,101,2842,76,0,0.8291643750853837,UNKNOWN
primary_n06_verify_confirm/turn_01,primary,verify_confirm,2866,126,2992,51,2688,1.0281340000219643,UNKNOWN
primary_n06_verify_confirm/turn_02,primary,verify_confirm,3041,77,3118,13,2816,0.8973012920469046,UNKNOWN
primary_n06_verify_confirm/turn_03,primary,verify_confirm,3284,145,3429,34,3072,1.6560737499967217,UNKNOWN
primary_n06_inherited/turn_00,primary,inherited,2650,87,2737,52,128,0.6383574579376727,UNKNOWN
primary_n06_inherited/turn_01,primary,inherited,2761,96,2857,10,2560,0.9834856670349836,UNKNOWN
primary_n06_inherited/turn_02,primary,inherited,2901,89,2990,0,2688,1.1389953340403736,UNKNOWN
primary_n15_verify_confirm/turn_00,primary,verify_confirm,2651,94,2745,39,2432,1.390540209133178,UNKNOWN
primary_n15_verify_confirm/turn_01,primary,verify_confirm,2789,129,2918,62,2560,1.0735361250117421,UNKNOWN
primary_n15_verify_confirm/turn_02,primary,verify_confirm,2942,46,2988,10,2688,1.0577647499740124,UNKNOWN
primary_n15_verify_confirm/turn_03,primary,verify_confirm,3012,102,3114,37,2816,1.0070438750553876,UNKNOWN
primary_n15_inherited/turn_00,primary,inherited,2560,95,2655,45,2304,1.137345917057246,UNKNOWN
primary_n15_inherited/turn_01,primary,inherited,2699,89,2788,30,2432,0.7975942918565124,UNKNOWN
primary_n15_inherited/turn_02,primary,inherited,2812,39,2851,8,2560,0.9063012078404427,UNKNOWN
primary_n15_inherited/turn_03,primary,inherited,2875,73,2948,0,2688,1.1528454169165343,UNKNOWN
primary_n05_inherited/turn_00,primary,inherited,2650,192,2842,135,2432,1.2775135000701994,UNKNOWN
primary_n05_inherited/turn_01,primary,inherited,2886,146,3032,46,2688,1.1072848329786211,UNKNOWN
primary_n05_inherited/turn_02,primary,inherited,3077,92,3169,0,2816,1.6791157501284033,UNKNOWN
primary_n05_verify_confirm/turn_00,primary,verify_confirm,2741,63,2804,38,2560,0.98211449990049,UNKNOWN
primary_n05_verify_confirm/turn_01,primary,verify_confirm,2828,86,2914,11,2688,1.4408357080537826,UNKNOWN
primary_n05_verify_confirm/turn_02,primary,verify_confirm,2963,79,3042,15,2816,0.9828809171449393,UNKNOWN
primary_n05_verify_confirm/turn_03,primary,verify_confirm,3208,157,3365,48,2944,1.505417250096798,UNKNOWN
primary_n09_verify_confirm/turn_00,primary,verify_confirm,2751,102,2853,46,2560,1.048228583065793,UNKNOWN
primary_n09_verify_confirm/turn_01,primary,verify_confirm,2947,403,3350,245,2688,2.36517308303155,UNKNOWN
primary_n09_verify_confirm/turn_02,primary,verify_confirm,3374,77,3451,5,3200,0.8164749999996275,UNKNOWN
primary_n09_verify_confirm/turn_03,primary,verify_confirm,3545,118,3663,0,3328,1.517848249990493,UNKNOWN
primary_n09_inherited/turn_00,primary,inherited,2660,124,2784,63,2432,1.202897333074361,UNKNOWN
primary_n09_inherited/turn_01,primary,inherited,2878,670,3548,564,2688,3.280565292108804,UNKNOWN
primary_n09_inherited/turn_02,primary,inherited,3732,476,4208,345,3456,2.211784875020385,UNKNOWN
primary_n09_inherited/turn_03,primary,inherited,4232,81,4313,10,4096,1.3864975410979241,UNKNOWN
primary_n09_inherited/turn_04,primary,inherited,4407,184,4591,33,4224,1.0721422908827662,UNKNOWN
primary_n13_verify_confirm/turn_00,primary,verify_confirm,2651,75,2726,34,2432,1.0416617919690907,UNKNOWN
primary_n13_verify_confirm/turn_01,primary,verify_confirm,2770,120,2890,41,2560,1.3252310832031071,UNKNOWN
primary_n13_verify_confirm/turn_02,primary,verify_confirm,2914,55,2969,4,2688,0.9331614158581942,UNKNOWN
primary_n13_verify_confirm/turn_03,primary,verify_confirm,2993,30,3023,6,2816,0.874810375040397,UNKNOWN
primary_n13_verify_confirm/turn_04,primary,verify_confirm,3047,117,3164,48,2816,0.9206974161788821,UNKNOWN
primary_n13_inherited/turn_00,primary,inherited,2560,123,2683,66,2304,1.5932097500190139,UNKNOWN
primary_n13_inherited/turn_01,primary,inherited,2727,210,2937,130,2432,1.503770750015974,UNKNOWN
primary_n13_inherited/turn_02,primary,inherited,2961,44,3005,4,2816,1.3798784168902785,UNKNOWN
primary_n13_inherited/turn_03,primary,inherited,3029,123,3152,50,2816,1.7112012079451233,UNKNOWN
primary_n00_inherited/turn_00,primary,inherited,2639,170,2809,111,2432,1.5802920418791473,UNKNOWN
primary_n00_inherited/turn_01,primary,inherited,2910,96,3006,21,2688,0.8830904171336442,UNKNOWN
primary_n00_inherited/turn_02,primary,inherited,3051,95,3146,7,2816,1.2737270831130445,UNKNOWN
primary_n00_verify_confirm/turn_00,primary,verify_confirm,2730,173,2903,102,2560,1.4758087499067187,UNKNOWN
primary_n00_verify_confirm/turn_01,primary,verify_confirm,3004,124,3128,18,2816,1.1175545840524137,UNKNOWN
primary_n00_verify_confirm/turn_02,primary,verify_confirm,3173,72,3245,7,2944,1.1633496249560267,UNKNOWN
primary_n00_verify_confirm/turn_03,primary,verify_confirm,3406,105,3511,0,3200,1.1856319159269333,UNKNOWN
primary_n12_inherited/turn_00,primary,inherited,2560,102,2662,47,2304,1.6904342079069465,UNKNOWN
primary_n12_inherited/turn_01,primary,inherited,2706,121,2827,60,2432,0.9722882921341807,UNKNOWN
primary_n12_inherited/turn_02,primary,inherited,2851,38,2889,7,2688,0.6144273749087006,UNKNOWN
primary_n12_inherited/turn_03,primary,inherited,2913,67,2980,0,2688,1.3229852500371635,UNKNOWN
primary_n12_verify_confirm/turn_00,primary,verify_confirm,2651,144,2795,90,2432,1.2314875000156462,UNKNOWN
primary_n12_verify_confirm/turn_01,primary,verify_confirm,2839,82,2921,24,2688,1.0649849998299032,UNKNOWN
primary_n12_verify_confirm/turn_02,primary,verify_confirm,2945,37,2982,7,2688,0.7709651249460876,UNKNOWN
primary_n12_verify_confirm/turn_03,primary,verify_confirm,3006,66,3072,0,2816,0.7070800419896841,UNKNOWN
primary_n10_verify_confirm/turn_00,primary,verify_confirm,2751,140,2891,79,2560,1.3488456660415977,UNKNOWN
