episode_id,phase,case_id,arm,model_calls,tool_calls,terminated,stop_reason,family,variant,tool_success_proxy,goal_final,final_state_clean,trace_safe_success,wrong_write,tool_errors,goal_only_false_accept,final_clean_false_accept,scheduled,triggered,missed_before_primary_write,reason
primary_n06_verify_confirm,primary,n06,verify_confirm,4,3,True,final,phone,post_relevant,True,True,True,True,False,0,False,False,True,True,False,triggered
primary_n06_inherited,primary,n06,inherited,3,2,True,final,phone,post_relevant,True,True,True,True,False,0,False,False,True,True,False,triggered
primary_n15_verify_confirm,primary,n15,verify_confirm,4,4,True,final,wifi,post_unrelated,True,True,True,True,False,0,False,False,True,True,False,triggered
primary_n15_inherited,primary,n15,inherited,4,4,True,final,wifi,post_unrelated,True,True,True,True,False,0,False,False,True,True,False,triggered
primary_n05_inherited,primary,n05,inherited,3,3,True,final,phone,pre_relevant,True,True,True,True,False,0,False,False,True,True,False,triggered
primary_n05_verify_confirm,primary,n05,verify_confirm,4,3,True,final,phone,pre_relevant,True,True,True,True,False,0,False,False,True,True,False,triggered
primary_n09_verify_confirm,primary,n09,verify_confirm,4,3,True,final,reminder,pre_relevant,True,True,True,True,False,0,False,False,True,True,False,triggered
primary_n09_inherited,primary,n09,inherited,5,5,True,final,reminder,pre_relevant,True,True,True,True,False,0,False,False,True,True,False,triggered
primary_n13_verify_confirm,primary,n13,verify_confirm,5,5,True,final,wifi,pre_relevant,True,True,True,True,False,0,False,False,True,True,False,triggered
primary_n13_inherited,primary,n13,inherited,4,4,True,final,wifi,pre_relevant,True,True,True,True,False,0,False,False,True,True,False,triggered
primary_n00_inherited,primary,n00,inherited,3,3,True,final,person,stable,True,True,True,True,False,0,False,False,False,False,False,control
primary_n00_verify_confirm,primary,n00,verify_confirm,4,4,True,final,person,stable,True,True,True,True,False,0,False,False,False,False,False,control
primary_n12_inherited,primary,n12,inherited,4,4,True,final,wifi,stable,True,True,True,True,False,0,False,False,False,False,False,control
primary_n12_verify_confirm,primary,n12,verify_confirm,4,4,True,final,wifi,stable,True,True,True,True,False,0,False,False,False,False,False,control
primary_n10_verify_confirm,primary,n10,verify_confirm,4,3,True,final,reminder,post_relevant,True,False,False,False,True,0,False,False,True,True,False,triggered
primary_n10_inherited,primary,n10,inherited,4,3,True,final,reminder,post_relevant,True,False,False,False,True,0,False,False,True,True,False,triggered
primary_n02_inherited,primary,n02,inherited,3,3,True,final,person,post_relevant,True,False,False,False,True,0,False,False,True,True,False,triggered
primary_n02_verify_confirm,primary,n02,verify_confirm,4,4,True,final,person,post_relevant,True,False,False,False,True,0,False,False,True,True,False,triggered
primary_n08_verify_confirm,primary,n08,verify_confirm,4,3,True,final,reminder,stable,True,True,True,True,False,0,False,False,False,False,False,control
primary_n08_inherited,primary,n08,inherited,4,3,True,final,reminder,stable,True,True,True,True,False,0,False,False,False,False,False,control
primary_n11_verify_confirm,primary,n11,verify_confirm,4,3,True,final,reminder,post_unrelated,True,True,True,True,False,0,False,False,True,True,False,triggered
primary_n11_inherited,primary,n11,inherited,4,3,True,final,reminder,post_unrelated,True,True,True,True,False,0,False,False,True,True,False,triggered
primary_n14_inherited,primary,n14,inherited,5,5,True,final,wifi,post_relevant,True,True,True,True,False,0,False,False,True,True,False,triggered
primary_n14_verify_confirm,primary,n14,verify_confirm,5,6,True,final,wifi,post_relevant,True,True,True,True,False,0,False,False,True,True,False,triggered
primary_n07_inherited,primary,n07,inherited,3,2,True,final,phone,post_unrelated,True,True,True,True,False,0,False,False,True,True,False,triggered
primary_n07_verify_confirm,primary,n07,verify_confirm,4,3,True,final,phone,post_unrelated,True,True,True,True,False,0,False,False,True,True,False,triggered
primary_n04_inherited,primary,n04,inherited,3,2,True,final,phone,stable,True,True,True,True,False,0,False,False,False,False,False,control
primary_n04_verify_confirm,primary,n04,verify_confirm,4,3,True,final,phone,stable,True,True,True,True,False,0,False,False,False,False,False,control
primary_n01_verify_confirm,primary,n01,verify_confirm,4,4,True,final,person,pre_relevant,True,True,True,True,False,0,False,False,True,True,False,triggered
primary_n01_inherited,primary,n01,inherited,3,3,True,final,person,pre_relevant,True,True,True,True,False,0,False,False,True,True,False,triggered
primary_n03_inherited,primary,n03,inherited,3,3,True,final,person,post_unrelated,True,True,True,True,False,0,False,False,True,True,False,triggered
primary_n03_verify_confirm,primary,n03,verify_confirm,4,4,True,final,person,post_unrelated,True,True,True,True,False,0,False,False,True,True,False,triggered
repeat_n10_verify_confirm,repeat,n10,verify_confirm,4,3,True,final,reminder,post_relevant,True,False,False,False,True,0,False,False,True,True,False,triggered
repeat_n10_inherited,repeat,n10,inherited,4,3,True,final,reminder,post_relevant,True,False,False,False,True,0,False,False,True,True,False,triggered
repeat_n02_inherited,repeat,n02,inherited,3,3,True,final,person,post_relevant,True,False,False,False,True,0,False,False,True,True,False,triggered
repeat_n02_verify_confirm,repeat,n02,verify_confirm,4,4,True,final,person,post_relevant,True,False,False,False,True,0,False,False,True,True,False,triggered
