episode_id,phase,case_id,arm,scheduled,triggered,missed_before_primary_write,reason,environment_operations,event_indices,first_primary_write_index,write_after_event_same_model_response
primary_n06_verify_confirm,primary,n06,verify_confirm,True,True,False,triggered,2,"[1,2]",3,False
primary_n06_inherited,primary,n06,inherited,True,True,False,triggered,2,"[1,2]",3,False
primary_n15_verify_confirm,primary,n15,verify_confirm,True,True,False,triggered,1,[1],3,False
primary_n15_inherited,primary,n15,inherited,True,True,False,triggered,1,[1],3,False
primary_n05_inherited,primary,n05,inherited,True,True,False,triggered,2,"[0,1]",4,
primary_n05_verify_confirm,primary,n05,verify_confirm,True,True,False,triggered,2,"[0,1]",3,
primary_n09_verify_confirm,primary,n09,verify_confirm,True,True,False,triggered,2,"[0,1]",3,
primary_n09_inherited,primary,n09,inherited,True,True,False,triggered,2,"[0,1]",5,
primary_n13_verify_confirm,primary,n13,verify_confirm,True,True,False,triggered,1,[0],4,
primary_n13_inherited,primary,n13,inherited,True,True,False,triggered,1,[0],4,
primary_n00_inherited,primary,n00,inherited,False,False,False,control,0,[],2,
primary_n00_verify_confirm,primary,n00,verify_confirm,False,False,False,control,0,[],2,
primary_n12_inherited,primary,n12,inherited,False,False,False,control,0,[],2,
primary_n12_verify_confirm,primary,n12,verify_confirm,False,False,False,control,0,[],2,
primary_n10_verify_confirm,primary,n10,verify_confirm,True,True,False,triggered,2,"[1,2]",3,False
primary_n10_inherited,primary,n10,inherited,True,True,False,triggered,2,"[1,2]",3,False
primary_n02_inherited,primary,n02,inherited,True,True,False,triggered,2,"[1,2]",4,False
primary_n02_verify_confirm,primary,n02,verify_confirm,True,True,False,triggered,2,"[1,2]",4,False
primary_n08_verify_confirm,primary,n08,verify_confirm,False,False,False,control,0,[],1,
primary_n08_inherited,primary,n08,inherited,False,False,False,control,0,[],1,
primary_n11_verify_confirm,primary,n11,verify_confirm,True,True,False,triggered,1,[1],2,False
primary_n11_inherited,primary,n11,inherited,True,True,False,triggered,1,[1],2,False
primary_n14_inherited,primary,n14,inherited,True,True,False,triggered,1,[1],4,False
primary_n14_verify_confirm,primary,n14,verify_confirm,True,True,False,triggered,1,[1],4,False
primary_n07_inherited,primary,n07,inherited,True,True,False,triggered,1,[1],2,False
primary_n07_verify_confirm,primary,n07,verify_confirm,True,True,False,triggered,1,[1],2,False
primary_n04_inherited,primary,n04,inherited,False,False,False,control,0,[],1,
primary_n04_verify_confirm,primary,n04,verify_confirm,False,False,False,control,0,[],1,
primary_n01_verify_confirm,primary,n01,verify_confirm,True,True,False,triggered,2,"[0,1]",4,
primary_n01_inherited,primary,n01,inherited,True,True,False,triggered,2,"[0,1]",4,
primary_n03_inherited,primary,n03,inherited,True,True,False,triggered,1,[1],3,False
primary_n03_verify_confirm,primary,n03,verify_confirm,True,True,False,triggered,1,[1],3,False
repeat_n10_verify_confirm,repeat,n10,verify_confirm,True,True,False,triggered,2,"[1,2]",3,False
repeat_n10_inherited,repeat,n10,inherited,True,True,False,triggered,2,"[1,2]",3,False
repeat_n02_inherited,repeat,n02,inherited,True,True,False,triggered,2,"[1,2]",4,False
repeat_n02_verify_confirm,repeat,n02,verify_confirm,True,True,False,triggered,2,"[1,2]",4,False
