case_id,family,variant,inherited_goal_final,inherited_final_state_clean,inherited_trace_safe_success,inherited_wrong_write,verify_confirm_goal_final,verify_confirm_final_state_clean,verify_confirm_trace_safe_success,verify_confirm_wrong_write,same_exposure,tool_difference,model_request_difference
n00,person,stable,True,True,True,False,True,True,True,False,True,1,1
n01,person,pre_relevant,True,True,True,False,True,True,True,False,True,1,1
n02,person,post_relevant,False,False,False,True,False,False,False,True,True,1,1
n03,person,post_unrelated,True,True,True,False,True,True,True,False,True,1,1
n04,phone,stable,True,True,True,False,True,True,True,False,True,1,1
n05,phone,pre_relevant,True,True,True,False,True,True,True,False,True,0,1
n06,phone,post_relevant,True,True,True,False,True,True,True,False,True,1,1
n07,phone,post_unrelated,True,True,True,False,True,True,True,False,True,1,1
n08,reminder,stable,True,True,True,False,True,True,True,False,True,0,0
n09,reminder,pre_relevant,True,True,True,False,True,True,True,False,True,-2,-1
n10,reminder,post_relevant,False,False,False,True,False,False,False,True,True,0,0
n11,reminder,post_unrelated,True,True,True,False,True,True,True,False,True,0,0
n12,wifi,stable,True,True,True,False,True,True,True,False,True,0,0
n13,wifi,pre_relevant,True,True,True,False,True,True,True,False,True,1,1
n14,wifi,post_relevant,True,True,True,False,True,True,True,False,True,1,0
n15,wifi,post_unrelated,True,True,True,False,True,True,True,False,True,0,0
