record_id,stream,step,method,regime,task_type,correct,plan_valid,stale_amount,stale_endpoint,stale_needed,probes,probe_proxy_not_currency,peak_config_usd,latency_s,prompt_tokens,completion_tokens
rc_000_000_always,0,0,always,no_drift,2,1,1,0,0,0,2,0.36,0.003371268,12.145419166889042,515,2712
rc_000_000_myopic,0,0,myopic,no_drift,2,1,1,0,0,0,0,0.0,0.008162868,29.312321540899575,515,6705
rc_000_000_recheck,0,0,recheck,no_drift,2,1,1,0,0,0,0,0.0,0.0041800679999999995,16.135535542154685,515,3386
rc_000_000_ttl,0,0,ttl,no_drift,2,1,1,0,0,0,0,0.0,0.005671668,20.61653845803812,515,4629
rc_000_001_always,0,1,always,no_drift,2,1,1,0,0,0,2,0.36,0.000619668,3.0655247911345214,515,419
rc_000_001_myopic,0,1,myopic,no_drift,2,1,1,0,0,0,2,0.36,0.0019785,7.354243041947484,515,1520
rc_000_001_recheck,0,1,recheck,no_drift,2,1,1,0,0,0,2,0.36,0.002730468,10.367955832043663,515,2178
rc_000_001_ttl,0,1,ttl,no_drift,2,1,1,0,0,0,0,0.0,0.0021177,8.828541874885559,515,1636
rc_000_002_always,0,2,always,no_drift,2,1,1,0,0,0,2,0.36,0.004980468,17.699249542085454,515,4053
rc_000_002_myopic,0,2,myopic,no_drift,2,1,1,0,0,0,0,0.0,0.0019372679999999998,7.4500419578980654,515,1517
rc_000_002_recheck,0,2,recheck,no_drift,2,1,1,0,0,0,0,0.0,0.0018296999999999999,7.914603083161637,515,1396
rc_000_002_ttl,0,2,ttl,no_drift,2,1,1,0,0,0,2,0.36,0.0019964999999999996,8.12080758321099,515,1535
rc_000_003_always,0,3,always,no_drift,1,1,1,0,0,0,2,0.36,0.0035835,13.017817000858486,473,2868
rc_000_003_myopic,0,3,myopic,no_drift,1,1,1,0,0,0,1,0.18,0.0038967,14.75113462493755,473,3129
rc_000_003_recheck,0,3,recheck,no_drift,1,1,1,0,0,0,1,0.18,0.0048387,17.956704957876354,473,3914
rc_000_003_ttl,0,3,ttl,no_drift,1,1,1,0,0,0,0,0.0,0.0061478999999999995,22.690342041198164,473,5005
rc_000_004_always,0,4,always,no_drift,1,1,1,0,0,0,2,0.36,0.007447499999999999,26.096239000093192,473,6088
rc_000_004_myopic,0,4,myopic,no_drift,1,1,1,0,0,0,0,0.0,0.0025275000000000002,10.216838916996494,473,1988
rc_000_004_recheck,0,4,recheck,no_drift,1,1,1,0,0,0,0,0.0,0.0029463,11.418591333087534,473,2337
rc_000_004_ttl,0,4,ttl,no_drift,1,1,1,0,0,0,0,0.0,0.0025671,10.349498374853283,473,2021
rc_000_005_always,0,5,always,no_drift,1,1,1,0,0,0,2,0.36,0.0008715,3.917133833048865,473,608
rc_000_005_myopic,0,5,myopic,no_drift,1,1,1,0,0,0,1,0.18,0.010141500000000001,34.61439679120667,473,8333
rc_000_005_recheck,0,5,recheck,no_drift,1,1,1,0,0,0,1,0.18,0.0026703,11.693791375029832,473,2107
rc_000_005_ttl,0,5,ttl,no_drift,1,1,1,0,0,0,2,0.36,0.0031526999999999996,12.13884516688995,473,2509
rc_000_006_always,0,6,always,no_drift,1,1,1,0,0,0,2,0.36,0.0037190999999999995,14.664817707845941,473,2981
rc_000_006_myopic,0,6,myopic,no_drift,1,1,1,0,0,0,0,0.0,0.0051987,18.525433958042413,473,4214
rc_000_006_recheck,0,6,recheck,no_drift,1,1,1,0,0,0,0,0.0,0.0034047,13.129282625159249,473,2719
rc_000_006_ttl,0,6,ttl,no_drift,1,1,1,0,0,0,0,0.0,0.0024986999999999995,10.306913542095572,473,1964
rc_000_007_always,0,7,always,no_drift,1,1,1,0,0,0,2,0.36,0.0023271,8.993847249308601,473,1821
rc_000_007_myopic,0,7,myopic,no_drift,1,1,1,0,0,0,1,0.18,0.0010946999999999999,4.556329290848225,473,794
rc_000_007_recheck,0,7,recheck,no_drift,1,1,1,0,0,0,1,0.18,0.0014414999999999999,5.563302707858384,473,1083
rc_000_007_ttl,0,7,ttl,no_drift,1,1,1,0,0,0,0,0.0,0.0021831,8.480807250365615,473,1701
rc_001_000_always,1,0,always,hidden_drift,0,1,1,0,0,0,2,0.36,0.0005346,2.8085002917796373,462,330
rc_001_000_myopic,1,0,myopic,hidden_drift,0,1,1,0,0,0,0,0.0,0.0006678,2.758486457867548,462,441
rc_001_000_recheck,1,0,recheck,hidden_drift,0,1,1,0,0,0,0,0.0,0.0006966,4.044932500924915,462,465
rc_001_000_ttl,1,0,ttl,hidden_drift,0,1,1,0,0,0,0,0.0,0.000507,2.4020985001698136,462,307
rc_001_001_always,1,1,always,hidden_drift,0,1,1,0,0,0,2,0.36,0.0014177999999999999,5.166968166129664,462,1066
rc_001_001_myopic,1,1,myopic,hidden_drift,0,1,1,0,0,0,1,0.18,0.0006774,2.738581624114886,462,449
rc_001_001_recheck,1,1,recheck,hidden_drift,0,1,1,0,0,0,1,0.18,0.0006353999999999999,3.4238803749904037,462,414
rc_001_001_ttl,1,1,ttl,hidden_drift,0,0,1,1,0,1,0,0.0,0.0005622,3.827248000074178,462,353
rc_001_002_always,1,2,always,hidden_drift,2,1,1,0,0,0,2,0.36,0.0046845,16.60987754096277,515,3775
rc_001_002_myopic,1,2,myopic,hidden_drift,2,1,1,0,0,0,1,0.18,0.000828468,3.491572374943644,515,593
rc_001_002_recheck,1,2,recheck,hidden_drift,2,1,1,0,0,0,1,0.18,0.0026577,10.26033404096961,515,2086
rc_001_002_ttl,1,2,ttl,hidden_drift,2,1,1,0,0,0,2,0.36,0.000724068,3.507995915831998,515,506
rc_001_003_always,1,3,always,hidden_drift,2,1,1,0,0,0,2,0.36,0.0010269,4.464766334043816,515,727
rc_001_003_myopic,1,3,myopic,hidden_drift,2,1,1,0,0,0,1,0.18,0.005066868,17.625597374746576,515,4125
rc_001_003_recheck,1,3,recheck,hidden_drift,2,1,1,0,0,0,1,0.18,0.0014516999999999998,5.083471999736503,515,1081
rc_001_003_ttl,1,3,ttl,hidden_drift,2,1,1,0,0,0,0,0.0,0.0013844999999999999,5.366825749864802,515,1025
rc_001_004_always,1,4,always,hidden_drift,2,1,1,0,0,0,2,0.36,0.0007076999999999999,3.1660536252893507,515,461
rc_001_004_myopic,1,4,myopic,hidden_drift,2,1,1,0,0,0,1,0.18,0.0044421,15.918493665754795,515,3573
