hazard,rho,price,recheck_compile_ms,no_task_compile_ms
0.01,0.2,0.04,5.0821989999576545,4.8301110000466
0.01,0.2,0.12,5.080306000081691,4.372413000055531
0.01,0.2,0.35,4.440681999994922,4.336444999921696
0.01,0.9,0.04,4.485849000047892,4.659000000060587
0.01,0.9,0.12,4.543266000041513,4.428182999959063
0.01,0.9,0.35,4.746289999957298,4.3539509999845905
0.05,0.2,0.04,5.02321600004052,4.413741000007576
0.05,0.2,0.12,4.378663000011329,4.298070999993797
0.05,0.2,0.35,4.412994000063009,4.684552000071562
0.05,0.9,0.04,4.503961000068557,5.891743999995924
0.05,0.9,0.12,4.366349000065384,4.304285999978674
0.05,0.9,0.35,4.3968649999897025,4.35001400001056
0.15,0.2,0.04,4.398056000013639,4.339539000056902
0.15,0.2,0.12,4.423484000085409,4.3605099999695085
0.15,0.2,0.35,4.399422999995295,4.3312500000638465
0.15,0.9,0.04,4.35447600000316,4.310480000071948
0.15,0.9,0.12,4.402386999913688,4.366213000025709
0.15,0.9,0.35,4.384179999988191,4.319033000001582
