hazard,rho,price,method,parameter,objective
0.01,0.2,0.04,ttl,1.0,0.048468750000000005
0.01,0.2,0.04,ttl,2.0,0.03590625
0.01,0.2,0.04,ttl,3.0,0.0314375
0.01,0.2,0.04,ttl,5.0,0.026984375
0.01,0.2,0.04,ttl,8.0,0.02746875
0.01,0.2,0.04,ttl,12.0,0.033453125
0.01,0.2,0.04,ttl,20.0,0.0414375
0.01,0.2,0.04,ttl,40.0,0.0529453125
0.01,0.2,0.04,entropy,0.01,0.042187499999999996
0.01,0.2,0.04,entropy,0.03,0.029078125000000003
0.01,0.2,0.04,entropy,0.06,0.024945312500000004
0.01,0.2,0.04,entropy,0.1,0.039429687500000005
0.01,0.2,0.04,entropy,0.18,0.0376875
0.01,0.2,0.04,entropy,0.3,0.0816953125
0.01,0.2,0.04,entropy,0.45,0.111078125
0.01,0.2,0.04,random,0.0,0.11246874999999999
0.01,0.2,0.04,random,0.1,0.061664062500000005
0.01,0.2,0.04,random,0.25,0.034671875000000005
0.01,0.2,0.04,random,0.5,0.0366171875
0.01,0.2,0.04,random,0.75,0.040554687500000006
0.01,0.2,0.04,random,1.0,0.048468750000000005
0.01,0.2,0.12,ttl,1.0,0.14540625000000001
0.01,0.2,0.12,ttl,2.0,0.10490625
0.01,0.2,0.12,ttl,3.0,0.0874375
0.01,0.2,0.12,ttl,5.0,0.069546875
0.01,0.2,0.12,ttl,8.0,0.05896875
0.01,0.2,0.12,ttl,12.0,0.057078125
0.01,0.2,0.12,ttl,20.0,0.057125
0.01,0.2,0.12,ttl,40.0,0.0615703125
0.01,0.2,0.12,entropy,0.01,0.12375
0.01,0.2,0.12,entropy,0.03,0.07520312500000001
0.01,0.2,0.12,entropy,0.06,0.057882812500000005
0.01,0.2,0.12,entropy,0.1,0.0624296875
0.01,0.2,0.12,entropy,0.18,0.051500000000000004
0.01,0.2,0.12,entropy,0.3,0.0896953125
0.01,0.2,0.12,entropy,0.45,0.115890625
0.01,0.2,0.12,random,0.0,0.11646875
0.01,0.2,0.12,random,0.1,0.07460156250000001
0.01,0.2,0.12,random,0.25,0.06010937499999999
0.01,0.2,0.12,random,0.5,0.0846171875
0.01,0.2,0.12,random,0.75,0.1120546875
0.01,0.2,0.12,random,1.0,0.14540625000000001
0.01,0.2,0.35,ttl,1.0,0.4241015625
0.01,0.2,0.35,ttl,2.0,0.30328124999999995
0.01,0.2,0.35,ttl,3.0,0.24843749999999998
0.01,0.2,0.35,ttl,5.0,0.19191406249999998
0.01,0.2,0.35,ttl,8.0,0.14953125
0.01,0.2,0.35,ttl,12.0,0.125
0.01,0.2,0.35,ttl,20.0,0.1022265625
0.01,0.2,0.35,ttl,40.0,0.0863671875
0.01,0.2,0.35,entropy,0.01,0.3582421875
0.01,0.2,0.35,entropy,0.03,0.2078125
0.01,0.2,0.35,entropy,0.06,0.152578125
0.01,0.2,0.35,entropy,0.1,0.1285546875
0.01,0.2,0.35,entropy,0.18,0.0912109375
0.01,0.2,0.35,entropy,0.3,0.1126953125
0.01,0.2,0.35,entropy,0.45,0.1297265625
0.01,0.2,0.35,random,0.0,0.12796875
0.01,0.2,0.35,random,0.1,0.11179687499999999
0.01,0.2,0.35,random,0.25,0.1332421875
0.01,0.2,0.35,random,0.5,0.22261718749999998
0.01,0.2,0.35,random,0.75,0.3176171875
0.01,0.2,0.35,random,1.0,0.4241015625
0.01,0.9,0.04,ttl,1.0,0.048812499999999995
0.01,0.9,0.04,ttl,2.0,0.0286875
0.01,0.9,0.04,ttl,3.0,0.02190625
0.01,0.9,0.04,ttl,5.0,0.020421875
0.01,0.9,0.04,ttl,8.0,0.0223359375
0.01,0.9,0.04,ttl,12.0,0.026203125
0.01,0.9,0.04,ttl,20.0,0.029242187500000006
0.01,0.9,0.04,ttl,40.0,0.0444921875
0.01,0.9,0.04,entropy,0.01,0.038125
0.01,0.9,0.04,entropy,0.03,0.018640625
0.01,0.9,0.04,entropy,0.06,0.0235703125
0.01,0.9,0.04,entropy,0.1,0.0338984375
0.01,0.9,0.04,entropy,0.18,0.033968750000000006
0.01,0.9,0.04,entropy,0.3,0.0614140625
0.01,0.9,0.04,entropy,0.45,0.08590624999999999
0.01,0.9,0.04,random,0.0,0.08625781249999999
0.01,0.9,0.04,random,0.1,0.033578125
0.01,0.9,0.04,random,0.25,0.0276328125
0.01,0.9,0.04,random,0.5,0.0282578125
0.01,0.9,0.04,random,0.75,0.0383125
0.01,0.9,0.04,random,1.0,0.048812499999999995
0.01,0.9,0.12,ttl,1.0,0.1464375
0.01,0.9,0.12,ttl,2.0,0.0810625
0.01,0.9,0.12,ttl,3.0,0.05884374999999999
0.01,0.9,0.12,ttl,5.0,0.045171875
0.01,0.9,0.12,ttl,8.0,0.040523437499999995
0.01,0.9,0.12,ttl,12.0,0.040328125
