seed,method,success,task_loss,probes_per_task,objective,sql_calls,cpu_ms,unchanged_schema
30000,never,0.5,0.4625,0.05,0.46849999999999997,44,2.761473999953523,True
30000,fresh,1.0,0.0,1.1,0.13199999999999998,86,2.6932320000696564,True
30000,myopic,0.925,0.0625,0.25,0.0925,52,2.619440999978906,True
30000,recheck,0.875,0.075,0.35,0.11699999999999999,56,3.11351300001661,True
30001,never,0.775,0.2125,0.05,0.2185,45,2.4974780000093233,True
30001,fresh,1.0,0.0,1.125,0.13499999999999998,88,3.0071429999907195,True
30001,myopic,0.95,0.0375,0.275,0.0705,54,2.9781400000956637,True
30001,recheck,0.975,0.025,0.475,0.08199999999999999,62,3.122326000038811,True
30002,never,0.775,0.2125,0.05,0.2185,12,2.038859999970555,True
30002,fresh,1.0,0.0,0.3,0.036,22,2.0814740000787424,True
30002,myopic,1.0,0.0,0.15,0.018,16,2.0412940000369417,True
30002,recheck,1.0,0.0,0.2,0.024,18,2.4673829999528607,True
30003,never,0.625,0.375,0.05,0.381,40,2.479221000044163,True
30003,fresh,1.0,0.0,1.0,0.12,78,2.6225259999819173,True
30003,myopic,0.775,0.15,0.275,0.183,49,2.839201000028879,True
30003,recheck,0.9,0.075,0.45,0.129,56,3.0196720000503774,True
30004,never,0.925,0.0375,0.05,0.0435,46,2.454383999975107,True
30004,fresh,1.0,0.0,1.15,0.13799999999999998,90,2.663297000026432,True
30004,myopic,0.925,0.0375,0.25,0.0675,54,2.5555859999712993,True
30004,recheck,0.975,0.0125,0.45,0.0665,62,2.94219600004908,True
30005,never,1.0,0.0,0.05,0.006,39,2.3497959999758677,True
30005,fresh,1.0,0.0,0.975,0.11699999999999999,76,2.5042679999387474,True
30005,myopic,1.0,0.0,0.225,0.027000000000000003,46,2.433052000014868,True
30005,recheck,1.0,0.0,0.35,0.041999999999999996,51,2.8233169999793972,True
30006,never,0.725,0.2,0.05,0.20600000000000002,49,2.5220449999778793,True
30006,fresh,1.0,0.0,1.225,0.147,96,2.7081039999075074,True
30006,myopic,1.0,0.0,0.275,0.032999999999999995,58,2.6057709999349754,True
30006,recheck,1.0,0.0,0.45,0.054000000000000006,65,3.0551749999858657,True
30007,never,0.65,0.35,0.05,0.356,47,2.5398720000566755,True
30007,fresh,1.0,0.0,1.175,0.141,92,2.6980900000808106,True
30007,myopic,0.925,0.075,0.25,0.10500000000000001,55,2.634403999991264,True
30007,recheck,1.0,0.0,0.45,0.054000000000000006,63,3.2337929999357584,True
30008,never,0.3,0.625,0.05,0.631,60,2.951448999965578,True
30008,fresh,1.0,0.0,1.5,0.18,118,2.735676000042986,True
