seed,family,method,cost,normalized_cost,planning_ms,execution_ms,probes,recomputed_blocks,retained_hypotheses,fallback,states_evaluated,initial_digest,final_digest,current_ok,state_ok,followup_ok,complete
10000,sparse,restart,18.45,1.0,0.0,0.5017729999963194,0,3,12,False,0,1a96de7c4450430561461d214a304b852c740ce9bdc0afa5b60dfa03dc3f596f,c5ba9bd23b4fa43916e267866cb06d0897520b41cbf8487c9925ccfd15e6bbef,True,True,True,True
10000,sparse,conservative,18.45,1.0,0.0,0.6085030000804181,0,3,12,False,0,1a96de7c4450430561461d214a304b852c740ce9bdc0afa5b60dfa03dc3f596f,c5ba9bd23b4fa43916e267866cb06d0897520b41cbf8487c9925ccfd15e6bbef,True,True,True,True
10000,sparse,point_estimate,6.45,0.34959349593495936,0.0,0.621773000034409,0,1,12,False,0,1a96de7c4450430561461d214a304b852c740ce9bdc0afa5b60dfa03dc3f596f,2d4b11537a9da7ae0857cb4eaeb9c8b539d19084247ec7cb39178fe46d9d2308,False,False,False,False
10000,sparse,random,15.5259,0.8415121951219513,0.09232799993696972,0.707971999986512,2,2,4,False,0,1a96de7c4450430561461d214a304b852c740ce9bdc0afa5b60dfa03dc3f596f,c5ba9bd23b4fa43916e267866cb06d0897520b41cbf8487c9925ccfd15e6bbef,True,True,True,True
10000,sparse,graph_entropy,6.817200000000001,0.3694959349593496,0.2560230000199226,0.6763559999853896,4,1,1,False,0,1a96de7c4450430561461d214a304b852c740ce9bdc0afa5b60dfa03dc3f596f,c5ba9bd23b4fa43916e267866cb06d0897520b41cbf8487c9925ccfd15e6bbef,True,True,True,True
10000,sparse,class_entropy,6.5259,0.35370731707317077,0.13305999993917794,0.5943310000020574,2,1,4,False,0,1a96de7c4450430561461d214a304b852c740ce9bdc0afa5b60dfa03dc3f596f,c5ba9bd23b4fa43916e267866cb06d0897520b41cbf8487c9925ccfd15e6bbef,True,True,True,True
10000,sparse,ec2,6.817200000000001,0.3694959349593496,0.19907000000785047,0.7681110000703484,4,1,1,False,0,1a96de7c4450430561461d214a304b852c740ce9bdc0afa5b60dfa03dc3f596f,c5ba9bd23b4fa43916e267866cb06d0897520b41cbf8487c9925ccfd15e6bbef,True,True,True,True
10000,sparse,myopic,6.5259,0.35370731707317077,0.19417200007865176,0.5794189999051014,2,1,4,False,36,1a96de7c4450430561461d214a304b852c740ce9bdc0afa5b60dfa03dc3f596f,c5ba9bd23b4fa43916e267866cb06d0897520b41cbf8487c9925ccfd15e6bbef,True,True,True,True
10000,sparse,lookahead2,4.45,0.24119241192411925,0.5896349999829908,0.6057890000192856,1,1,4,False,136,1a96de7c4450430561461d214a304b852c740ce9bdc0afa5b60dfa03dc3f596f,c5ba9bd23b4fa43916e267866cb06d0897520b41cbf8487c9925ccfd15e6bbef,True,True,True,True
10000,sparse,exact,4.45,0.24119241192411925,11.32504399993195,0.6323790000806184,1,1,4,False,2043,1a96de7c4450430561461d214a304b852c740ce9bdc0afa5b60dfa03dc3f596f,c5ba9bd23b4fa43916e267866cb06d0897520b41cbf8487c9925ccfd15e6bbef,True,True,True,True
10000,sparse,discard_replay,9.5259,0.5163089430894309,7.864109999900393,0.6219540000529378,2,2,4,False,567,1a96de7c4450430561461d214a304b852c740ce9bdc0afa5b60dfa03dc3f596f,c5ba9bd23b4fa43916e267866cb06d0897520b41cbf8487c9925ccfd15e6bbef,True,True,True,True
10001,sparse,restart,21.45,1.0,0.0,0.532067999984065,0,3,12,False,0,4ab77ab8120cc1c4e33b0a1c40af38520f82e0b57739644dc9eea1368ad7c5f4,c68122cb4d6947251c967233a40e2cdbe710baad8ebc1ee7764353eebfd8cb72,True,True,True,True
10001,sparse,conservative,21.45,1.0,0.0,1.2220130000741847,0,3,12,False,0,4ab77ab8120cc1c4e33b0a1c40af38520f82e0b57739644dc9eea1368ad7c5f4,c68122cb4d6947251c967233a40e2cdbe710baad8ebc1ee7764353eebfd8cb72,True,True,True,True
10001,sparse,point_estimate,9.45,0.4405594405594405,0.0,0.5623539999533023,0,1,12,False,0,4ab77ab8120cc1c4e33b0a1c40af38520f82e0b57739644dc9eea1368ad7c5f4,c68122cb4d6947251c967233a40e2cdbe710baad8ebc1ee7764353eebfd8cb72,True,True,True,True
10001,sparse,random,21.7271,1.012918414918415,0.052689999961330614,0.9275910000496879,2,2,4,False,0,4ab77ab8120cc1c4e33b0a1c40af38520f82e0b57739644dc9eea1368ad7c5f4,c68122cb4d6947251c967233a40e2cdbe710baad8ebc1ee7764353eebfd8cb72,True,True,True,True
10001,sparse,graph_entropy,15.2526,0.711076923076923,0.20788199981325306,0.8525190000909788,4,2,1,False,0,4ab77ab8120cc1c4e33b0a1c40af38520f82e0b57739644dc9eea1368ad7c5f4,c68122cb4d6947251c967233a40e2cdbe710baad8ebc1ee7764353eebfd8cb72,True,True,True,True
10001,sparse,class_entropy,14.662899999999999,0.6835850815850816,0.12819200003377773,0.7882229999722767,2,2,4,False,0,4ab77ab8120cc1c4e33b0a1c40af38520f82e0b57739644dc9eea1368ad7c5f4,c68122cb4d6947251c967233a40e2cdbe710baad8ebc1ee7764353eebfd8cb72,True,True,True,True
10001,sparse,ec2,15.2526,0.711076923076923,0.2003700001296238,0.6722889999082327,4,2,1,False,0,4ab77ab8120cc1c4e33b0a1c40af38520f82e0b57739644dc9eea1368ad7c5f4,c68122cb4d6947251c967233a40e2cdbe710baad8ebc1ee7764353eebfd8cb72,True,True,True,True
10001,sparse,myopic,9.45,0.4405594405594405,0.08241399996222754,0.6161750000046595,1,1,4,False,20,4ab77ab8120cc1c4e33b0a1c40af38520f82e0b57739644dc9eea1368ad7c5f4,c68122cb4d6947251c967233a40e2cdbe710baad8ebc1ee7764353eebfd8cb72,True,True,True,True
10001,sparse,lookahead2,9.45,0.4405594405594405,0.5993490000264501,0.6797900000492518,1,1,4,False,136,4ab77ab8120cc1c4e33b0a1c40af38520f82e0b57739644dc9eea1368ad7c5f4,c68122cb4d6947251c967233a40e2cdbe710baad8ebc1ee7764353eebfd8cb72,True,True,True,True
10001,sparse,exact,9.45,0.4405594405594405,11.538513999880706,0.7943330001580762,1,1,4,False,2043,4ab77ab8120cc1c4e33b0a1c40af38520f82e0b57739644dc9eea1368ad7c5f4,c68122cb4d6947251c967233a40e2cdbe710baad8ebc1ee7764353eebfd8cb72,True,True,True,True
10001,sparse,discard_replay,14.662899999999999,0.6835850815850816,5.896287000041411,0.6022239999765588,2,2,4,False,567,4ab77ab8120cc1c4e33b0a1c40af38520f82e0b57739644dc9eea1368ad7c5f4,c68122cb4d6947251c967233a40e2cdbe710baad8ebc1ee7764353eebfd8cb72,True,True,True,True
10002,sparse,restart,20.45,1.0,0.0,0.5419039999878805,0,3,12,False,0,ee4613e2d992a9cc6a13418e5da67520f85deab74e649d126aff24449aecd2aa,fe9e66eb51ea5db31bef80582f7ebfbd3339dc627e6a3104e86a19c692d018df,True,True,True,True
10002,sparse,conservative,20.45,1.0,0.0,0.5454789999248533,0,3,12,False,0,ee4613e2d992a9cc6a13418e5da67520f85deab74e649d126aff24449aecd2aa,fe9e66eb51ea5db31bef80582f7ebfbd3339dc627e6a3104e86a19c692d018df,True,True,True,True
10002,sparse,point_estimate,9.45,0.46210268948655253,0.0,0.49417099990023416,0,1,12,False,0,ee4613e2d992a9cc6a13418e5da67520f85deab74e649d126aff24449aecd2aa,fc1dc27ddd4d12c1c746e8154520b998449b9c4451c55941b6d2f8bf7903b20d,False,False,False,False
10002,sparse,random,19.7427,0.9654132029339854,0.054512000019713014,0.7043769999199867,2,2,4,False,0,ee4613e2d992a9cc6a13418e5da67520f85deab74e649d126aff24449aecd2aa,fe9e66eb51ea5db31bef80582f7ebfbd3339dc627e6a3104e86a19c692d018df,True,True,True,True
10002,sparse,graph_entropy,5.8223,0.28470904645476774,0.2008019999948374,0.6086019999429482,3,1,1,False,0,ee4613e2d992a9cc6a13418e5da67520f85deab74e649d126aff24449aecd2aa,fe9e66eb51ea5db31bef80582f7ebfbd3339dc627e6a3104e86a19c692d018df,True,True,True,True
10002,sparse,class_entropy,5.45,0.2665036674816626,0.0842270000021017,0.5541110000422123,1,1,4,False,0,ee4613e2d992a9cc6a13418e5da67520f85deab74e649d126aff24449aecd2aa,fe9e66eb51ea5db31bef80582f7ebfbd3339dc627e6a3104e86a19c692d018df,True,True,True,True
10002,sparse,ec2,5.8223,0.28470904645476774,0.1998399998228706,0.693410000167205,3,1,1,False,0,ee4613e2d992a9cc6a13418e5da67520f85deab74e649d126aff24449aecd2aa,fe9e66eb51ea5db31bef80582f7ebfbd3339dc627e6a3104e86a19c692d018df,True,True,True,True
10002,sparse,myopic,5.45,0.2665036674816626,0.10397500000181026,0.8702970000058485,1,1,4,False,20,ee4613e2d992a9cc6a13418e5da67520f85deab74e649d126aff24449aecd2aa,fe9e66eb51ea5db31bef80582f7ebfbd3339dc627e6a3104e86a19c692d018df,True,True,True,True
10002,sparse,lookahead2,5.45,0.2665036674816626,0.664247000031537,0.5527089998622614,1,1,4,False,136,ee4613e2d992a9cc6a13418e5da67520f85deab74e649d126aff24449aecd2aa,fe9e66eb51ea5db31bef80582f7ebfbd3339dc627e6a3104e86a19c692d018df,True,True,True,True
10002,sparse,exact,5.45,0.2665036674816626,11.810963000016272,0.7866909999165728,1,1,4,False,2043,ee4613e2d992a9cc6a13418e5da67520f85deab74e649d126aff24449aecd2aa,fe9e66eb51ea5db31bef80582f7ebfbd3339dc627e6a3104e86a19c692d018df,True,True,True,True
10002,sparse,discard_replay,9.45,0.46210268948655253,6.094665999967219,0.5631340000036289,1,2,4,False,567,ee4613e2d992a9cc6a13418e5da67520f85deab74e649d126aff24449aecd2aa,fe9e66eb51ea5db31bef80582f7ebfbd3339dc627e6a3104e86a19c692d018df,True,True,True,True
10003,sparse,restart,18.45,1.0,0.0,0.5198200000222641,0,3,12,False,0,411db5e5340ddd8a27511f9e5b8efaf3df2d9aacb409f17ce1dc54371255865c,75218840114252e65d049c31aa70c558a3b6f4ad04adcc89ccc13f84fa493d6f,True,True,True,True
10003,sparse,conservative,18.45,1.0,0.0,0.6728500000008353,0,3,12,False,0,411db5e5340ddd8a27511f9e5b8efaf3df2d9aacb409f17ce1dc54371255865c,75218840114252e65d049c31aa70c558a3b6f4ad04adcc89ccc13f84fa493d6f,True,True,True,True
10003,sparse,point_estimate,6.45,0.34959349593495936,0.0,0.5033049999383366,0,1,12,False,0,411db5e5340ddd8a27511f9e5b8efaf3df2d9aacb409f17ce1dc54371255865c,64305a8df74d74d8fadfadcd146f89899ad6c903ac6e9f65b1b5abec3dcbd0e9,True,False,False,False
10003,sparse,random,15.2342,0.8257018970189702,0.07295899990822363,0.5904170001258535,2,1,2,False,0,411db5e5340ddd8a27511f9e5b8efaf3df2d9aacb409f17ce1dc54371255865c,75218840114252e65d049c31aa70c558a3b6f4ad04adcc89ccc13f84fa493d6f,True,True,True,True
10003,sparse,graph_entropy,14.480599999999999,0.7848563685636856,0.21816699995724775,0.7411819999560976,4,1,1,False,0,411db5e5340ddd8a27511f9e5b8efaf3df2d9aacb409f17ce1dc54371255865c,75218840114252e65d049c31aa70c558a3b6f4ad04adcc89ccc13f84fa493d6f,True,True,True,True
10003,sparse,class_entropy,14.1794,0.7685311653116531,0.12655099999392405,0.6448870000212992,2,1,4,False,0,411db5e5340ddd8a27511f9e5b8efaf3df2d9aacb409f17ce1dc54371255865c,75218840114252e65d049c31aa70c558a3b6f4ad04adcc89ccc13f84fa493d6f,True,True,True,True
10003,sparse,ec2,14.480599999999999,0.7848563685636856,0.19445199995971052,0.8553430000119988,4,1,1,False,0,411db5e5340ddd8a27511f9e5b8efaf3df2d9aacb409f17ce1dc54371255865c,75218840114252e65d049c31aa70c558a3b6f4ad04adcc89ccc13f84fa493d6f,True,True,True,True
10003,sparse,myopic,18.45,1.0,0.1637869999058239,0.755102000084662,2,3,4,False,40,411db5e5340ddd8a27511f9e5b8efaf3df2d9aacb409f17ce1dc54371255865c,75218840114252e65d049c31aa70c558a3b6f4ad04adcc89ccc13f84fa493d6f,True,True,True,True
10003,sparse,lookahead2,15.937299999999999,0.863810298102981,1.2319600000409991,0.7252469999912137,2,2,4,False,243,411db5e5340ddd8a27511f9e5b8efaf3df2d9aacb409f17ce1dc54371255865c,75218840114252e65d049c31aa70c558a3b6f4ad04adcc89ccc13f84fa493d6f,True,True,True,True
10003,sparse,exact,15.937299999999999,0.863810298102981,11.340966999910052,0.7130220001272392,2,2,4,False,2043,411db5e5340ddd8a27511f9e5b8efaf3df2d9aacb409f17ce1dc54371255865c,75218840114252e65d049c31aa70c558a3b6f4ad04adcc89ccc13f84fa493d6f,True,True,True,True
10003,sparse,discard_replay,14.1794,0.7685311653116531,5.682397000100536,0.6076419998635174,2,1,4,False,567,411db5e5340ddd8a27511f9e5b8efaf3df2d9aacb409f17ce1dc54371255865c,75218840114252e65d049c31aa70c558a3b6f4ad04adcc89ccc13f84fa493d6f,True,True,True,True
10004,sparse,restart,17.45,1.0,0.0,0.5473610000308327,0,3,12,False,0,66bb49bf27e7775b8faabf9450366aa905c4e8decf4d139c5a1eb7f956bc29c4,2110f2a46818bd5cef7d0228f2f2c9a3b919f7769b8094e1fb9b214a81e774df,True,True,True,True
10004,sparse,conservative,17.45,1.0,0.0,0.49046599997382145,0,3,12,False,0,66bb49bf27e7775b8faabf9450366aa905c4e8decf4d139c5a1eb7f956bc29c4,2110f2a46818bd5cef7d0228f2f2c9a3b919f7769b8094e1fb9b214a81e774df,True,True,True,True
10004,sparse,point_estimate,4.45,0.2550143266475645,0.0,0.5675410000094416,0,1,12,False,0,66bb49bf27e7775b8faabf9450366aa905c4e8decf4d139c5a1eb7f956bc29c4,2110f2a46818bd5cef7d0228f2f2c9a3b919f7769b8094e1fb9b214a81e774df,True,True,True,True
10004,sparse,random,12.441699999999999,0.7129914040114613,0.05861800002548989,0.635112999930243,3,1,2,False,0,66bb49bf27e7775b8faabf9450366aa905c4e8decf4d139c5a1eb7f956bc29c4,2110f2a46818bd5cef7d0228f2f2c9a3b919f7769b8094e1fb9b214a81e774df,True,True,True,True
10004,sparse,graph_entropy,7.191,0.41209169054441264,0.22202200000265293,0.5343729999367497,3,1,1,False,0,66bb49bf27e7775b8faabf9450366aa905c4e8decf4d139c5a1eb7f956bc29c4,2110f2a46818bd5cef7d0228f2f2c9a3b919f7769b8094e1fb9b214a81e774df,True,True,True,True
10004,sparse,class_entropy,6.6279,0.3798223495702006,0.0817729999198491,0.568002000022716,1,1,4,False,0,66bb49bf27e7775b8faabf9450366aa905c4e8decf4d139c5a1eb7f956bc29c4,2110f2a46818bd5cef7d0228f2f2c9a3b919f7769b8094e1fb9b214a81e774df,True,True,True,True
10004,sparse,ec2,7.191,0.41209169054441264,0.18704000001434906,0.4547429999774977,3,1,1,False,0,66bb49bf27e7775b8faabf9450366aa905c4e8decf4d139c5a1eb7f956bc29c4,2110f2a46818bd5cef7d0228f2f2c9a3b919f7769b8094e1fb9b214a81e774df,True,True,True,True
10004,sparse,myopic,4.45,0.2550143266475645,0.08042100012062292,0.5490639999834457,1,1,4,False,20,66bb49bf27e7775b8faabf9450366aa905c4e8decf4d139c5a1eb7f956bc29c4,2110f2a46818bd5cef7d0228f2f2c9a3b919f7769b8094e1fb9b214a81e774df,True,True,True,True
10004,sparse,lookahead2,4.45,0.2550143266475645,0.5411730001014803,0.54631899990909,1,1,4,False,136,66bb49bf27e7775b8faabf9450366aa905c4e8decf4d139c5a1eb7f956bc29c4,2110f2a46818bd5cef7d0228f2f2c9a3b919f7769b8094e1fb9b214a81e774df,True,True,True,True
10004,sparse,exact,4.45,0.2550143266475645,12.388310000005731,0.709414999960245,1,1,4,False,2043,66bb49bf27e7775b8faabf9450366aa905c4e8decf4d139c5a1eb7f956bc29c4,2110f2a46818bd5cef7d0228f2f2c9a3b919f7769b8094e1fb9b214a81e774df,True,True,True,True
10004,sparse,discard_replay,6.6279,0.3798223495702006,5.400613999995585,0.5334110001058434,1,1,4,False,567,66bb49bf27e7775b8faabf9450366aa905c4e8decf4d139c5a1eb7f956bc29c4,2110f2a46818bd5cef7d0228f2f2c9a3b919f7769b8094e1fb9b214a81e774df,True,True,True,True
10005,sparse,restart,19.45,1.0,0.0,0.4967049999322626,0,3,12,False,0,5310533aeccf632354d5058364f54fee997f430a2b996c9dab120cf956385eb0,0f95b3dd4a3240748c12625f309426c948993227038d66e428a7f42129a092ed,True,True,True,True
10005,sparse,conservative,19.45,1.0,0.0,0.5557540000609151,0,3,12,False,0,5310533aeccf632354d5058364f54fee997f430a2b996c9dab120cf956385eb0,0f95b3dd4a3240748c12625f309426c948993227038d66e428a7f42129a092ed,True,True,True,True
10005,sparse,point_estimate,8.45,0.4344473007712082,0.0,0.6026739999924757,0,1,12,False,0,5310533aeccf632354d5058364f54fee997f430a2b996c9dab120cf956385eb0,0f95b3dd4a3240748c12625f309426c948993227038d66e428a7f42129a092ed,True,True,True,True
10005,sparse,random,10.822099999999999,0.5564061696658097,0.048082000034810335,0.712779999958002,2,1,4,False,0,5310533aeccf632354d5058364f54fee997f430a2b996c9dab120cf956385eb0,0f95b3dd4a3240748c12625f309426c948993227038d66e428a7f42129a092ed,True,True,True,True
