method,seed,cost,normalized_cost,planning_ms,execution_ms,probes,recomputed_blocks,retained_hypotheses,fallback,states_evaluated,current_ok,state_ok,followup_ok,complete
class_entropy,10259.5,16.055930833333335,0.8281978321632117,0.1683618666627732,0.7160829333353528,1.875,2.0416666666666665,4.0,0.0,0.0,1.0,1.0,1.0,1.0
conservative,10259.5,18.416666666666668,0.9506123480689305,0.0,0.5944049166629384,0.0,2.8333333333333335,18.666666666666668,0.0,0.0,1.0,1.0,1.0,1.0
discard_replay,10259.5,15.935425,0.8219345168588255,14.320594908339027,0.6634510666629012,1.15,2.15,9.466666666666667,0.0,1334.5,1.0,1.0,1.0,1.0
ec2,10259.5,16.46264,0.850411478745889,0.27469864166675956,0.7174996000012849,3.5416666666666665,1.9166666666666667,1.5,0.0,0.0,1.0,1.0,1.0,1.0
exact,10259.5,14.596054166666667,0.7547521282428176,26.349683366668348,0.8869770916599388,1.9166666666666667,2.0416666666666665,4.716666666666667,0.0,3616.5,1.0,1.0,1.0,1.0
graph_entropy,10259.5,16.465116666666667,0.8508909869166336,0.2610900500021292,0.7037051749961165,3.8666666666666667,1.9166666666666667,1.0,0.0,0.0,1.0,1.0,1.0,1.0
lookahead2,10259.5,14.835700833333332,0.7661312038536479,1.131546133331085,0.7107993583360894,1.775,2.1,5.533333333333333,0.0,221.60833333333332,1.0,1.0,1.0,1.0
myopic,10259.5,16.259358333333335,0.838139129776847,0.13280333332943423,0.6149483916667956,0.525,2.3666666666666667,14.933333333333334,0.0,22.108333333333334,1.0,1.0,1.0,1.0
point_estimate,10259.5,11.783333333333333,0.6032859954286139,0.0,0.5879962916613598,0.0,1.725,18.666666666666668,0.0,0.0,0.85,0.675,0.675,0.675
random,10259.5,20.601544166666667,1.0649461017562767,0.07245814999142411,0.7433452166679899,2.675,2.1416666666666666,2.783333333333333,0.0,0.0,1.0,1.0,1.0,1.0
restart,10259.5,19.433333333333334,1.0,0.0,0.5913481499987938,0.0,3.0,18.666666666666668,0.0,0.0,1.0,1.0,1.0,1.0
