condition,seed,family,method,cost,normalized_cost,planning_ms,execution_ms,probes,recomputed_blocks,retained_hypotheses,fallback,states_evaluated,initial_digest,final_digest,current_ok,state_ok,followup_ok,complete
covered,20000,general,exact,24.3986,1.0404520255863539,40.246908000199255,2.0256799998605857,3,3,4,False,5445,8e5fe1d8393f79cbf407cd37da8be4a32cf93baad8a16d48fa2a42779c5645e6,5be18ee625aea028cc4ea6e066d76bb177cd5fb1fe95ff4a0d0d9d378d36deb6,True,True,True,True
truth_omitted,20000,general,exact,15.45,0.6588486140724946,33.75781099998676,1.7201210000621359,2,2,4,False,4878,8e5fe1d8393f79cbf407cd37da8be4a32cf93baad8a16d48fa2a42779c5645e6,2c7997f421ffc529147c055dccd8b7b9c1a664f554e3db9b7d71670492636521,True,False,False,False
covered,20001,general,exact,14.0419,0.7610785907859079,82.45427800000016,1.89954100005707,3,2,4,False,5445,6e78f11d75601085f33af08819360fab9fcf49fc5e28cf6ee0f23993108cd6d2,9ac8aeb399864f5aa173352283ba6e023636b797160104d31d501433f8e616d6,True,True,True,True
truth_omitted,20001,general,exact,10.1173,0.5483631436314363,33.62041399998361,1.707531999954881,2,1,4,False,4878,6e78f11d75601085f33af08819360fab9fcf49fc5e28cf6ee0f23993108cd6d2,08d2fe8417621a78a0646f14df728091bdc940d2cbd40fd9e5afabc156494b57,False,False,False,False
covered,20002,general,exact,14.8338,0.7253691931540343,38.273486999969464,1.7704660000390504,3,2,4,False,5445,3ade40156260568d38cc9170495b6dfc7e4143273c2e99e520dfeb12bd81dc49,825d8d3783227e294f66cdef42bccf8a866cc88518369ea9fa3fea1bc4e5fe94,True,True,True,True
truth_omitted,20002,general,exact,6.8338,0.3341711491442543,33.232350999924165,1.5068820000578853,2,1,4,False,4905,3ade40156260568d38cc9170495b6dfc7e4143273c2e99e520dfeb12bd81dc49,2e3e4242f45778e8d6a26a9523e93fa05198de77b6ab8557a99ad4c7278cf679,True,False,False,False
covered,20003,general,exact,21.2076,1.037046454767726,38.79936499993164,1.7487349999782964,2,3,8,False,5445,e89155bd6f44078df479f2844af9d8ba26719cc9aad5767dff50b449ccfb9454,8d69d36d6aa0b41fb39625a4e5b11cc8b10372a6658ffc755ecf3dd54ce8d34c,True,True,True,True
truth_omitted,20003,general,exact,16.2076,0.7925476772616137,33.57832000006056,1.5702569999120897,2,2,4,False,4905,e89155bd6f44078df479f2844af9d8ba26719cc9aad5767dff50b449ccfb9454,84079ed5a02317a7bf4d85c8bca039eb88779f942a5970674ce0dd96a2b488f6,False,False,False,False
covered,20004,general,exact,20.45,1.0,39.18910100003359,1.5556140000398955,1,3,12,False,5445,860fdcd2d30ae61baef00c6362277cb062611cc75b8c498ab0d9bbc4e462117e,9fa14e9d1285a163fb083bbc3d972e4cbcc6395fc57e754eed4b7a363b303706,True,True,True,True
truth_omitted,20004,general,exact,20.45,1.0,34.82672300003742,2.090027999997801,1,3,8,False,4824,860fdcd2d30ae61baef00c6362277cb062611cc75b8c498ab0d9bbc4e462117e,9fa14e9d1285a163fb083bbc3d972e4cbcc6395fc57e754eed4b7a363b303706,True,True,True,True
covered,20005,general,exact,10.5216,0.6029570200573066,39.011322999954245,2.0002930000373453,3,2,4,False,5445,8cc0884194bf20fd4474262a557f70e8d99095a8dbd36b2c1758c2c41110035b,ed1382dc9f55066794a493336bdc60eddc8942e51d80037469b6529ead99aead,True,True,True,True
