unit,step,method,regime,correct,plan_valid,answer_json_error,probe_count,model_probe_cost_not_currency,planning_seconds,local_tool_seconds,llm_calls,llm_attempts,llm_latency_seconds,estimated_cost,prompt_tokens,completion_tokens,missing_usage_calls
0,0,always,no_drift,1,1,0,2,0.36,5.99580816924572e-05,0.00018220674246549606,2,2,12.145419166889042,0.003371268,515,2712,0
0,0,myopic,no_drift,1,1,0,0,0.0,8.566607721149921e-05,0.0001544170081615448,2,2,29.312321540899575,0.008162868,515,6705,0
0,0,recheck,no_drift,1,1,0,0,0.0,0.00011254101991653442,0.0001784579362720251,2,2,16.135535542154685,0.0041800679999999995,515,3386,0
0,0,ttl,no_drift,1,1,0,0,0.0,3.087497316300869e-05,0.00021170801483094692,2,2,20.61653845803812,0.005671668,515,4629,0
0,1,always,no_drift,1,1,0,2,0.36,0.0003190829884260893,0.00029362505301833153,2,2,3.0655247911345214,0.000619668,515,419,0
0,1,myopic,no_drift,1,1,0,2,0.36,8.066697046160698e-05,5.195825360715389e-05,2,2,7.354243041947484,0.0019785,515,1520,0
0,1,recheck,no_drift,1,1,0,2,0.36,0.0008635420817881823,9.833415970206261e-05,2,2,10.367955832043663,0.002730468,515,2178,0
0,1,ttl,no_drift,1,1,0,0,0.0,2.550007775425911e-05,0.0001223327126353979,2,2,8.828541874885559,0.0021177,515,1636,0
0,2,always,no_drift,1,1,0,2,0.36,8.762488141655922e-05,0.0002583339810371399,2,2,17.699249542085454,0.004980468,515,4053,0
0,2,myopic,no_drift,1,1,0,0,0.0,0.00010395911522209644,8.533312939107418e-05,2,2,7.4500419578980654,0.0019372679999999998,515,1517,0
0,2,recheck,no_drift,1,1,0,0,0.0,0.00020770798437297344,0.00015641702339053154,2,2,7.914603083161637,0.0018296999999999999,515,1396,0
0,2,ttl,no_drift,1,1,0,2,0.36,4.4416170567274094e-05,6.0625141486525536e-05,2,2,8.12080758321099,0.0019964999999999996,515,1535,0
0,3,always,no_drift,1,1,0,2,0.36,3.587501123547554e-05,6.145774386823177e-05,2,2,13.017817000858486,0.0035835,473,2868,0
0,3,myopic,no_drift,1,1,0,1,0.18,0.00013033300638198853,7.949979044497013e-05,2,2,14.75113462493755,0.0038967,473,3129,0
0,3,recheck,no_drift,1,1,0,1,0.18,0.00017879181541502476,0.00016454095020890236,2,2,17.956704957876354,0.0048387,473,3914,0
0,3,ttl,no_drift,1,1,0,0,0.0,3.358395770192146e-05,0.00010579102672636509,2,2,22.690342041198164,0.0061478999999999995,473,5005,0
0,4,always,no_drift,1,1,0,2,0.36,8.141598664224148e-05,0.00012054108083248138,2,2,26.096239000093192,0.007447499999999999,473,6088,0
0,4,myopic,no_drift,1,1,0,0,0.0,0.00010112510062754154,0.00015491596423089504,2,2,10.216838916996494,0.0025275000000000002,473,1988,0
0,4,recheck,no_drift,1,1,0,0,0.0,0.00014058314263820648,4.75000124424696e-05,2,2,11.418591333087534,0.0029463,473,2337,0
0,4,ttl,no_drift,1,1,0,0,0.0,4.741712473332882e-05,0.00010712398216128349,2,2,10.349498374853283,0.0025671,473,2021,0
0,5,always,no_drift,1,1,0,2,0.36,9.987503290176392e-05,9.566592052578926e-05,2,2,3.917133833048865,0.0008715,473,608,0
0,5,myopic,no_drift,1,1,0,1,0.18,0.0002118751872330904,0.00014641601592302322,2,2,34.61439679120667,0.010141500000000001,473,8333,0
0,5,recheck,no_drift,1,1,0,1,0.18,0.00017337501049041748,7.879198528826237e-05,2,2,11.693791375029832,0.0026703,473,2107,0
0,5,ttl,no_drift,1,1,0,2,0.36,2.970895729959011e-05,0.0001729999203234911,2,2,12.13884516688995,0.0031526999999999996,473,2509,0
0,6,always,no_drift,1,1,0,2,0.36,7.516704499721527e-05,0.00016029085963964462,2,2,14.664817707845941,0.0037190999999999995,473,2981,0
0,6,myopic,no_drift,1,1,0,0,0.0,9.487499482929707e-05,5.7416968047618866e-05,2,2,18.525433958042413,0.0051987,473,4214,0
0,6,recheck,no_drift,1,1,0,0,0.0,8.395803160965443e-05,0.00015412503853440285,2,2,13.129282625159249,0.0034047,473,2719,0
0,6,ttl,no_drift,1,1,0,0,0.0,3.616698086261749e-05,7.770699448883533e-05,2,2,10.306913542095572,0.0024986999999999995,473,1964,0
0,7,always,no_drift,1,1,0,2,0.36,2.437504008412361e-05,4.1415682062506676e-05,2,2,8.993847249308601,0.0023271,473,1821,0
0,7,myopic,no_drift,1,1,0,1,0.18,6.758305244147778e-05,8.050003089010715e-05,2,2,4.556329290848225,0.0010946999999999999,473,794,0
0,7,recheck,no_drift,1,1,0,1,0.18,5.695805884897709e-05,8.508283644914627e-05,2,2,5.563302707858384,0.0014414999999999999,473,1083,0
0,7,ttl,no_drift,1,1,0,0,0.0,3.00002284348011e-06,3.670784644782543e-05,2,2,8.480807250365615,0.0021831,473,1701,0
1,0,always,hidden_drift,1,1,0,2,0.36,8.170795626938343e-05,0.00015470781363546848,2,2,2.8085002917796373,0.0005346,462,330,0
1,0,myopic,hidden_drift,1,1,0,0,0.0,3.987504169344902e-05,0.00014666724018752575,2,2,2.758486457867548,0.0006678,462,441,0
1,0,recheck,hidden_drift,1,1,0,0,0.0,5.104183219373226e-05,5.533290095627308e-05,2,2,4.044932500924915,0.0006966,462,465,0
1,0,ttl,hidden_drift,1,1,0,0,0.0,8.95792618393898e-06,5.1582930609583855e-05,2,2,2.4020985001698136,0.000507,462,307,0
1,1,always,hidden_drift,1,1,0,2,0.36,8.37910920381546e-05,9.72086563706398e-05,2,2,5.166968166129664,0.0014177999999999999,462,1066,0
1,1,myopic,hidden_drift,1,1,0,1,0.18,7.554213516414165e-05,9.341700933873653e-05,2,2,2.738581624114886,0.0006774,462,449,0
1,1,recheck,hidden_drift,1,1,0,1,0.18,5.6124990805983543e-05,6.395787931978703e-05,2,2,3.4238803749904037,0.0006353999999999999,462,414,0
1,1,ttl,hidden_drift,0,1,0,0,0.0,2.375105395913124e-06,9.370804764330387e-05,2,2,3.827248000074178,0.0005622,462,353,0
1,2,always,hidden_drift,1,1,0,2,0.36,6.483285687863827e-05,0.00024329195730388165,2,2,16.60987754096277,0.0046845,515,3775,0
1,2,myopic,hidden_drift,1,1,0,1,0.18,7.241708226501942e-05,8.808309212327003e-05,2,2,3.491572374943644,0.000828468,515,593,0
1,2,recheck,hidden_drift,1,1,0,1,0.18,0.00010895798914134502,0.00013595819473266602,2,2,10.26033404096961,0.0026577,515,2086,0
1,2,ttl,hidden_drift,1,1,0,2,0.36,1.7416896298527718e-05,0.00012033316306769848,2,2,3.507995915831998,0.000724068,515,506,0
1,3,always,hidden_drift,1,1,0,2,0.36,7.08338338881731e-05,8.833315223455429e-05,2,2,4.464766334043816,0.0010269,515,727,0
1,3,myopic,hidden_drift,1,1,0,1,0.18,4.612491466104984e-05,0.00010370812378823757,2,2,17.625597374746576,0.005066868,515,4125,0
1,3,recheck,hidden_drift,1,1,0,1,0.18,5.9499870985746384e-05,3.837398253381252e-05,2,2,5.083471999736503,0.0014516999999999998,515,1081,0
1,3,ttl,hidden_drift,1,1,0,0,0.0,2.7833040803670883e-05,7.845903746783733e-05,2,2,5.366825749864802,0.0013844999999999999,515,1025,0
1,4,always,hidden_drift,1,1,0,2,0.36,4.341593012213707e-05,0.00015349965542554855,2,2,3.1660536252893507,0.0007076999999999999,515,461,0
1,4,myopic,hidden_drift,1,1,0,1,0.18,2.508307807147503e-05,5.620787851512432e-05,2,2,15.918493665754795,0.0044421,515,3573,0
1,4,recheck,hidden_drift,1,1,0,1,0.18,6.225006654858589e-05,5.375011824071407e-05,2,2,19.90165558294393,0.005336868000000001,515,4350,0
1,4,ttl,hidden_drift,1,1,0,0,0.0,5.082925781607628e-06,4.1416147723793983e-05,2,2,6.864193749846891,0.0018920999999999996,515,1448,0
1,5,always,hidden_drift,1,1,0,2,0.36,2.374988980591297e-05,7.595703937113285e-05,2,2,4.3926049578003585,0.001126068,515,841,0
1,5,myopic,hidden_drift,1,1,0,1,0.18,7.699988782405853e-05,5.299900658428669e-05,2,2,14.009369458071887,0.003808068,515,3076,0
1,5,recheck,hidden_drift,1,1,0,1,0.18,4.0624989196658134e-05,8.750101551413536e-05,2,2,6.701837750850245,0.0016749,515,1267,0
1,5,ttl,hidden_drift,1,1,0,2,0.36,5.959067493677139e-06,7.437402382493019e-05,2,2,9.451049123890698,0.0025017,515,1956,0
1,6,always,hidden_drift,1,1,0,2,0.36,3.837514668703079e-05,0.00012037483975291252,2,2,24.101880000904202,0.0067521000000000005,515,5498,0
1,6,myopic,hidden_drift,1,1,0,1,0.18,1.637497916817665e-05,4.1416147723793983e-05,2,2,6.51664787507616,0.0017116679999999997,515,1329,0
1,6,recheck,hidden_drift,1,1,0,1,0.18,7.558288052678108e-05,0.00010562408715486526,2,2,8.473820250015706,0.0021525,515,1665,0
1,6,ttl,hidden_drift,1,1,0,0,0.0,8.16606916487217e-06,3.2708048820495605e-05,2,2,4.30703820916824,0.0010257,515,726,0
1,7,always,hidden_drift,1,1,0,2,0.36,6.570783443748951e-05,9.44170169532299e-05,2,2,7.737287874799222,0.0018992999999999998,515,1454,0
1,7,myopic,hidden_drift,1,1,0,1,0.18,0.0001129999291151762,0.00010933401063084602,2,2,12.980102041037753,0.003475668,515,2799,0
1,7,recheck,hidden_drift,1,1,0,1,0.18,4.629092290997505e-05,4.3333740904927254e-05,2,2,10.122559250099584,0.0025101,515,1963,0
1,7,ttl,hidden_drift,1,1,0,0,0.0,2.070819027721882e-05,0.0001370010431855917,2,2,11.937562874751166,0.0030657,515,2426,0
2,0,always,no_drift,1,1,0,2,0.36,2.7624890208244324e-05,0.00013983296230435371,2,2,3.435545917134732,0.0008187,461,567,0
2,0,myopic,no_drift,1,1,0,0,0.0,9.079091250896454e-05,5.187513306736946e-05,2,2,3.473019207827747,0.0006675,461,441,0
2,0,recheck,no_drift,1,1,0,0,0.0,0.0001617909874767065,4.437495954334736e-05,2,2,4.494992917170748,0.0009782999999999999,461,700,0
