unit,method,correct,initial_correct,old_state_invalid_after_revision,repair_eligible,selected_count,selection_invalid,llm_calls,llm_attempts,llm_latency_seconds,estimated_cost,prompt_tokens,completion_tokens,missing_usage_calls
0,full_regeneration,1,1,1,1,3,0,3,3,3.136153625091538,0.00042929999999999997,583,212,0
0,keep_stale,0,1,1,1,0,0,0,0,0,0,0,0,0
0,llm_selected_patch,1,1,1,1,1,0,2,2,3.0291625421959907,0.0007643999999999999,664,471,0
1,full_regeneration,1,1,1,1,3,0,3,3,3.0582345000002533,0.00042599999999999995,580,210,0
1,keep_stale,0,1,1,1,0,0,0,0,0,0,0,0,0
1,llm_selected_patch,1,1,1,1,2,0,3,3,5.437683459138498,0.0012303,853,812,0
2,full_regeneration,1,1,1,1,3,0,3,3,3.112458373652771,0.00042989999999999993,577,214,0
2,keep_stale,0,1,1,1,0,0,0,0,0,0,0,0,0
2,llm_selected_patch,1,1,1,1,3,0,4,4,5.248009457951412,0.0009066,1046,494,0
3,full_regeneration,1,1,0,0,3,0,3,3,3.428175081964582,0.00044459999999999996,586,224,0
3,keep_stale,1,1,0,0,0,0,0,0,0,0,0,0,0
3,llm_selected_patch,1,1,0,0,0,0,1,1,3.303562292130664,0.0009452999999999999,475,669,0
