arm,case_id,episode_id,phase,family,goal_mode,change,updates_attempted,updates_committed,rejected_updates,minimal_business_update_all_attempts,row_guard_attempts,selection_guard_attempts,first_write_row_guard,first_write_selection_guard,resolves_before_first_attempt,queries_after_success,resolver_queries_after_success,id_queries_after_success,events
intent,x06,primary_x06_intent,primary,dispatch,current,stable,1,1,0,True,0,1,False,True,1,2,1,1,"[[0,""select_batch"",null],[1,""update_batch"",null],[2,""select_batch"",null],[3,""get_batch"",null]]"
both,x10,primary_x10_both,primary,dispatch,literal,selection,1,1,0,True,1,0,True,False,0,1,0,1,"[[0,""get_batch"",null],[2,""update_batch"",null],[3,""get_batch"",null]]"
minimal,x09,primary_x09_minimal,primary,dispatch,current,selection,2,1,1,True,2,2,True,True,1,2,1,1,"[[0,""select_batch"",null],[2,""update_batch"",""SELECTION_CONFLICT""],[3,""select_batch"",null],[4,""update_batch"",null],[5,""get_batch"",null],[6,""select_batch"",null]]"
both,x06,primary_x06_both,primary,dispatch,current,stable,1,1,0,True,0,1,False,True,1,2,1,1,"[[0,""select_batch"",null],[1,""update_batch"",null],[2,""select_batch"",null],[3,""get_batch"",null]]"
generic,x05,primary_x05_generic,primary,routing,literal,protected,2,1,1,True,2,0,True,False,0,1,0,1,"[[0,""get_config"",null],[2,""update_config"",""ROW_VERSION_CONFLICT""],[3,""get_config"",null],[4,""update_config"",null],[5,""get_config"",null]]"
intent,x08,primary_x08_intent,primary,dispatch,current,protected,1,1,0,True,0,1,False,True,1,2,1,1,"[[0,""select_batch"",null],[2,""update_batch"",null],[3,""select_batch"",null],[4,""get_batch"",null]]"
intent,x07,primary_x07_intent,primary,dispatch,current,irrelevant,1,1,0,True,0,1,False,True,1,1,1,0,"[[0,""select_batch"",null],[2,""update_batch"",null],[3,""select_batch"",null]]"
both,x00,primary_x00_both,primary,routing,current,stable,1,1,0,True,1,1,True,True,1,2,1,1,"[[0,""resolve_service"",null],[1,""update_config"",null],[2,""resolve_service"",null],[3,""get_config"",null]]"
generic,x06,primary_x06_generic,primary,dispatch,current,stable,1,1,0,True,0,1,False,True,1,1,0,1,"[[0,""select_batch"",null],[1,""update_batch"",null],[2,""get_batch"",null]]"
minimal,x11,primary_x11_minimal,primary,dispatch,literal,protected,2,1,1,True,2,0,True,False,0,1,0,1,"[[0,""get_batch"",null],[2,""update_batch"",""ROW_VERSION_CONFLICT""],[3,""get_batch"",null],[4,""update_batch"",null],[5,""get_batch"",null]]"
both,x05,primary_x05_both,primary,routing,literal,protected,2,1,1,True,2,0,True,False,0,1,0,1,"[[0,""get_config"",null],[2,""update_config"",""ROW_VERSION_CONFLICT""],[3,""get_config"",null],[4,""update_config"",null],[5,""get_config"",null]]"
both,x11,primary_x11_both,primary,dispatch,literal,protected,2,1,1,True,2,0,True,False,0,1,0,1,"[[0,""get_batch"",null],[2,""update_batch"",""ROW_VERSION_CONFLICT""],[3,""get_batch"",null],[4,""update_batch"",null],[5,""get_batch"",null]]"
minimal,x07,primary_x07_minimal,primary,dispatch,current,irrelevant,1,1,0,True,0,1,False,True,1,1,0,1,"[[0,""select_batch"",null],[2,""update_batch"",null],[3,""get_batch"",null]]"
minimal,x00,primary_x00_minimal,primary,routing,current,stable,1,1,0,True,1,1,True,True,1,1,1,0,"[[0,""resolve_service"",null],[1,""update_config"",null],[2,""resolve_service"",null]]"
intent,x03,primary_x03_intent,primary,routing,current,selection,2,1,1,True,0,2,False,True,1,2,1,1,"[[0,""resolve_service"",null],[2,""update_config"",""SELECTION_CONFLICT""],[3,""resolve_service"",null],[4,""update_config"",null],[5,""resolve_service"",null],[6,""get_config"",null]]"
both,x08,primary_x08_both,primary,dispatch,current,protected,2,1,1,True,2,2,True,True,1,2,1,1,"[[0,""select_batch"",null],[2,""update_batch"",""ROW_VERSION_CONFLICT""],[3,""select_batch"",null],[4,""get_batch"",null],[5,""update_batch"",null],[6,""get_batch"",null],[7,""select_batch"",null]]"
generic,x11,primary_x11_generic,primary,dispatch,literal,protected,2,1,1,True,2,0,True,False,0,1,0,1,"[[0,""get_batch"",null],[2,""update_batch"",""ROW_VERSION_CONFLICT""],[3,""get_batch"",null],[4,""update_batch"",null],[5,""get_batch"",null]]"
both,x09,primary_x09_both,primary,dispatch,current,selection,2,1,1,True,0,2,False,True,1,2,1,1,"[[0,""select_batch"",null],[2,""update_batch"",""SELECTION_CONFLICT""],[3,""select_batch"",null],[4,""update_batch"",null],[5,""get_batch"",null],[6,""select_batch"",null]]"
intent,x11,primary_x11_intent,primary,dispatch,literal,protected,2,1,1,True,2,0,True,False,0,1,0,1,"[[0,""get_batch"",null],[2,""update_batch"",""ROW_VERSION_CONFLICT""],[3,""get_batch"",null],[4,""update_batch"",null],[5,""get_batch"",null]]"
intent,x05,primary_x05_intent,primary,routing,literal,protected,2,1,1,True,2,0,True,False,0,1,0,1,"[[0,""get_config"",null],[2,""update_config"",""ROW_VERSION_CONFLICT""],[3,""get_config"",null],[4,""update_config"",null],[5,""get_config"",null]]"
both,x03,primary_x03_both,primary,routing,current,selection,2,1,1,True,0,2,False,True,1,2,1,1,"[[0,""resolve_service"",null],[2,""update_config"",""SELECTION_CONFLICT""],[3,""resolve_service"",null],[4,""update_config"",null],[5,""resolve_service"",null],[6,""get_config"",null]]"
both,x07,primary_x07_both,primary,dispatch,current,irrelevant,1,1,0,True,0,1,False,True,1,1,1,0,"[[0,""select_batch"",null],[2,""update_batch"",null],[3,""select_batch"",null]]"
