arm,case_id,episode_id,phase,event_index,model_turn,batch_index,name,ok,error,arguments,elapsed_seconds,row_guard,selection_guard,business_fields,proposed_business_patch_safe,case_change,goal_mode,current_target_at_attempt,attempted_target,patch_if_guards_ignored,classification_is_offline_not_executed
minimal,x09,primary_x09_minimal,primary,2,1,0,update_batch,False,SELECTION_CONFLICT,"{""expected_selection_token"":""80c172be628d44e53efb2773e4f2769d6a4e5a0e3be3e7e752c7c4747bc7cca0"",""expected_version"":1,""id"":""job-09-a"",""lane_query"":""cedar-09"",""min_units_query"":4,""ready_after"":1800120000}",0.00023379107005894184,True,True,"[""ready_after""]",False,selection,current,job-09-b,job-09-a,"[[""batches"",""job-09-a"",""ready_after"",1800100000,1800120000]]",True
generic,x05,primary_x05_generic,primary,2,1,0,update_config,False,ROW_VERSION_CONFLICT,"{""expected_version"":1,""id"":""cfg-05-a"",""max_attempts"":5}",0.00010750000365078449,True,False,"[""max_attempts""]",True,protected,literal,cfg-05-a,cfg-05-a,"[[""configs"",""cfg-05-a"",""max_attempts"",2,5]]",True
minimal,x11,primary_x11_minimal,primary,2,1,0,update_batch,False,ROW_VERSION_CONFLICT,"{""expected_version"":1,""id"":""job-11-a"",""ready_after"":1800120000}",8.987495675683022e-05,True,False,"[""ready_after""]",True,protected,literal,job-11-a,job-11-a,"[[""batches"",""job-11-a"",""ready_after"",1800100000,1800120000]]",True
both,x05,primary_x05_both,primary,2,1,0,update_config,False,ROW_VERSION_CONFLICT,"{""expected_version"":1,""id"":""cfg-05-a"",""max_attempts"":5}",0.00010195793583989143,True,False,"[""max_attempts""]",True,protected,literal,cfg-05-a,cfg-05-a,"[[""configs"",""cfg-05-a"",""max_attempts"",2,5]]",True
both,x11,primary_x11_both,primary,2,1,0,update_batch,False,ROW_VERSION_CONFLICT,"{""expected_version"":1,""id"":""job-11-a"",""ready_after"":1800120000}",9.766686707735062e-05,True,False,"[""ready_after""]",True,protected,literal,job-11-a,job-11-a,"[[""batches"",""job-11-a"",""ready_after"",1800100000,1800120000]]",True
intent,x03,primary_x03_intent,primary,2,1,0,update_config,False,SELECTION_CONFLICT,"{""expected_selection_token"":""3a7390f0692d205c4f4f6c1979fdde5120a2b43d48eee2d1b12c0ca86b825f45"",""id"":""cfg-03-a"",""max_attempts"":5,""service"":""cedar-03""}",0.00016570906154811382,False,True,"[""max_attempts""]",False,selection,current,cfg-03-b,cfg-03-a,"[[""configs"",""cfg-03-a"",""max_attempts"",2,5]]",True
both,x08,primary_x08_both,primary,2,1,0,update_batch,False,ROW_VERSION_CONFLICT,"{""expected_selection_token"":""73e14ef24d5ca4375cd5ca9af0e3e2910b1890ec043d1bda8b6d1c0c2f740776"",""expected_version"":1,""id"":""job-08-a"",""lane_query"":""cedar-08"",""min_units_query"":4,""ready_after"":1800120000}",0.00017104088328778744,True,True,"[""ready_after""]",True,protected,current,job-08-a,job-08-a,"[[""batches"",""job-08-a"",""ready_after"",1800100000,1800120000]]",True
generic,x11,primary_x11_generic,primary,2,1,0,update_batch,False,ROW_VERSION_CONFLICT,"{""expected_version"":1,""id"":""job-11-a"",""ready_after"":1800120000}",8.612498641014099e-05,True,False,"[""ready_after""]",True,protected,literal,job-11-a,job-11-a,"[[""batches"",""job-11-a"",""ready_after"",1800100000,1800120000]]",True
both,x09,primary_x09_both,primary,2,1,0,update_batch,False,SELECTION_CONFLICT,"{""expected_selection_token"":""80c172be628d44e53efb2773e4f2769d6a4e5a0e3be3e7e752c7c4747bc7cca0"",""id"":""job-09-a"",""lane_query"":""cedar-09"",""min_units_query"":4,""ready_after"":1800120000}",0.0002537090331315994,False,True,"[""ready_after""]",False,selection,current,job-09-b,job-09-a,"[[""batches"",""job-09-a"",""ready_after"",1800100000,1800120000]]",True
intent,x11,primary_x11_intent,primary,2,1,0,update_batch,False,ROW_VERSION_CONFLICT,"{""expected_version"":1,""id"":""job-11-a"",""ready_after"":1800120000}",5.6374818086624146e-05,True,False,"[""ready_after""]",True,protected,literal,job-11-a,job-11-a,"[[""batches"",""job-11-a"",""ready_after"",1800100000,1800120000]]",True
intent,x05,primary_x05_intent,primary,2,1,0,update_config,False,ROW_VERSION_CONFLICT,"{""expected_version"":1,""id"":""cfg-05-a"",""max_attempts"":5}",9.391689673066139e-05,True,False,"[""max_attempts""]",True,protected,literal,cfg-05-a,cfg-05-a,"[[""configs"",""cfg-05-a"",""max_attempts"",2,5]]",True
both,x03,primary_x03_both,primary,2,1,0,update_config,False,SELECTION_CONFLICT,"{""expected_selection_token"":""3a7390f0692d205c4f4f6c1979fdde5120a2b43d48eee2d1b12c0ca86b825f45"",""id"":""cfg-03-a"",""max_attempts"":5,""service"":""cedar-03""}",0.00016562500968575478,False,True,"[""max_attempts""]",False,selection,current,cfg-03-b,cfg-03-a,"[[""configs"",""cfg-03-a"",""max_attempts"",2,5]]",True
generic,x02,primary_x02_generic,primary,2,1,0,update_config,False,ROW_VERSION_CONFLICT,"{""expected_selection_token"":""78fa41ad043594c048669e7e86717d1f8125358262e46f9d40f8a2b9accd964a"",""expected_version"":1,""id"":""cfg-02-a"",""max_attempts"":5,""service"":""cedar-02""}",9.975000284612179e-05,True,True,"[""max_attempts""]",True,protected,current,cfg-02-a,cfg-02-a,"[[""configs"",""cfg-02-a"",""max_attempts"",2,5]]",True
minimal,x05,primary_x05_minimal,primary,2,1,0,update_config,False,ROW_VERSION_CONFLICT,"{""expected_version"":1,""id"":""cfg-05-a"",""max_attempts"":5}",8.841697126626968e-05,True,False,"[""max_attempts""]",True,protected,literal,cfg-05-a,cfg-05-a,"[[""configs"",""cfg-05-a"",""max_attempts"",2,5]]",True
minimal,x02,primary_x02_minimal,primary,2,1,0,update_config,False,ROW_VERSION_CONFLICT,"{""expected_selection_token"":""78fa41ad043594c048669e7e86717d1f8125358262e46f9d40f8a2b9accd964a"",""expected_version"":1,""id"":""cfg-02-a"",""max_attempts"":5,""service"":""cedar-02""}",0.00010062498040497303,True,True,"[""max_attempts""]",True,protected,current,cfg-02-a,cfg-02-a,"[[""configs"",""cfg-02-a"",""max_attempts"",2,5]]",True
minimal,x08,primary_x08_minimal,primary,2,1,0,update_batch,False,ROW_VERSION_CONFLICT,"{""expected_selection_token"":""73e14ef24d5ca4375cd5ca9af0e3e2910b1890ec043d1bda8b6d1c0c2f740776"",""expected_version"":1,""id"":""job-08-a"",""lane_query"":""cedar-08"",""min_units_query"":4,""ready_after"":1800120000}",0.00012837513349950314,True,True,"[""ready_after""]",True,protected,current,job-08-a,job-08-a,"[[""batches"",""job-08-a"",""ready_after"",1800100000,1800120000]]",True
minimal,x03,primary_x03_minimal,primary,2,1,0,update_config,False,SELECTION_CONFLICT,"{""expected_selection_token"":""3a7390f0692d205c4f4f6c1979fdde5120a2b43d48eee2d1b12c0ca86b825f45"",""id"":""cfg-03-a"",""max_attempts"":5,""service"":""cedar-03""}",0.0001224579755216837,False,True,"[""max_attempts""]",False,selection,current,cfg-03-b,cfg-03-a,"[[""configs"",""cfg-03-a"",""max_attempts"",2,5]]",True
intent,x02,primary_x02_intent,primary,2,1,0,update_config,False,ROW_VERSION_CONFLICT,"{""expected_selection_token"":""78fa41ad043594c048669e7e86717d1f8125358262e46f9d40f8a2b9accd964a"",""expected_version"":1,""id"":""cfg-02-a"",""max_attempts"":5,""service"":""cedar-02""}",8.933385834097862e-05,True,True,"[""max_attempts""]",True,protected,current,cfg-02-a,cfg-02-a,"[[""configs"",""cfg-02-a"",""max_attempts"",2,5]]",True
both,x02,primary_x02_both,primary,2,1,0,update_config,False,ROW_VERSION_CONFLICT,"{""expected_selection_token"":""78fa41ad043594c048669e7e86717d1f8125358262e46f9d40f8a2b9accd964a"",""expected_version"":1,""id"":""cfg-02-a"",""max_attempts"":5,""service"":""cedar-02""}",8.174986578524113e-05,True,True,"[""max_attempts""]",True,protected,current,cfg-02-a,cfg-02-a,"[[""configs"",""cfg-02-a"",""max_attempts"",2,5]]",True
intent,x09,primary_x09_intent,primary,2,1,0,update_batch,False,SELECTION_CONFLICT,"{""expected_selection_token"":""80c172be628d44e53efb2773e4f2769d6a4e5a0e3be3e7e752c7c4747bc7cca0"",""id"":""job-09-a"",""lane_query"":""cedar-09"",""min_units_query"":4,""ready_after"":1800120000}",0.00016737496480345726,False,True,"[""ready_after""]",False,selection,current,job-09-b,job-09-a,"[[""batches"",""job-09-a"",""ready_after"",1800100000,1800120000]]",True
generic,x09,primary_x09_generic,primary,2,1,0,update_batch,False,SELECTION_CONFLICT,"{""expected_selection_token"":""80c172be628d44e53efb2773e4f2769d6a4e5a0e3be3e7e752c7c4747bc7cca0"",""expected_version"":1,""id"":""job-09-a"",""lane_query"":""cedar-09"",""min_units_query"":4,""ready_after"":1800120000}",0.00015754206106066704,True,True,"[""ready_after""]",False,selection,current,job-09-b,job-09-a,"[[""batches"",""job-09-a"",""ready_after"",1800100000,1800120000]]",True
