case_id,family,condition,intent,policy,claim,false_confirmation,tool_success_proxy,goal_final,final_state_clean,trace_safe_success,wrong_write,protected_field_changes,wrong_target_field_changes,conflicts,tool_calls,environment_events,goal_only_false_accept,final_clean_false_accept
x00,routing,stable,current,full_id,True,False,True,True,True,True,False,0,0,0,3,0,False,False
x00,routing,stable,current,minimal_id,True,False,True,True,True,True,False,0,0,0,3,0,False,False
x00,routing,stable,current,full_intent,True,False,True,True,True,True,False,0,0,0,3,0,False,False
x00,routing,stable,current,minimal_intent,True,False,True,True,True,True,False,0,0,0,3,0,False,False
x00,routing,stable,current,reresolve_minimal,True,False,True,True,True,True,False,0,0,0,4,0,False,False
x00,routing,stable,current,row_cas,True,False,True,True,True,True,False,0,0,0,3,0,False,False
x00,routing,stable,current,selection_guard,True,False,True,True,True,True,False,0,0,0,3,0,False,False
x00,routing,stable,current,guard_retry,True,False,True,True,True,True,False,0,0,0,3,0,False,False
x01,routing,irrelevant,current,full_id,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x01,routing,irrelevant,current,minimal_id,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x01,routing,irrelevant,current,full_intent,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x01,routing,irrelevant,current,minimal_intent,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x01,routing,irrelevant,current,reresolve_minimal,True,False,True,True,True,True,False,0,0,0,4,1,False,False
x01,routing,irrelevant,current,row_cas,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x01,routing,irrelevant,current,selection_guard,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x01,routing,irrelevant,current,guard_retry,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x02,routing,protected,current,full_id,True,True,True,True,False,False,True,1,0,0,3,1,True,False
x02,routing,protected,current,minimal_id,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x02,routing,protected,current,full_intent,True,True,True,True,False,False,True,1,0,0,3,1,True,False
x02,routing,protected,current,minimal_intent,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x02,routing,protected,current,reresolve_minimal,True,False,True,True,True,True,False,0,0,0,4,1,False,False
x02,routing,protected,current,row_cas,False,False,False,False,False,False,False,0,0,1,2,1,False,False
x02,routing,protected,current,selection_guard,False,False,False,False,False,False,False,0,0,1,2,1,False,False
x02,routing,protected,current,guard_retry,True,False,True,True,True,True,False,0,0,1,5,1,False,False
x03,routing,selection,current,full_id,True,True,True,False,False,False,True,0,1,0,3,1,False,False
x03,routing,selection,current,minimal_id,True,True,True,False,False,False,True,0,1,0,3,1,False,False
x03,routing,selection,current,full_intent,False,False,True,False,False,False,True,0,1,0,3,1,False,False
x03,routing,selection,current,minimal_intent,False,False,True,False,False,False,True,0,1,0,3,1,False,False
x03,routing,selection,current,reresolve_minimal,True,False,True,True,True,True,False,0,0,0,4,1,False,False
x03,routing,selection,current,row_cas,True,True,True,False,False,False,True,0,1,0,3,1,False,False
x03,routing,selection,current,selection_guard,False,False,False,False,False,False,False,0,0,1,2,1,False,False
x03,routing,selection,current,guard_retry,True,False,True,True,True,True,False,0,0,1,5,1,False,False
x04,routing,selection,literal,full_id,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x04,routing,selection,literal,minimal_id,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x04,routing,selection,literal,full_intent,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x04,routing,selection,literal,minimal_intent,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x04,routing,selection,literal,reresolve_minimal,True,False,True,True,True,True,False,0,0,0,4,1,False,False
x04,routing,selection,literal,row_cas,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x04,routing,selection,literal,selection_guard,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x04,routing,selection,literal,guard_retry,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x05,routing,protected,literal,full_id,True,True,True,True,False,False,True,1,0,0,3,1,True,False
x05,routing,protected,literal,minimal_id,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x05,routing,protected,literal,full_intent,True,True,True,True,False,False,True,1,0,0,3,1,True,False
x05,routing,protected,literal,minimal_intent,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x05,routing,protected,literal,reresolve_minimal,True,False,True,True,True,True,False,0,0,0,4,1,False,False
x05,routing,protected,literal,row_cas,False,False,False,False,False,False,False,0,0,1,2,1,False,False
x05,routing,protected,literal,selection_guard,False,False,False,False,False,False,False,0,0,1,2,1,False,False
x05,routing,protected,literal,guard_retry,True,False,True,True,True,True,False,0,0,1,5,1,False,False
x06,dispatch,stable,current,full_id,True,False,True,True,True,True,False,0,0,0,3,0,False,False
x06,dispatch,stable,current,minimal_id,True,False,True,True,True,True,False,0,0,0,3,0,False,False
x06,dispatch,stable,current,full_intent,True,False,True,True,True,True,False,0,0,0,3,0,False,False
x06,dispatch,stable,current,minimal_intent,True,False,True,True,True,True,False,0,0,0,3,0,False,False
x06,dispatch,stable,current,reresolve_minimal,True,False,True,True,True,True,False,0,0,0,4,0,False,False
x06,dispatch,stable,current,row_cas,True,False,True,True,True,True,False,0,0,0,3,0,False,False
x06,dispatch,stable,current,selection_guard,True,False,True,True,True,True,False,0,0,0,3,0,False,False
x06,dispatch,stable,current,guard_retry,True,False,True,True,True,True,False,0,0,0,3,0,False,False
x07,dispatch,irrelevant,current,full_id,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x07,dispatch,irrelevant,current,minimal_id,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x07,dispatch,irrelevant,current,full_intent,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x07,dispatch,irrelevant,current,minimal_intent,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x07,dispatch,irrelevant,current,reresolve_minimal,True,False,True,True,True,True,False,0,0,0,4,1,False,False
x07,dispatch,irrelevant,current,row_cas,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x07,dispatch,irrelevant,current,selection_guard,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x07,dispatch,irrelevant,current,guard_retry,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x08,dispatch,protected,current,full_id,True,True,True,True,False,False,True,1,0,0,3,1,True,False
x08,dispatch,protected,current,minimal_id,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x08,dispatch,protected,current,full_intent,True,True,True,True,False,False,True,1,0,0,3,1,True,False
x08,dispatch,protected,current,minimal_intent,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x08,dispatch,protected,current,reresolve_minimal,True,False,True,True,True,True,False,0,0,0,4,1,False,False
x08,dispatch,protected,current,row_cas,False,False,False,False,False,False,False,0,0,1,2,1,False,False
x08,dispatch,protected,current,selection_guard,False,False,False,False,False,False,False,0,0,1,2,1,False,False
x08,dispatch,protected,current,guard_retry,True,False,True,True,True,True,False,0,0,1,5,1,False,False
x09,dispatch,selection,current,full_id,True,True,True,False,False,False,True,0,1,0,3,1,False,False
x09,dispatch,selection,current,minimal_id,True,True,True,False,False,False,True,0,1,0,3,1,False,False
x09,dispatch,selection,current,full_intent,False,False,True,False,False,False,True,0,1,0,3,1,False,False
x09,dispatch,selection,current,minimal_intent,False,False,True,False,False,False,True,0,1,0,3,1,False,False
x09,dispatch,selection,current,reresolve_minimal,True,False,True,True,True,True,False,0,0,0,4,1,False,False
x09,dispatch,selection,current,row_cas,True,True,True,False,False,False,True,0,1,0,3,1,False,False
x09,dispatch,selection,current,selection_guard,False,False,False,False,False,False,False,0,0,1,2,1,False,False
x09,dispatch,selection,current,guard_retry,True,False,True,True,True,True,False,0,0,1,5,1,False,False
x10,dispatch,selection,literal,full_id,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x10,dispatch,selection,literal,minimal_id,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x10,dispatch,selection,literal,full_intent,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x10,dispatch,selection,literal,minimal_intent,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x10,dispatch,selection,literal,reresolve_minimal,True,False,True,True,True,True,False,0,0,0,4,1,False,False
x10,dispatch,selection,literal,row_cas,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x10,dispatch,selection,literal,selection_guard,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x10,dispatch,selection,literal,guard_retry,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x11,dispatch,protected,literal,full_id,True,True,True,True,False,False,True,1,0,0,3,1,True,False
x11,dispatch,protected,literal,minimal_id,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x11,dispatch,protected,literal,full_intent,True,True,True,True,False,False,True,1,0,0,3,1,True,False
x11,dispatch,protected,literal,minimal_intent,True,False,True,True,True,True,False,0,0,0,3,1,False,False
x11,dispatch,protected,literal,reresolve_minimal,True,False,True,True,True,True,False,0,0,0,4,1,False,False
x11,dispatch,protected,literal,row_cas,False,False,False,False,False,False,False,0,0,1,2,1,False,False
x11,dispatch,protected,literal,selection_guard,False,False,False,False,False,False,False,0,0,1,2,1,False,False
x11,dispatch,protected,literal,guard_retry,True,False,True,True,True,True,False,0,0,1,5,1,False,False
