stream,step,task_type,same_probe_choice,same_plan_payload,same_answer_payload,same_all_semantics,same_task_relevant_semantics,only_checked_at_differs,recheck_probes,myopic_probes,recheck_checked_at,myopic_checked_at,recheck_success,myopic_success,recheck_reference_correct,myopic_reference_correct,recheck_answer,myopic_answer
0,0,3,True,True,True,True,True,False,[],[],"[0, 0]","[0, 0]",True,True,True,True,"{""total"": null, ""count"": 20}","{""total"": null, ""count"": 20}"
0,1,3,True,True,True,True,True,False,[],[],"[0, 0]","[0, 0]",True,True,True,True,"{""total"": null, ""count"": 20}","{""total"": null, ""count"": 20}"
0,2,3,True,True,True,True,True,False,[],[],"[0, 0]","[0, 0]",True,True,True,True,"{""total"": null, ""count"": 20}","{""total"": null, ""count"": 20}"
0,3,3,True,True,True,True,True,False,[],[],"[0, 0]","[0, 0]",True,True,True,True,"{""total"": null, ""count"": 20}","{""total"": null, ""count"": 20}"
0,4,1,True,True,False,True,True,False,[1],[1],"[0, 5]","[0, 5]",False,True,True,True,"{""total"": null, ""count"": null}","{""total"": null, ""count"": 7}"
0,5,1,True,True,True,True,True,False,[],[],"[0, 5]","[0, 5]",True,True,True,True,"{""total"": null, ""count"": 13}","{""total"": null, ""count"": 13}"
0,6,3,True,True,True,True,True,False,[],[],"[0, 5]","[0, 5]",True,True,True,True,"{""total"": null, ""count"": 20}","{""total"": null, ""count"": 20}"
0,7,0,True,True,True,True,True,False,[0],[0],"[8, 5]","[8, 5]",True,True,True,True,"{""total"": 1038.85, ""count"": null}","{""total"": 1038.85, ""count"": null}"
0,8,2,True,True,True,True,True,False,[1],[1],"[8, 9]","[8, 9]",True,True,True,True,"{""total"": 1038.85, ""count"": 9}","{""total"": 1038.85, ""count"": 9}"
0,9,2,True,True,True,True,True,False,[0],[0],"[10, 9]","[10, 9]",True,True,True,True,"{""total"": 1038.85, ""count"": 8}","{""total"": 1038.85, ""count"": 8}"
0,10,2,True,True,True,True,True,False,[1],[1],"[10, 11]","[10, 11]",True,True,True,True,"{""total"": 1038.85, ""count"": 10}","{""total"": 1038.85, ""count"": 10}"
0,11,2,True,True,True,True,True,False,[0],[0],"[12, 11]","[12, 11]",True,True,True,True,"{""total"": 1038.85, ""count"": 14}","{""total"": 1038.85, ""count"": 14}"
1,0,2,True,True,True,True,True,False,[],[],"[0, 0]","[0, 0]",True,True,True,True,"{""total"": 1013.97, ""count"": 12}","{""total"": 1013.97, ""count"": 12}"
1,1,2,True,True,True,True,True,False,"[0, 1]","[0, 1]","[2, 2]","[2, 2]",True,True,True,True,"{""total"": 1013.97, ""count"": 15}","{""total"": 1013.97, ""count"": 15}"
1,2,2,True,True,True,True,True,False,[],[],"[2, 2]","[2, 2]",True,True,True,True,"{""total"": 1013.97, ""count"": 13}","{""total"": 1013.97, ""count"": 13}"
1,3,2,True,True,True,True,True,False,"[0, 1]","[0, 1]","[4, 4]","[4, 4]",True,True,True,True,"{""total"": 1013.97, ""count"": 10}","{""total"": 1013.97, ""count"": 10}"
1,4,2,True,True,True,True,True,False,[],[],"[4, 4]","[4, 4]",True,True,True,True,"{""total"": 1013.97, ""count"": 15}","{""total"": 1013.97, ""count"": 15}"
1,5,2,True,True,True,True,True,False,"[0, 1]","[0, 1]","[6, 6]","[6, 6]",True,True,True,True,"{""total"": 1013.97, ""count"": 12}","{""total"": 1013.97, ""count"": 12}"
1,6,2,True,True,True,True,True,False,[],[],"[6, 6]","[6, 6]",False,False,False,False,"{""total"": 1013.97, ""count"": 10}","{""total"": 1013.97, ""count"": 10}"
1,7,2,True,True,True,True,True,False,"[0, 1]","[0, 1]","[8, 8]","[8, 8]",False,True,True,True,"{""total"": 1013.97, ""count"": 11}","{""total"": 1013.97, ""count"": 9}"
1,8,2,True,True,True,True,True,False,[],[],"[8, 8]","[8, 8]",True,True,True,True,"{""total"": 1013.97, ""count"": 15}","{""total"": 1013.97, ""count"": 15}"
1,9,1,True,True,True,True,True,False,[1],[1],"[8, 10]","[8, 10]",True,True,True,True,"{""total"": null, ""count"": 12}","{""total"": null, ""count"": 12}"
1,10,1,True,True,True,True,True,False,[],[],"[8, 10]","[8, 10]",True,True,True,True,"{""total"": null, ""count"": 14}","{""total"": null, ""count"": 14}"
1,11,1,True,True,True,True,True,False,[1],[1],"[8, 12]","[8, 12]",True,True,True,True,"{""total"": null, ""count"": 10}","{""total"": null, ""count"": 10}"
2,0,1,True,True,True,True,True,False,[],[],"[0, 0]","[0, 0]",True,True,True,True,"{""total"": null, ""count"": 9}","{""total"": null, ""count"": 9}"
