stream,step,method,task_type,cutoff,probe_count,proxy_cost_not_currency,amount_status,endpoint_status,stale_related,missing_related,plan_schema_valid_recomputed,answer_schema_valid,interface_failure,json_parse_failure,truncated,missing_call_records,answer_value_correct,end_to_end_success,reference_executor_correct,plan_follows_supplied_memory,answer_follows_tool_and_plan,stale_propagation_consistent
0,0,always,3,,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,0,myopic,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,0,never,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,0,recheck,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,0,ttl,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,1,always,3,,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,1,myopic,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,1,never,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,1,recheck,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,1,ttl,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,2,always,3,,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,2,myopic,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,2,never,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,2,recheck,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,2,ttl,3,,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,3,always,3,,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,3,myopic,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
