stream,condition,step,replicate,probe_actions_differ,actual_new_probe_action_diff,relevant_evidence_differ,request_body_differ,recheck_success,myopic_success,recheck_plan,myopic_plan,recheck_evidence,myopic_evidence,gold,recheck_answer,myopic_answer,J_delta
0,matched_low,0,primary,False,False,False,False,True,True,"{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""count"":null,""total"":962.89}","{""count"":null,""total"":962.89}","{""count"":null,""total"":962.89}",0.0
0,matched_low,1,primary,True,True,False,False,True,True,"{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""count"":null,""total"":962.89}","{""count"":null,""total"":962.89}","{""count"":null,""total"":962.89}",0.22
0,matched_low,2,primary,False,False,False,False,True,True,"{""time_bound"":11}","{""time_bound"":11}","{""endpoint_inclusive"":true}","{""endpoint_inclusive"":true}","{""count"":12,""total"":null}","{""count"":12,""total"":null}","{""count"":12,""total"":null}",0.0
0,matched_low,3,primary,False,False,False,False,True,True,"{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""count"":null,""total"":962.89}","{""count"":null,""total"":962.89}","{""count"":null,""total"":962.89}",0.0
0,matched_low,4,primary,False,False,False,False,True,True,"{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""count"":null,""total"":962.89}","{""count"":null,""total"":962.89}","{""count"":null,""total"":962.89}",0.0
0,matched_low,5,primary,True,True,False,False,True,True,"{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""count"":null,""total"":962.89}","{""count"":null,""total"":962.89}","{""count"":null,""total"":962.89}",0.22
0,matched_low,5,repeat,True,False,False,False,True,True,"{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""count"":null,""total"":962.89}","{""count"":null,""total"":962.89}","{""count"":null,""total"":962.89}",0.0
0,matched_low,6,primary,True,True,False,False,True,True,"{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""count"":null,""total"":962.89}","{""count"":null,""total"":962.89}","{""count"":null,""total"":962.89}",-0.22
0,matched_low,7,primary,False,False,False,False,True,True,{},{},{},{},"{""count"":20,""total"":null}","{""count"":20,""total"":null}","{""count"":20,""total"":null}",0.0
0,matched_low,8,primary,False,False,False,False,True,True,{},{},{},{},"{""count"":20,""total"":null}","{""count"":20,""total"":null}","{""count"":20,""total"":null}",0.0
