stream,condition,task_types,recheck_successes,recheck_J,recheck_probes,recheck_semantic_loss,myopic_successes,myopic_J,myopic_probes,myopic_semantic_loss,J_delta,success_delta
0,matched_low,"[0,0,1,0,0,0,0,3,3,0,1,1]",11,2.32,6,1,11,2.1,5,1,0.21999999999999975,0
1,matched_low,"[1,1,1,1,1,1,1,1,1,2,2,2]",11,2.32,6,1,11,2.1,5,1,0.21999999999999975,0
2,matched_low,"[2,0,3,1,1,1,1,1,1,2,2,2]",11,2.32,6,1,11,1.88,4,1,0.43999999999999995,0
3,matched_low,"[3,3,2,2,2,0,0,0,3,0,0,0]",11,2.32,6,1,11,2.88,4,2,-0.56,0
4,matched_high,"[0,0,0,0,0,0,0,0,0,0,0,0]",11,2.2,3,1,8,4.8,2,4,-2.5999999999999996,3
5,matched_high,"[1,1,1,1,1,1,1,1,1,1,1,1]",11,2.2,3,1,12,0.8,2,0,1.4000000000000001,-1
6,matched_high,"[2,2,2,2,2,2,2,2,2,2,2,2]",9,5.4,6,3,8,7.6,4,6,-2.1999999999999993,1
7,matched_high,"[3,3,3,3,3,3,2,2,2,2,2,2]",10,3.6,4,2,10,2.8,2,2,0.8000000000000003,0
8,no_drift,"[0,0,0,0,0,0,0,0,0,0,0,0]",12,1.2000000000000002,3,0,12,0.8,2,0,0.40000000000000013,0
9,no_drift,"[1,1,1,1,2,2,2,2,2,3,3,3]",12,2.0,5,0,12,0.8,2,0,1.2,0
10,no_drift,"[2,2,2,2,2,2,2,2,2,2,2,2]",12,2.4000000000000004,6,0,12,1.6,4,0,0.8000000000000003,0
11,no_drift,"[3,3,3,3,3,3,3,3,3,3,3,3]",12,0.0,0,0,12,0.0,0,0,0.0,0
12,underestimated_drift,"[0,0,0,0,3,3,3,3,3,1,1,1]",10,2.8,2,2,10,2.4,1,2,0.3999999999999999,0
13,underestimated_drift,"[1,1,1,1,1,1,1,1,1,1,1,1]",9,4.2,3,3,5,7.8,2,7,-3.5999999999999996,4
14,underestimated_drift,"[2,2,2,2,2,2,2,2,2,2,2,2]",6,8.4,6,6,6,9.6,4,8,-1.1999999999999993,0
15,underestimated_drift,"[3,3,3,3,3,3,3,3,3,3,0,0]",12,0.4,1,0,12,0.4,1,0,0.0,0
