stream,condition,step,method,same_request_body,same_answer,primary_success,repeat_success,same_raw_content,same_parsed_plan,same_reasoning_text,same_completion_tokens,primary_output_tokens,repeat_output_tokens,primary_latency_s,repeat_latency_s
0,matched_low,5,myopic,True,True,True,True,True,True,False,False,100,93,1.2534100408665836,1.2837181659415364
0,matched_low,5,recheck,True,True,True,True,True,True,False,False,106,76,1.4204317089170218,1.6486185828689486
1,matched_low,5,myopic,True,True,True,True,True,True,False,False,111,116,1.2944552497938275,1.5773311250377446
1,matched_low,5,recheck,True,True,True,True,False,True,False,False,116,151,1.3516370840370655,1.5303312498144805
2,matched_low,5,myopic,True,True,True,True,False,True,False,False,232,311,2.1670757920946926,2.4099157080054283
2,matched_low,5,recheck,True,True,True,True,False,True,False,False,184,198,1.4452746252063662,1.7181555000133812
3,matched_low,5,myopic,True,True,True,True,True,True,False,False,109,86,1.0101748751476407,0.7785681250970811
3,matched_low,5,recheck,True,True,False,False,True,True,False,False,50,110,0.8755159580614418,1.3924469999037683
4,matched_high,5,myopic,True,True,True,True,True,True,False,False,104,113,1.1312641671393067,0.838671333855018
4,matched_high,5,recheck,True,True,True,True,True,True,False,False,89,66,1.2734481249935925,0.6973351249471307
5,matched_high,5,myopic,True,True,True,True,True,True,False,False,284,257,2.0314584160223603,2.0675054588355124
5,matched_high,5,recheck,True,True,True,True,True,True,False,False,277,213,2.0507759160827845,1.9504913329146802
6,matched_high,5,myopic,True,True,True,True,True,True,False,False,164,224,1.3732262500561774,1.3592281660530716
6,matched_high,5,recheck,True,True,True,True,False,True,False,False,216,155,1.6727834581397474,1.4418104160577059
7,matched_high,5,myopic,True,True,True,True,True,True,False,False,96,30,1.9585357909090817,0.9448545419145375
7,matched_high,5,recheck,True,True,True,True,True,True,False,False,122,93,1.2940108331386,1.159467708086595
8,no_drift,5,myopic,True,True,True,True,True,True,False,False,105,92,1.0130096669308841,0.9676689589396119
8,no_drift,5,recheck,True,True,True,True,True,True,False,False,114,81,1.1856002090498805,1.0116044590249658
9,no_drift,5,myopic,True,True,True,True,True,True,False,False,412,319,3.006642083870247,2.224194790935144
9,no_drift,5,recheck,True,True,True,True,False,True,False,False,324,434,2.174983917037025,2.468737417133525
10,no_drift,5,myopic,True,True,True,True,True,True,False,False,349,327,2.0466616249177605,2.258061333093792
10,no_drift,5,recheck,True,True,True,True,True,True,False,False,264,477,1.9357771249487996,2.94217291707173
11,no_drift,5,myopic,True,True,True,True,True,True,False,False,119,22,1.2271351248491555,0.6756187498103827
11,no_drift,5,recheck,True,True,True,True,True,True,False,False,113,21,1.1678109590429813,0.7289799170102924
12,underestimated_drift,5,myopic,True,True,True,True,True,True,False,False,117,111,1.3410751251503825,1.3097928338684142
12,underestimated_drift,5,recheck,True,True,True,True,True,True,False,False,81,83,1.1361522499937564,1.093986124964431
13,underestimated_drift,5,myopic,True,True,True,True,True,True,False,False,260,236,1.9662524580489844,2.0331219159998
13,underestimated_drift,5,recheck,True,True,True,True,True,True,False,False,185,237,1.4852729169651866,1.2219250001944602
14,underestimated_drift,5,myopic,True,True,True,True,False,True,False,False,378,344,2.4775179161224514,2.0783098749816418
14,underestimated_drift,5,recheck,True,True,True,True,True,True,False,False,195,278,1.8359011670108885,1.8543628749903291
15,underestimated_drift,5,myopic,True,True,True,True,True,True,False,False,101,52,1.2072133340407163,1.3800877081230283
15,underestimated_drift,5,recheck,True,True,True,True,True,True,False,False,74,77,0.8585967500694096,0.9970620831009
