stream,original_condition,method,overlap_successes,singleton_successes,success_delta_overlap_minus_singleton,overlap_J,singleton_J,J_delta_overlap_minus_singleton,overlap_credits,singleton_credits
0,overlap_matched,recheck_joint,8,8,0,0.4,0.4,0.0,8,8
0,overlap_matched,bundle_rollout,8,8,0,0.4,0.4,0.0,8,8
0,overlap_matched,bundle_myopic,8,8,0,0.4,0.4,0.0,8,8
0,overlap_matched,age_paced,6,8,-2,2.4,0.4,2.0,8,8
1,overlap_matched,recheck_joint,6,6,0,2.35,2.4,-0.04999999999999982,7,8
1,overlap_matched,bundle_rollout,6,6,0,2.35,2.4,-0.04999999999999982,7,8
1,overlap_matched,bundle_myopic,6,6,0,2.4,2.4,0.0,8,8
1,overlap_matched,age_paced,6,6,0,2.35,2.4,-0.04999999999999982,7,8
2,overlap_matched,recheck_joint,6,5,1,2.4,3.4,-1.0,8,8
2,overlap_matched,bundle_rollout,8,5,3,0.4,3.4,-3.0,8,8
2,overlap_matched,bundle_myopic,4,4,0,7.4,7.4,0.0,8,8
2,overlap_matched,age_paced,6,6,0,3.4,2.4,1.0,8,8
3,disjoint_matched,recheck_joint,3,3,0,6.4,7.4,-1.0,8,8
3,disjoint_matched,bundle_rollout,4,3,1,5.4,6.4,-1.0,8,8
3,disjoint_matched,bundle_myopic,6,6,0,2.4,2.4,0.0,8,8
3,disjoint_matched,age_paced,5,3,2,4.4,6.4,-2.0,8,8
4,disjoint_matched,recheck_joint,5,5,0,3.4,3.4,0.0,8,8
4,disjoint_matched,bundle_rollout,6,5,1,2.4,3.4,-1.0,8,8
4,disjoint_matched,bundle_myopic,3,3,0,5.4,5.4,0.0,8,8
4,disjoint_matched,age_paced,6,5,1,2.35,3.4,-1.0499999999999998,7,8
5,disjoint_matched,recheck_joint,6,5,1,4.4,3.4,1.0000000000000004,8,8
5,disjoint_matched,bundle_rollout,6,5,1,2.4,3.4,-1.0,8,8
5,disjoint_matched,bundle_myopic,3,3,0,5.4,5.4,0.0,8,8
5,disjoint_matched,age_paced,6,4,2,2.4,6.4,-4.0,8,8
6,overlap_no_drift,recheck_joint,8,8,0,0.4,0.4,0.0,8,8
6,overlap_no_drift,bundle_rollout,8,8,0,0.4,0.4,0.0,8,8
6,overlap_no_drift,bundle_myopic,8,8,0,0.35000000000000003,0.4,-0.04999999999999999,7,8
6,overlap_no_drift,age_paced,8,8,0,0.35000000000000003,0.4,-0.04999999999999999,7,8
7,overlap_no_drift,recheck_joint,8,8,0,0.4,0.4,0.0,8,8
7,overlap_no_drift,bundle_rollout,8,8,0,0.4,0.4,0.0,8,8
7,overlap_no_drift,bundle_myopic,8,8,0,0.4,0.4,0.0,8,8
7,overlap_no_drift,age_paced,8,8,0,0.4,0.4,0.0,8,8
8,overlap_no_drift,recheck_joint,8,8,0,0.4,0.4,0.0,8,8
8,overlap_no_drift,bundle_rollout,8,8,0,0.4,0.4,0.0,8,8
8,overlap_no_drift,bundle_myopic,8,8,0,0.4,0.4,0.0,8,8
8,overlap_no_drift,age_paced,8,8,0,0.4,0.4,0.0,8,8
9,overlap_underestimated,recheck_joint,6,6,0,2.35,2.4,-0.04999999999999982,7,8
9,overlap_underestimated,bundle_rollout,6,6,0,2.35,2.4,-0.04999999999999982,7,8
9,overlap_underestimated,bundle_myopic,3,3,0,5.4,5.4,0.0,8,8
9,overlap_underestimated,age_paced,5,8,-3,3.4,0.4,3.0,8,8
10,overlap_underestimated,recheck_joint,5,5,0,4.35,4.4,-0.05000000000000071,7,8
10,overlap_underestimated,bundle_rollout,7,7,0,3.4,3.4,0.0,8,8
10,overlap_underestimated,bundle_myopic,5,5,0,4.4,4.4,0.0,8,8
10,overlap_underestimated,age_paced,6,6,0,4.35,4.4,-0.05000000000000071,7,8
11,overlap_underestimated,recheck_joint,4,4,0,4.4,4.4,0.0,8,8
11,overlap_underestimated,bundle_rollout,4,4,0,4.4,4.4,0.0,8,8
11,overlap_underestimated,bundle_myopic,6,6,0,4.4,4.4,0.0,8,8
11,overlap_underestimated,age_paced,5,4,1,3.4,4.4,-1.0000000000000004,8,8
