stream,condition,step,comparison,packet_difference,coverage_difference,semantic_difference,same_request_payload,joint_success,comparison_success,joint_answer,comparison_answer
0,overlap_matched,0,bundle_rollout,False,False,False,True,True,True,"{""skus"":[""SKU-007""]}","{""skus"":[""SKU-007""]}"
0,overlap_matched,0,bundle_myopic,True,True,False,True,True,True,"{""skus"":[""SKU-007""]}","{""skus"":[""SKU-007""]}"
0,overlap_matched,0,age_paced,False,False,False,True,True,True,"{""skus"":[""SKU-007""]}","{""skus"":[""SKU-007""]}"
0,overlap_matched,1,bundle_rollout,True,True,False,True,True,True,"{""skus"":[""SKU-000"",""SKU-003"",""SKU-004"",""SKU-019"",""SKU-020"",""SKU-021""]}","{""skus"":[""SKU-000"",""SKU-003"",""SKU-004"",""SKU-019"",""SKU-020"",""SKU-021""]}"
0,overlap_matched,1,bundle_myopic,True,True,False,True,True,True,"{""skus"":[""SKU-000"",""SKU-003"",""SKU-004"",""SKU-019"",""SKU-020"",""SKU-021""]}","{""skus"":[""SKU-000"",""SKU-003"",""SKU-004"",""SKU-019"",""SKU-020"",""SKU-021""]}"
0,overlap_matched,1,age_paced,True,True,False,True,True,True,"{""skus"":[""SKU-000"",""SKU-003"",""SKU-004"",""SKU-019"",""SKU-020"",""SKU-021""]}","{""skus"":[""SKU-000"",""SKU-003"",""SKU-004"",""SKU-019"",""SKU-020"",""SKU-021""]}"
0,overlap_matched,2,bundle_rollout,True,True,False,True,True,True,"{""skus"":[""SKU-002"",""SKU-008"",""SKU-011"",""SKU-012"",""SKU-013"",""SKU-017""]}","{""skus"":[""SKU-002"",""SKU-008"",""SKU-011"",""SKU-012"",""SKU-013"",""SKU-017""]}"
0,overlap_matched,2,bundle_myopic,True,True,False,True,True,True,"{""skus"":[""SKU-002"",""SKU-008"",""SKU-011"",""SKU-012"",""SKU-013"",""SKU-017""]}","{""skus"":[""SKU-002"",""SKU-008"",""SKU-011"",""SKU-012"",""SKU-013"",""SKU-017""]}"
0,overlap_matched,2,age_paced,True,True,False,True,True,True,"{""skus"":[""SKU-002"",""SKU-008"",""SKU-011"",""SKU-012"",""SKU-013"",""SKU-017""]}","{""skus"":[""SKU-002"",""SKU-008"",""SKU-011"",""SKU-012"",""SKU-013"",""SKU-017""]}"
0,overlap_matched,3,bundle_rollout,False,False,False,True,True,True,"{""skus"":[""SKU-000"",""SKU-003"",""SKU-004"",""SKU-019"",""SKU-020"",""SKU-021""]}","{""skus"":[""SKU-000"",""SKU-003"",""SKU-004"",""SKU-019"",""SKU-020"",""SKU-021""]}"
0,overlap_matched,3,bundle_myopic,False,False,False,True,True,True,"{""skus"":[""SKU-000"",""SKU-003"",""SKU-004"",""SKU-019"",""SKU-020"",""SKU-021""]}","{""skus"":[""SKU-000"",""SKU-003"",""SKU-004"",""SKU-019"",""SKU-020"",""SKU-021""]}"
0,overlap_matched,3,age_paced,False,False,False,True,True,True,"{""skus"":[""SKU-000"",""SKU-003"",""SKU-004"",""SKU-019"",""SKU-020"",""SKU-021""]}","{""skus"":[""SKU-000"",""SKU-003"",""SKU-004"",""SKU-019"",""SKU-020"",""SKU-021""]}"
0,overlap_matched,4,bundle_rollout,True,True,False,True,True,True,"{""skus"":[""SKU-002"",""SKU-008"",""SKU-011"",""SKU-012"",""SKU-013"",""SKU-017""]}","{""skus"":[""SKU-002"",""SKU-008"",""SKU-011"",""SKU-012"",""SKU-013"",""SKU-017""]}"
0,overlap_matched,4,bundle_myopic,False,False,False,True,True,True,"{""skus"":[""SKU-002"",""SKU-008"",""SKU-011"",""SKU-012"",""SKU-013"",""SKU-017""]}","{""skus"":[""SKU-002"",""SKU-008"",""SKU-011"",""SKU-012"",""SKU-013"",""SKU-017""]}"
0,overlap_matched,4,age_paced,False,False,False,True,True,True,"{""skus"":[""SKU-002"",""SKU-008"",""SKU-011"",""SKU-012"",""SKU-013"",""SKU-017""]}","{""skus"":[""SKU-002"",""SKU-008"",""SKU-011"",""SKU-012"",""SKU-013"",""SKU-017""]}"
0,overlap_matched,5,bundle_rollout,True,True,False,True,True,True,"{""skus"":[""SKU-007""]}","{""skus"":[""SKU-007""]}"
0,overlap_matched,5,bundle_myopic,True,True,False,True,True,True,"{""skus"":[""SKU-007""]}","{""skus"":[""SKU-007""]}"
0,overlap_matched,5,age_paced,True,True,False,True,True,True,"{""skus"":[""SKU-007""]}","{""skus"":[""SKU-007""]}"
0,overlap_matched,6,bundle_rollout,False,False,False,True,True,True,"{""skus"":[""SKU-000"",""SKU-003"",""SKU-004"",""SKU-020"",""SKU-021""]}","{""skus"":[""SKU-000"",""SKU-003"",""SKU-004"",""SKU-020"",""SKU-021""]}"
0,overlap_matched,6,bundle_myopic,True,True,False,True,True,True,"{""skus"":[""SKU-000"",""SKU-003"",""SKU-004"",""SKU-020"",""SKU-021""]}","{""skus"":[""SKU-000"",""SKU-003"",""SKU-004"",""SKU-020"",""SKU-021""]}"
0,overlap_matched,6,age_paced,True,True,True,False,True,False,"{""skus"":[""SKU-000"",""SKU-003"",""SKU-004"",""SKU-020"",""SKU-021""]}","{""skus"":[""SKU-000"",""SKU-003"",""SKU-004"",""SKU-019"",""SKU-020"",""SKU-021""]}"
0,overlap_matched,7,bundle_rollout,False,False,False,True,True,True,"{""available_total"":50}","{""available_total"":50}"
0,overlap_matched,7,bundle_myopic,False,False,False,True,True,True,"{""available_total"":50}","{""available_total"":50}"
0,overlap_matched,7,age_paced,False,False,True,False,True,False,"{""available_total"":50}","{""available_total"":78}"
1,overlap_matched,0,bundle_rollout,False,False,False,True,True,True,"{""available_total"":45}","{""available_total"":45}"
1,overlap_matched,0,bundle_myopic,True,True,False,True,True,True,"{""available_total"":45}","{""available_total"":45}"
1,overlap_matched,0,age_paced,False,False,False,True,True,True,"{""available_total"":45}","{""available_total"":45}"
1,overlap_matched,1,bundle_rollout,True,True,False,True,True,True,"{""available_total"":27}","{""available_total"":27}"
1,overlap_matched,1,bundle_myopic,True,True,False,True,True,True,"{""available_total"":27}","{""available_total"":27}"
1,overlap_matched,1,age_paced,True,True,False,True,True,True,"{""available_total"":27}","{""available_total"":27}"
1,overlap_matched,2,bundle_rollout,True,True,False,True,True,True,"{""available_total"":35}","{""available_total"":35}"
1,overlap_matched,2,bundle_myopic,False,False,False,True,True,True,"{""available_total"":35}","{""available_total"":35}"
1,overlap_matched,2,age_paced,True,True,False,True,True,True,"{""available_total"":35}","{""available_total"":35}"
1,overlap_matched,3,bundle_rollout,False,False,False,True,True,True,"{""skus"":[""SKU-009"",""SKU-019""]}","{""skus"":[""SKU-009"",""SKU-019""]}"
1,overlap_matched,3,bundle_myopic,True,True,False,True,True,True,"{""skus"":[""SKU-009"",""SKU-019""]}","{""skus"":[""SKU-009"",""SKU-019""]}"
1,overlap_matched,3,age_paced,True,True,False,True,True,True,"{""skus"":[""SKU-009"",""SKU-019""]}","{""skus"":[""SKU-009"",""SKU-019""]}"
1,overlap_matched,4,bundle_rollout,False,False,False,True,True,True,"{""available_total"":43}","{""available_total"":43}"
1,overlap_matched,4,bundle_myopic,False,False,False,True,True,True,"{""available_total"":43}","{""available_total"":43}"
1,overlap_matched,4,age_paced,False,False,False,True,True,True,"{""available_total"":43}","{""available_total"":43}"
1,overlap_matched,5,bundle_rollout,False,False,False,True,False,False,"{""skus"":[""SKU-015"",""SKU-020""]}","{""skus"":[""SKU-015"",""SKU-020""]}"
1,overlap_matched,5,bundle_myopic,False,False,False,True,False,False,"{""skus"":[""SKU-015"",""SKU-020""]}","{""skus"":[""SKU-015"",""SKU-020""]}"
1,overlap_matched,5,age_paced,False,False,False,True,False,False,"{""skus"":[""SKU-015"",""SKU-020""]}","{""skus"":[""SKU-015"",""SKU-020""]}"
1,overlap_matched,6,bundle_rollout,False,False,False,True,True,True,"{""available_total"":18}","{""available_total"":18}"
1,overlap_matched,6,bundle_myopic,True,True,False,True,True,True,"{""available_total"":18}","{""available_total"":18}"
1,overlap_matched,6,age_paced,True,True,False,True,True,True,"{""available_total"":18}","{""available_total"":18}"
1,overlap_matched,7,bundle_rollout,False,False,False,True,False,False,"{""available_total"":69}","{""available_total"":69}"
1,overlap_matched,7,bundle_myopic,False,False,False,True,False,False,"{""available_total"":69}","{""available_total"":69}"
1,overlap_matched,7,age_paced,False,False,False,True,False,False,"{""available_total"":69}","{""available_total"":69}"
2,overlap_matched,0,bundle_rollout,False,False,False,True,True,True,"{""skus"":[""SKU-002""]}","{""skus"":[""SKU-002""]}"
2,overlap_matched,0,bundle_myopic,True,True,False,True,True,True,"{""skus"":[""SKU-002""]}","{""skus"":[""SKU-002""]}"
2,overlap_matched,0,age_paced,False,False,False,True,True,True,"{""skus"":[""SKU-002""]}","{""skus"":[""SKU-002""]}"
2,overlap_matched,1,bundle_rollout,False,False,False,True,True,True,"{""skus"":[""SKU-001"",""SKU-008"",""SKU-022""]}","{""skus"":[""SKU-001"",""SKU-008"",""SKU-022""]}"
