stream,condition,method,successes,credits,semantic_loss,proxy_J_NOT_CURRENCY
0,overlap_matched,recheck_joint,8,8,0,0.4
0,overlap_matched,bundle_rollout,8,8,0,0.4
0,overlap_matched,bundle_myopic,8,8,0,0.4
0,overlap_matched,age_paced,6,8,2,2.4
1,overlap_matched,recheck_joint,6,7,2,2.35
1,overlap_matched,bundle_rollout,6,7,2,2.35
1,overlap_matched,bundle_myopic,6,8,2,2.4
1,overlap_matched,age_paced,6,7,2,2.35
2,overlap_matched,recheck_joint,6,8,2,2.4000000000000004
2,overlap_matched,bundle_rollout,8,8,0,0.4
2,overlap_matched,bundle_myopic,4,8,7,7.4
2,overlap_matched,age_paced,6,8,3,3.4000000000000004
3,disjoint_matched,recheck_joint,3,8,7,7.4
3,disjoint_matched,bundle_rollout,3,8,6,6.4
3,disjoint_matched,bundle_myopic,6,8,2,2.4
3,disjoint_matched,age_paced,3,8,6,6.4
4,disjoint_matched,recheck_joint,5,8,3,3.4
4,disjoint_matched,bundle_rollout,5,8,3,3.4
4,disjoint_matched,bundle_myopic,3,8,5,5.4
4,disjoint_matched,age_paced,5,8,3,3.4
5,disjoint_matched,recheck_joint,5,8,3,3.4
5,disjoint_matched,bundle_rollout,5,8,3,3.4
5,disjoint_matched,bundle_myopic,3,8,5,5.4
5,disjoint_matched,age_paced,4,8,6,6.4
6,overlap_no_drift,recheck_joint,8,8,0,0.4
6,overlap_no_drift,bundle_rollout,8,8,0,0.4
6,overlap_no_drift,bundle_myopic,8,7,0,0.35000000000000003
6,overlap_no_drift,age_paced,8,7,0,0.35000000000000003
7,overlap_no_drift,recheck_joint,8,8,0,0.4
7,overlap_no_drift,bundle_rollout,8,8,0,0.4
7,overlap_no_drift,bundle_myopic,8,8,0,0.4
7,overlap_no_drift,age_paced,8,8,0,0.4
8,overlap_no_drift,recheck_joint,8,8,0,0.4
8,overlap_no_drift,bundle_rollout,8,8,0,0.4
8,overlap_no_drift,bundle_myopic,8,8,0,0.4
8,overlap_no_drift,age_paced,8,8,0,0.4
9,overlap_underestimated,recheck_joint,6,7,2,2.35
9,overlap_underestimated,bundle_rollout,6,7,2,2.35
9,overlap_underestimated,bundle_myopic,3,8,5,5.4
9,overlap_underestimated,age_paced,5,8,3,3.4
10,overlap_underestimated,recheck_joint,5,7,4,4.35
10,overlap_underestimated,bundle_rollout,7,8,3,3.4
10,overlap_underestimated,bundle_myopic,5,8,4,4.4
10,overlap_underestimated,age_paced,6,7,4,4.35
11,overlap_underestimated,recheck_joint,4,8,4,4.4
11,overlap_underestimated,bundle_rollout,4,8,4,4.4
11,overlap_underestimated,bundle_myopic,6,8,4,4.4
11,overlap_underestimated,age_paced,5,8,3,3.4
