stream,step,method,same_payload,same_plan,same_answer,same_visible_text,same_reasoning_text,same_completion_tokens,primary_completion_tokens,repeat_completion_tokens,primary_latency,repeat_latency,primary_success,repeat_success
0,3,bundle_myopic,True,True,True,True,False,False,238,190,2.068803290836513,1.3693721669260412,True,True
0,3,recheck_joint,True,True,True,True,False,False,278,256,1.732481542043388,1.8135777909774333,True,True
1,3,bundle_myopic,True,True,True,True,False,False,634,930,3.2306844170670956,3.5057630001101643,True,True
1,3,recheck_joint,True,True,True,True,False,False,183,256,1.7341537079773843,2.013308374909684,True,True
2,3,bundle_myopic,True,True,True,True,False,False,211,205,1.7803961248137057,1.653366917045787,False,False
2,3,recheck_joint,True,True,True,True,False,False,212,232,1.1646419998724014,1.1076738329138607,False,False
3,3,bundle_myopic,True,True,True,True,False,False,266,200,1.5903114159591496,2.092510041082278,True,True
3,3,recheck_joint,True,True,True,True,False,False,248,251,1.214786791941151,1.471064583165571,True,True
4,3,bundle_myopic,True,True,True,True,False,False,256,228,1.620454000076279,1.1777537500020117,False,False
4,3,recheck_joint,True,True,True,True,False,False,280,171,1.7108023748733103,1.2852657500188798,True,True
5,3,bundle_myopic,True,True,True,True,False,False,252,182,1.8962255830410868,1.2529371248092502,False,False
5,3,recheck_joint,True,True,True,True,False,False,239,223,1.5419434590730816,1.2717154580168426,False,False
6,3,bundle_myopic,True,True,True,True,False,False,186,380,1.209626458818093,1.9526214159559458,True,True
6,3,recheck_joint,True,True,True,True,False,False,384,161,1.8816230839584023,1.4710763751063496,True,True
7,3,bundle_myopic,True,True,True,True,False,False,299,464,1.4815891669131815,2.2896447910461575,True,True
7,3,recheck_joint,True,True,True,True,False,False,326,248,1.8121365830302238,1.6006997080985457,True,True
8,3,bundle_myopic,True,True,True,True,False,False,240,212,1.3270202078856528,1.6931858339812607,True,True
8,3,recheck_joint,True,True,True,True,False,False,138,248,0.9494869171176106,1.1905173331033438,True,True
9,3,bundle_myopic,True,True,True,True,False,False,255,253,1.6506457498762757,1.7516579998191446,False,False
9,3,recheck_joint,True,True,True,True,False,False,372,204,1.9085018329788,1.5272516252007335,False,False
10,3,bundle_myopic,True,True,True,True,False,False,698,158,3.1398809999227524,0.9041743748821318,True,True
10,3,recheck_joint,True,True,True,True,False,False,244,185,1.235547374933958,1.3153108328115195,True,True
11,3,bundle_myopic,True,True,True,True,False,False,373,316,1.8917586249299347,1.9883698329795152,True,True
11,3,recheck_joint,True,True,True,True,False,False,264,163,1.5698951659724116,0.9008058330509812,True,True
