condition,menu,contrast,independent_streams,mean_stream_cost_difference,ci_low,ci_high,status
matched,single,task_exact minus any_exact,16,-0.06250000000000003,-0.5,0.375,DESCRIPTIVE_NOT_CONFIRMATORY
matched,single,task_exact minus semantic_exact,16,-5.551115123125783e-17,-0.5,0.4375,DESCRIPTIVE_NOT_CONFIRMATORY
matched,single,task_exact minus single_effect_exact,16,-2.7755575615628914e-17,-8.326672684688674e-17,0.0,DESCRIPTIVE_NOT_CONFIRMATORY
matched,single,task_rollout2 minus task_exact,16,-0.125,-0.375,0.0,DESCRIPTIVE_NOT_CONFIRMATORY
matched,single,task_myopic minus task_exact,16,-0.5625000000000001,-1.1875000000000002,0.12500000000000008,DESCRIPTIVE_NOT_CONFIRMATORY
matched,shared,task_exact minus any_exact,16,-0.12187499999999998,-0.49687499999999996,0.19687500000000002,DESCRIPTIVE_NOT_CONFIRMATORY
matched,shared,task_exact minus semantic_exact,16,-0.12187499999999998,-0.5,0.19375000000000003,DESCRIPTIVE_NOT_CONFIRMATORY
matched,shared,task_exact minus single_effect_exact,16,2.7755575615628914e-17,0.0,8.326672684688674e-17,DESCRIPTIVE_NOT_CONFIRMATORY
matched,shared,task_rollout2 minus task_exact,16,0.0625,-0.3125,0.43750000000000006,DESCRIPTIVE_NOT_CONFIRMATORY
matched,shared,task_myopic minus task_exact,16,-0.05937499999999998,-0.871875,0.8719531249999996,DESCRIPTIVE_NOT_CONFIRMATORY
matched,paired_shared_minus_single,task_exact,16,-0.3812500000000002,-0.8188281250000005,-0.009375000000000203,DESCRIPTIVE_NOT_CONFIRMATORY
matched,paired_shared_minus_single,task_rollout2,16,-0.19375000000000017,-0.4437500000000003,0.059374999999999845,DESCRIPTIVE_NOT_CONFIRMATORY
matched,paired_shared_minus_single,task_myopic,16,0.12187500000000002,-0.009374999999999953,0.375,DESCRIPTIVE_NOT_CONFIRMATORY
matched,paired_shared_minus_single,single_effect_exact,16,-0.38125000000000026,-0.8750781250000005,-0.012421875000000498,DESCRIPTIVE_NOT_CONFIRMATORY
matched,paired_shared_minus_single,any_exact,16,-0.32187500000000024,-0.6937500000000003,0.04999999999999986,DESCRIPTIVE_NOT_CONFIRMATORY
matched,paired_shared_minus_single,semantic_exact,16,-0.25937500000000024,-0.6312500000000003,0.10937499999999976,DESCRIPTIVE_NOT_CONFIRMATORY
matched,paired_shared_minus_single,age_paced,16,-0.0031250000000000444,-0.75,0.615625,DESCRIPTIVE_NOT_CONFIRMATORY
matched,paired_shared_minus_single,never,16,0.0,0.0,0.0,DESCRIPTIVE_NOT_CONFIRMATORY
no_drift,single,task_exact minus any_exact,16,-0.006249999999999999,-0.018749999999999996,0.0,DESCRIPTIVE_NOT_CONFIRMATORY
no_drift,single,task_exact minus semantic_exact,16,-0.006249999999999999,-0.018749999999999996,0.0,DESCRIPTIVE_NOT_CONFIRMATORY
no_drift,single,task_exact minus single_effect_exact,16,-0.006249999999999999,-0.018749999999999996,0.0,DESCRIPTIVE_NOT_CONFIRMATORY
no_drift,single,task_rollout2 minus task_exact,16,0.0,0.0,0.0,DESCRIPTIVE_NOT_CONFIRMATORY
no_drift,single,task_myopic minus task_exact,16,-0.006250000000000002,-0.018750000000000006,0.0,DESCRIPTIVE_NOT_CONFIRMATORY
no_drift,shared,task_exact minus any_exact,16,-0.009375000000000001,-0.018750000000000006,0.0,DESCRIPTIVE_NOT_CONFIRMATORY
no_drift,shared,task_exact minus semantic_exact,16,-0.009375000000000001,-0.01875000000000001,0.0,DESCRIPTIVE_NOT_CONFIRMATORY
no_drift,shared,task_exact minus single_effect_exact,16,-0.006249999999999999,-0.015624999999999997,0.0,DESCRIPTIVE_NOT_CONFIRMATORY
no_drift,shared,task_rollout2 minus task_exact,16,0.009375000000000001,-0.0031250000000000062,0.021875000000000012,DESCRIPTIVE_NOT_CONFIRMATORY
no_drift,shared,task_myopic minus task_exact,16,-3.469446951953614e-18,-0.025000000000000012,0.018750000000000006,DESCRIPTIVE_NOT_CONFIRMATORY
no_drift,paired_shared_minus_single,task_exact,16,-0.009375000000000005,-0.025000000000000005,0.009374999999999998,DESCRIPTIVE_NOT_CONFIRMATORY
no_drift,paired_shared_minus_single,task_rollout2,16,-3.469446951953614e-18,-0.012500000000000008,0.015624999999999997,DESCRIPTIVE_NOT_CONFIRMATORY
no_drift,paired_shared_minus_single,task_myopic,16,-0.0031250000000000062,-0.012500000000000015,0.006249999999999999,DESCRIPTIVE_NOT_CONFIRMATORY
no_drift,paired_shared_minus_single,single_effect_exact,16,-0.009375000000000005,-0.018750000000000017,0.0,DESCRIPTIVE_NOT_CONFIRMATORY
no_drift,paired_shared_minus_single,any_exact,16,-0.006250000000000002,-0.015625000000000007,0.0,DESCRIPTIVE_NOT_CONFIRMATORY
no_drift,paired_shared_minus_single,semantic_exact,16,-0.006250000000000002,-0.015625000000000003,0.0,DESCRIPTIVE_NOT_CONFIRMATORY
no_drift,paired_shared_minus_single,age_paced,16,-0.0062500000000000056,-0.015625000000000014,0.0,DESCRIPTIVE_NOT_CONFIRMATORY
no_drift,paired_shared_minus_single,never,16,0.0,0.0,0.0,DESCRIPTIVE_NOT_CONFIRMATORY
fast_drift,single,task_exact minus any_exact,16,-0.2062500000000001,-1.0625,0.6753124999999982,DESCRIPTIVE_NOT_CONFIRMATORY
fast_drift,single,task_exact minus semantic_exact,16,-0.39375,-1.1879687500000002,0.3375,DESCRIPTIVE_NOT_CONFIRMATORY
fast_drift,single,task_exact minus single_effect_exact,16,-1.3877787807814457e-17,-4.163336342344337e-17,0.0,DESCRIPTIVE_NOT_CONFIRMATORY
fast_drift,single,task_rollout2 minus task_exact,16,-0.12499999999999989,-0.625,0.3750000000000002,DESCRIPTIVE_NOT_CONFIRMATORY
