stream,panel,condition,menu,left,right,action_differences,public_input_differences,answer_differences,cost_units_delta
0,0,matched,single,decision_32,random_32,0,0,0,0
0,0,matched,shared,decision_32,random_32,0,0,0,0
1,0,matched,single,decision_32,random_32,0,0,0,0
1,0,matched,shared,decision_32,random_32,0,0,0,0
2,0,matched,single,decision_32,random_32,0,0,0,0
2,0,matched,shared,decision_32,random_32,0,0,0,0
3,0,matched,single,decision_32,random_32,0,0,0,0
3,0,matched,shared,decision_32,random_32,0,0,0,0
4,0,matched,single,decision_32,random_32,0,0,0,0
4,0,matched,shared,decision_32,random_32,0,0,0,0
5,0,matched,single,decision_32,random_32,0,0,0,0
5,0,matched,shared,decision_32,random_32,0,0,0,0
6,0,matched,single,decision_32,random_32,0,0,0,0
6,0,matched,shared,decision_32,random_32,0,0,0,0
7,0,matched,single,decision_32,random_32,0,0,0,0
7,0,matched,shared,decision_32,random_32,0,0,0,0
8,0,no_drift,single,decision_32,random_32,0,0,0,0
8,0,no_drift,shared,decision_32,random_32,0,0,0,0
9,0,no_drift,single,decision_32,random_32,0,0,0,0
9,0,no_drift,shared,decision_32,random_32,0,0,0,0
10,0,no_drift,single,decision_32,random_32,0,0,0,0
10,0,no_drift,shared,decision_32,random_32,0,0,0,0
11,0,no_drift,single,decision_32,random_32,0,0,0,0
11,0,no_drift,shared,decision_32,random_32,0,0,0,0
12,0,no_drift,single,decision_32,random_32,0,0,0,0
12,0,no_drift,shared,decision_32,random_32,2,0,0,0
13,0,no_drift,single,decision_32,random_32,0,0,0,0
13,0,no_drift,shared,decision_32,random_32,0,0,0,0
14,0,no_drift,single,decision_32,random_32,0,0,0,0
14,0,no_drift,shared,decision_32,random_32,0,0,0,0
15,0,no_drift,single,decision_32,random_32,0,0,0,0
15,0,no_drift,shared,decision_32,random_32,2,0,0,0
16,0,fast_drift,single,decision_32,random_32,0,0,0,0
16,0,fast_drift,shared,decision_32,random_32,0,0,0,0
17,0,fast_drift,single,decision_32,random_32,0,0,0,0
17,0,fast_drift,shared,decision_32,random_32,0,0,0,0
18,0,fast_drift,single,decision_32,random_32,0,0,0,0
18,0,fast_drift,shared,decision_32,random_32,0,0,0,0
19,0,fast_drift,single,decision_32,random_32,0,0,0,0
19,0,fast_drift,shared,decision_32,random_32,0,0,0,0
20,0,fast_drift,single,decision_32,random_32,0,0,0,0
20,0,fast_drift,shared,decision_32,random_32,0,0,0,0
21,0,fast_drift,single,decision_32,random_32,0,0,0,0
21,0,fast_drift,shared,decision_32,random_32,0,0,0,0
22,0,fast_drift,single,decision_32,random_32,0,0,0,0
22,0,fast_drift,shared,decision_32,random_32,0,0,0,0
23,0,fast_drift,single,decision_32,random_32,0,0,0,0
23,0,fast_drift,shared,decision_32,random_32,0,0,0,0
24,0,data_shift,single,decision_32,random_32,0,0,0,0
24,0,data_shift,shared,decision_32,random_32,0,0,0,0
25,0,data_shift,single,decision_32,random_32,0,0,0,0
25,0,data_shift,shared,decision_32,random_32,0,0,0,0
26,0,data_shift,single,decision_32,random_32,0,0,0,0
26,0,data_shift,shared,decision_32,random_32,0,0,0,0
27,0,data_shift,single,decision_32,random_32,0,0,0,0
27,0,data_shift,shared,decision_32,random_32,0,0,0,0
28,0,data_shift,single,decision_32,random_32,0,0,0,0
28,0,data_shift,shared,decision_32,random_32,0,0,0,0
29,0,data_shift,single,decision_32,random_32,0,0,0,0
29,0,data_shift,shared,decision_32,random_32,0,0,0,0
30,0,data_shift,single,decision_32,random_32,0,0,0,0
30,0,data_shift,shared,decision_32,random_32,0,0,0,0
31,0,data_shift,single,decision_32,random_32,0,0,0,0
31,0,data_shift,shared,decision_32,random_32,0,0,0,0
32,1,matched,single,decision_32,random_32,0,0,0,0
32,1,matched,shared,decision_32,random_32,0,0,0,0
33,1,matched,single,decision_32,random_32,0,0,0,0
33,1,matched,shared,decision_32,random_32,0,0,0,0
34,1,matched,single,decision_32,random_32,0,0,0,0
34,1,matched,shared,decision_32,random_32,0,0,0,0
35,1,matched,single,decision_32,random_32,0,0,0,0
35,1,matched,shared,decision_32,random_32,0,0,0,0
36,1,matched,single,decision_32,random_32,1,0,0,2
36,1,matched,shared,decision_32,random_32,0,0,0,0
37,1,matched,single,decision_32,random_32,0,0,0,0
37,1,matched,shared,decision_32,random_32,0,0,0,0
38,1,matched,single,decision_32,random_32,0,0,0,0
