case_id,family,variant,mode,tool_success_proxy,goal_final,final_state_clean,trace_safe_success,wrong_write,tool_errors,goal_only_false_accept,final_clean_false_accept,event_triggered,tool_calls
n00,person,stable,once,True,True,True,True,False,0,False,False,False,2
n00,person,stable,extra_read,True,True,True,True,False,0,False,False,False,3
n00,person,stable,post_confirm,True,True,True,True,False,0,False,False,False,3
n01,person,pre_relevant,once,True,True,True,True,False,0,False,False,True,2
n01,person,pre_relevant,extra_read,True,True,True,True,False,0,False,False,True,3
n01,person,pre_relevant,post_confirm,True,True,True,True,False,0,False,False,True,3
n02,person,post_relevant,once,True,False,False,False,True,0,False,False,True,2
n02,person,post_relevant,extra_read,True,True,True,True,False,0,False,False,True,3
n02,person,post_relevant,post_confirm,True,False,False,False,True,0,False,False,True,3
n03,person,post_unrelated,once,True,True,True,True,False,0,False,False,True,2
n03,person,post_unrelated,extra_read,True,True,True,True,False,0,False,False,True,3
n03,person,post_unrelated,post_confirm,True,True,True,True,False,0,False,False,True,3
n04,phone,stable,once,True,True,True,True,False,0,False,False,False,2
n04,phone,stable,extra_read,True,True,True,True,False,0,False,False,False,2
n04,phone,stable,post_confirm,True,True,True,True,False,0,False,False,False,2
n05,phone,pre_relevant,once,True,True,True,True,False,0,False,False,True,2
n05,phone,pre_relevant,extra_read,True,True,True,True,False,0,False,False,True,2
n05,phone,pre_relevant,post_confirm,True,True,True,True,False,0,False,False,True,2
n06,phone,post_relevant,once,True,True,True,True,False,0,False,False,True,2
n06,phone,post_relevant,extra_read,True,True,True,True,False,0,False,False,True,2
n06,phone,post_relevant,post_confirm,True,True,True,True,False,0,False,False,True,2
n07,phone,post_unrelated,once,True,True,True,True,False,0,False,False,True,2
n07,phone,post_unrelated,extra_read,True,True,True,True,False,0,False,False,True,2
n07,phone,post_unrelated,post_confirm,True,True,True,True,False,0,False,False,True,2
n08,reminder,stable,once,True,True,True,True,False,0,False,False,False,2
n08,reminder,stable,extra_read,True,True,True,True,False,0,False,False,False,3
n08,reminder,stable,post_confirm,True,True,True,True,False,0,False,False,False,3
n09,reminder,pre_relevant,once,True,True,True,True,False,0,False,False,True,2
n09,reminder,pre_relevant,extra_read,True,True,True,True,False,0,False,False,True,3
n09,reminder,pre_relevant,post_confirm,True,True,True,True,False,0,False,False,True,3
n10,reminder,post_relevant,once,True,False,False,False,True,0,False,False,True,2
n10,reminder,post_relevant,extra_read,True,True,True,True,False,0,False,False,True,3
n10,reminder,post_relevant,post_confirm,True,True,True,False,True,0,True,True,True,7
n11,reminder,post_unrelated,once,True,True,True,True,False,0,False,False,True,2
n11,reminder,post_unrelated,extra_read,True,True,True,True,False,0,False,False,True,3
n11,reminder,post_unrelated,post_confirm,True,True,True,True,False,0,False,False,True,3
n12,wifi,stable,once,True,True,True,True,False,0,False,False,False,2
n12,wifi,stable,extra_read,True,True,True,True,False,0,False,False,False,3
n12,wifi,stable,post_confirm,True,True,True,True,False,0,False,False,False,2
n13,wifi,pre_relevant,once,True,True,True,True,False,0,False,False,True,3
n13,wifi,pre_relevant,extra_read,True,True,True,True,False,0,False,False,True,4
n13,wifi,pre_relevant,post_confirm,True,True,True,True,False,0,False,False,True,3
n14,wifi,post_relevant,once,True,True,True,True,False,1,False,False,True,4
n14,wifi,post_relevant,extra_read,True,True,True,True,False,0,False,False,True,4
n14,wifi,post_relevant,post_confirm,True,True,True,True,False,1,False,False,True,4
n15,wifi,post_unrelated,once,True,True,True,True,False,0,False,False,True,2
n15,wifi,post_unrelated,extra_read,True,True,True,True,False,0,False,False,True,3
n15,wifi,post_unrelated,post_confirm,True,True,True,True,False,0,False,False,True,2
