episode_id,phase,case_id,arm,family,variant,scheduled,triggered,environment_operations,first_anchor_index,environment_indices,first_primary_write_index,post_read_to_write_same_response
primary_n06_verify_confirm,primary,n06,verify_confirm,phone,post_relevant,True,True,2,0,"[1,2]",3,False
primary_n06_inherited,primary,n06,inherited,phone,post_relevant,True,True,2,0,"[1,2]",3,False
primary_n15_verify_confirm,primary,n15,verify_confirm,wifi,post_unrelated,True,True,1,0,[1],3,False
primary_n15_inherited,primary,n15,inherited,wifi,post_unrelated,True,True,1,0,[1],3,False
primary_n05_inherited,primary,n05,inherited,phone,pre_relevant,True,True,2,2,"[0,1]",4,
primary_n05_verify_confirm,primary,n05,verify_confirm,phone,pre_relevant,True,True,2,2,"[0,1]",3,
primary_n09_verify_confirm,primary,n09,verify_confirm,reminder,pre_relevant,True,True,2,2,"[0,1]",3,
primary_n09_inherited,primary,n09,inherited,reminder,pre_relevant,True,True,2,2,"[0,1]",5,
primary_n13_verify_confirm,primary,n13,verify_confirm,wifi,pre_relevant,True,True,1,1,[0],4,
primary_n13_inherited,primary,n13,inherited,wifi,pre_relevant,True,True,1,1,[0],4,
primary_n00_inherited,primary,n00,inherited,person,stable,False,False,0,0,[],2,
primary_n00_verify_confirm,primary,n00,verify_confirm,person,stable,False,False,0,0,[],2,
primary_n12_inherited,primary,n12,inherited,wifi,stable,False,False,0,0,[],2,
primary_n12_verify_confirm,primary,n12,verify_confirm,wifi,stable,False,False,0,0,[],2,
primary_n10_verify_confirm,primary,n10,verify_confirm,reminder,post_relevant,True,True,2,0,"[1,2]",3,False
primary_n10_inherited,primary,n10,inherited,reminder,post_relevant,True,True,2,0,"[1,2]",3,False
primary_n02_inherited,primary,n02,inherited,person,post_relevant,True,True,2,0,"[1,2]",4,False
primary_n02_verify_confirm,primary,n02,verify_confirm,person,post_relevant,True,True,2,0,"[1,2]",4,False
primary_n08_verify_confirm,primary,n08,verify_confirm,reminder,stable,False,False,0,0,[],1,
primary_n08_inherited,primary,n08,inherited,reminder,stable,False,False,0,0,[],1,
primary_n11_verify_confirm,primary,n11,verify_confirm,reminder,post_unrelated,True,True,1,0,[1],2,False
primary_n11_inherited,primary,n11,inherited,reminder,post_unrelated,True,True,1,0,[1],2,False
primary_n14_inherited,primary,n14,inherited,wifi,post_relevant,True,True,1,0,[1],4,False
primary_n14_verify_confirm,primary,n14,verify_confirm,wifi,post_relevant,True,True,1,0,[1],4,False
primary_n07_inherited,primary,n07,inherited,phone,post_unrelated,True,True,1,0,[1],2,False
primary_n07_verify_confirm,primary,n07,verify_confirm,phone,post_unrelated,True,True,1,0,[1],2,False
primary_n04_inherited,primary,n04,inherited,phone,stable,False,False,0,0,[],1,
primary_n04_verify_confirm,primary,n04,verify_confirm,phone,stable,False,False,0,0,[],1,
primary_n01_verify_confirm,primary,n01,verify_confirm,person,pre_relevant,True,True,2,2,"[0,1]",4,
primary_n01_inherited,primary,n01,inherited,person,pre_relevant,True,True,2,2,"[0,1]",4,
primary_n03_inherited,primary,n03,inherited,person,post_unrelated,True,True,1,0,[1],3,False
primary_n03_verify_confirm,primary,n03,verify_confirm,person,post_unrelated,True,True,1,0,[1],3,False
repeat_n10_verify_confirm,repeat,n10,verify_confirm,reminder,post_relevant,True,True,2,0,"[1,2]",3,False
repeat_n10_inherited,repeat,n10,inherited,reminder,post_relevant,True,True,2,0,"[1,2]",3,False
repeat_n02_inherited,repeat,n02,inherited,person,post_relevant,True,True,2,0,"[1,2]",4,False
repeat_n02_verify_confirm,repeat,n02,verify_confirm,person,post_relevant,True,True,2,0,"[1,2]",4,False
