episode_id,phase,case_id,arm,family,variant,tool_success_proxy,goal_final,final_state_clean,trace_safe_success,wrong_write,tool_errors,goal_only_false_accept,final_clean_false_accept,model_calls,tool_calls,terminated,exposed,elapsed_seconds
primary_n06_verify_confirm,primary,n06,verify_confirm,phone,post_relevant,True,True,True,True,False,0,False,False,4,3,True,True,5.6546905839350075
primary_n06_inherited,primary,n06,inherited,phone,post_relevant,True,True,True,True,False,0,False,False,3,2,True,True,3.975200582994148
primary_n15_verify_confirm,primary,n15,verify_confirm,wifi,post_unrelated,True,True,True,True,False,0,False,False,4,4,True,True,6.1475410419516265
primary_n15_inherited,primary,n15,inherited,wifi,post_unrelated,True,True,True,True,False,0,False,False,4,4,True,True,5.609691750025377
primary_n05_inherited,primary,n05,inherited,phone,pre_relevant,True,True,True,True,False,0,False,False,3,3,True,True,5.247388916788623
primary_n05_verify_confirm,primary,n05,verify_confirm,phone,pre_relevant,True,True,True,True,False,0,False,False,4,3,True,True,6.499625917058438
primary_n09_verify_confirm,primary,n09,verify_confirm,reminder,pre_relevant,True,True,True,True,False,0,False,False,4,3,True,True,7.333373707951978
primary_n09_inherited,primary,n09,inherited,reminder,pre_relevant,True,True,True,True,False,0,False,False,5,5,True,True,11.167224499862641
primary_n13_verify_confirm,primary,n13,verify_confirm,wifi,pre_relevant,True,True,True,True,False,0,False,False,5,5,True,True,7.099620249820873
primary_n13_inherited,primary,n13,inherited,wifi,pre_relevant,True,True,True,True,False,0,False,False,4,4,True,True,7.77266591694206
primary_n00_inherited,primary,n00,inherited,person,stable,True,True,True,True,False,0,False,False,3,3,True,False,4.9480673330836
primary_n00_verify_confirm,primary,n00,verify_confirm,person,stable,True,True,True,True,False,0,False,False,4,4,True,False,6.557807334000245
primary_n12_inherited,primary,n12,inherited,wifi,stable,True,True,True,True,False,0,False,False,4,4,True,False,6.211428875103593
primary_n12_verify_confirm,primary,n12,verify_confirm,wifi,stable,True,True,True,True,False,0,False,False,4,4,True,False,5.393173333024606
primary_n10_verify_confirm,primary,n10,verify_confirm,reminder,post_relevant,True,False,False,False,True,0,False,False,4,3,True,True,6.616629790980369
primary_n10_inherited,primary,n10,inherited,reminder,post_relevant,True,False,False,False,True,0,False,False,4,3,True,True,6.440524083096534
primary_n02_inherited,primary,n02,inherited,person,post_relevant,True,False,False,False,True,0,False,False,3,3,True,True,4.973240042105317
primary_n02_verify_confirm,primary,n02,verify_confirm,person,post_relevant,True,False,False,False,True,0,False,False,4,4,True,True,6.638046208070591
primary_n08_verify_confirm,primary,n08,verify_confirm,reminder,stable,True,True,True,True,False,0,False,False,4,3,True,False,6.627719083800912
primary_n08_inherited,primary,n08,inherited,reminder,stable,True,True,True,True,False,0,False,False,4,3,True,False,6.608769292011857
primary_n11_verify_confirm,primary,n11,verify_confirm,reminder,post_unrelated,True,True,True,True,False,0,False,False,4,3,True,True,5.972650374984369
primary_n11_inherited,primary,n11,inherited,reminder,post_unrelated,True,True,True,True,False,0,False,False,4,3,True,True,7.001290916930884
primary_n14_inherited,primary,n14,inherited,wifi,post_relevant,True,True,True,True,False,0,False,False,5,5,True,True,7.58320991601795
primary_n14_verify_confirm,primary,n14,verify_confirm,wifi,post_relevant,True,True,True,True,False,0,False,False,5,6,True,True,8.08100837492384
primary_n07_inherited,primary,n07,inherited,phone,post_unrelated,True,True,True,True,False,0,False,False,3,2,True,True,4.547362290788442
primary_n07_verify_confirm,primary,n07,verify_confirm,phone,post_unrelated,True,True,True,True,False,0,False,False,4,3,True,True,6.70509120891802
primary_n04_inherited,primary,n04,inherited,phone,stable,True,True,True,True,False,0,False,False,3,2,True,False,4.347136333119124
primary_n04_verify_confirm,primary,n04,verify_confirm,phone,stable,True,True,True,True,False,0,False,False,4,3,True,False,6.3772266251035035
primary_n01_verify_confirm,primary,n01,verify_confirm,person,pre_relevant,True,True,True,True,False,0,False,False,4,4,True,True,6.791332208085805
primary_n01_inherited,primary,n01,inherited,person,pre_relevant,True,True,True,True,False,0,False,False,3,3,True,True,5.647415624931455
primary_n03_inherited,primary,n03,inherited,person,post_unrelated,True,True,True,True,False,0,False,False,3,3,True,True,4.3926518750377
primary_n03_verify_confirm,primary,n03,verify_confirm,person,post_unrelated,True,True,True,True,False,0,False,False,4,4,True,True,6.346540791913867
repeat_n10_verify_confirm,repeat,n10,verify_confirm,reminder,post_relevant,True,False,False,False,True,0,False,False,4,3,True,True,6.783978374907747
repeat_n10_inherited,repeat,n10,inherited,reminder,post_relevant,True,False,False,False,True,0,False,False,4,3,True,True,5.420090999919921
repeat_n02_inherited,repeat,n02,inherited,person,post_relevant,True,False,False,False,True,0,False,False,3,3,True,True,5.125400209100917
repeat_n02_verify_confirm,repeat,n02,verify_confirm,person,post_relevant,True,False,False,False,True,0,False,False,4,4,True,True,6.454369208076969
